manufacturer,hw_model,date,Revision ,Decode ,Pipeline depth ,Out-of-orderexecution-Have ,Out-of-orderexecution-Entries,Branchprediction ,big.LITTLE role ,Execports ,SIMD ,Processor Technology,Simult. MT ,L0 cache,L1 cache,L2 cache,L3 cache,Core configurations ,DMIPS,ARM part number (in the main ID register) 
ARM ,Cortex-A32,2017,"ARMv8.0-A
(only 32-bit)",2-wide,8,No,0,?,LITTLE,?,? ,28,No,No,8–64 + 8–64,0–1 MiB,No,1–4+,?,0xD01 
ARM ,Cortex-A34,2019,"ARMv8.0-A
(only 64-bit)",2-wide,8,No,0,?,LITTLE,?,? ,?,No,No,8–64 + 8–64,0–1 MiB,No,1–4+,?,0xD02 
ARM ,Cortex-A35 ,2017,ARMv8.0-A,2-wide,8,No,0,Yes,LITTLE,?,? ,"28 / 16 /
14 / 10",No,No,8–64 + 8–64,0 / 128 KiB–1 MiB,No,1–4+,1.78,0xD04 
ARM ,Cortex-A53 ,2014,ARMv8.0-A,2-wide,8,No,0,"Conditional+
Indirect branch
prediction",big/LITTLE,2,? ,"28 / 20 /
16 / 14 / 10",No,No,8–64 + 8–64,128 KiB–2 MiB,No,1–4+,2.24,0xD03 
ARM ,Cortex-A55 ,2017,ARMv8.2-A,2-wide,8,No,0,,big/LITTLE,2,? ,"28 / 20 /
16 / 14 / 12 / 10 / 5 ",No,No,16–64 + 16–64,0–256 KiB/core,0–4 MiB,1–8+,2.65,0xD05 
ARM ,Cortex-A57 ,2013,ARMv8.0-A,3-wide,15,"Yes
3-wide dispatch",?,?,big,8,? ,"28 / 20 /
16 / 14",No,No,48 + 32,0.5–2 MiB,No,1–4+,4.8,0xD07 
ARM ,Cortex-A65 ,2019,ARMv8.2-A,?,?,Yes ,,Two-level,?,2,,? ,No ,No,?,?,?,?,? ,0xD06 
ARM ,Cortex-A65AE ,2019,ARMv8.2-A,?,?,Yes ,,Two-level,?,2,,? ,SMT2 ,No,16–64 + 16–64,64–256 KiB,0–4 MB,1–8,? ,0xD43 
ARM ,Cortex-A72 ,2015,ARMv8.0-A,3-wide,15,"Yes
5-wide dispatch ",,Two-level,big,8,,28 / 16 ,No ,No,48 + 32,0.5–4 MiB,No,1–4+,"6.3–7,3 ",0xD08 
ARM ,Cortex-A73 ,2016,ARMv8.0-A,2-wide,11–12 ,"Yes
4-wide dispatch ",,Two-level,big,7,,28 / 16 / 10 ,No ,No,64 + 32/64,1–8 MiB,No,1–4+,7.4–8.5 ,0xD09 
ARM ,Cortex-A75 ,2017,ARMv8.2-A ,3-wide ,11–13 ,"Yes
6-wide dispatch ",,Two-level ,big ,8? ,2*128b ,28 / 16 / 10 ,No ,No ,64 + 64 ,256–512 KiB/core ,0–4 MiB ,1–8+ ,8.2–9.5 ,0xD0A 
ARM ,Cortex-A76 ,2018,ARMv8.2-A ,4-wide ,11–13 ,"Yes
8-wide dispatch ",128,Two-level,big,8,2*128b ,10 / 7 ,No ,No ,64 + 64 ,256–512 KiB/core ,1–4 MiB ,1–4 ,10.7–12.4 ,0xD0B 
ARM ,Cortex-A76AE ,2018,ARMv8.2-A ,? ,? ,Yes ,128,Two-level ,big ,? ,,? ,No ,No ,? ,? ,? ,? ,? ,0xD0E 
ARM ,Cortex-A77 ,2019,ARMv8.2-A ,4-wide ,11–13 ,"Yes
10-wide dispatch ",160,Two-level,big ,12,2*128b ,7,No ,1.5K entries ,64 + 64 ,256–512 KiB/core ,1–4 MiB ,1–4 ,13–16 ,0xD0D 
ARM ,Cortex-A78 ,2020,ARMv8.2-A ,4-wide ,,Yes ,160,Yes ,big ,13,2*128b ,,No ,1.5K entries ,32/64 + 32/64 ,256–512 KiB/core ,1–4 MiB ,1–4 ,? ,0xD41 
ARM ,Cortex-X1 ,2020,ARMv8.2-A ,5-wide ,? ,Yes ,224,Yes ,big ,15,4*128b ,,No ,3K entries ,64 + 64 ,up to 1 MiB ,up to 8 MiB ,custom ,? ,0xD44 
Apple ,Cyclone ,2013,ARMv8.0-A,6-wide,16,Yes ,192,Yes,No,9,,28,No ,No,64 + 64,1 MiB,4 MiB,2,1.3–1.4 GHz ,
Apple ,Typhoon ,2014,ARMv8.0‑A,6-wide,16,Yes ,,Yes,No,9,,20,No ,No,64 + 64,1 MiB,4 MiB,"2, 3 (A8X)",1.1–1.5 GHz ,
Apple ,Twister ,2015,ARMv8.0‑A,6-wide,16,Yes ,,Yes,No,9,,16 / 14 ,No ,No,64 + 64,3 MiB,"4 MiB
No (A9X)",2,1.85–2.26 GHz ,
Apple ,Hurricane ,2016,ARMv8.0‑A ,6-wide ,16,Yes ,,,"""big"" (In A10/A10X paired with ""LITTLE"" Zephyr
cores) ",9,3*128b ,"16 (A10)
10 (A10X) ",No ,No ,64 + 64 ,"3 MiB (A10)
8 MiB (A10X) ","4 MiB (A10)
No (A10X) ","2x Hurricane (A10) 
3x Hurricane (A10X) ",2.34–2.36 GHz ,
Apple ,Zephyr ,,ARMv8.0‑A ,3-wide ,12,Yes ,,,LITTLE ,5,,"16 (A10)
10 (A10X) ",No ,No ,32 + 32 ,1 MiB ,"4 MiB (A10)
No (A10X) ","2x Zephyr (A10) 
3x Zephyr (A10X) ",1.09–1.3 GHz ,
Apple ,Monsoon ,2017,ARMv8.2‑A ,7-wide ,16,Yes ,,,"""big"" (In Apple A11 paired with ""LITTLE"" Mistral
cores) ",11,3*128b ,10,No ,No ,64 + 64 ,8 MiB ,No ,2x Monsoon ,2.39 GHz ,
Apple ,Mistral ,,ARMv8.2‑A ,3-wide ,12,Yes ,,,LITTLE ,5,,10,No ,No ,32 + 32 ,1 MiB ,No ,4× Mistral ,1.19 GHz ,
Apple ,Vortex ,2018,ARMv8.3‑A ,7-wide ,16,Yes ,,,"""big"" (In Apple A12/Apple A12X/Apple A12Z paired with ""LITTLE"" Tempest
cores) ",11,3*128b ,7,No ,No ,128 + 128 ,8 MiB ,No ,"2x Vortex (A12) 
4x Vortex (A12X/A12Z) ",2.49 GHz ,
Apple ,Tempest ,,ARMv8.3‑A ,3-wide ,12,Yes ,,,LITTLE ,5,,7,No ,No ,32 + 32 ,2 MiB ,No ,4x Tempest ,1.59 GHz ,
