family,soc,products,,,,
ARM1 ,ARM1,ARM: Evaluation System second processor for BBC Micro,,,,
ARM2 ,ARM2 ,"Acorn: Archimedes, ChessMachine;",,,,
ARM250 ,ARM250 ,Acorn: Archimedes,,,,
ARM3 ,ARM3 ,Acorn: Archimedes,,,,
ARM60 ,ARM60 ,"3DO Interactive Multiplayer, Zarlink:GPS receiver; ",,,,
ARM610 ,ARM610 ,"Acorn:Risc PC 600, Apple:Newton 100 series;",,,,
ARM700 ,ARM700 ,Acorn:Risc PC prototype CPU card,,,,
ARM710 ,ARM710 ,Acorn:Risc PC 700,,,,
ARM710a ,"ARM7100,ARM 7500,ARM7500FE","Acorn:Risc PC 700,A7000 (ARM7500),A7000+ (ARM7500FE); Network Computer: ARM7500FE;Apple eMate 300;Psion:Series 5 (ARM7100);",,,,
ARM7TDMI-S,"Atmel: AT91SAM7; NXP Semiconductors: LPC2xxx,LH7;Actel: CoreMP7;","Game Boy:Advance;Nintendo:DS,Dsi;Apple iPod;Lego NXT:Juice Box;Garmin: Navigation Devices (1990s – early 2000s); ",,,,
ARM710T ,,"Psion:Series 5mx,Revo,Revo Plus,Diamond Mako;",,,,
ARM720T ,NXP Semiconductors: LH7952x,Zipit:Wireless Messenger,,,,
ARM4,"Digital: SA-110, SA-1100, SA-1110;","SA-110~Apple:Newton 2x00 series;Acorn:Risc PC,Rebel,Corel:Netwinder;Chalice:ATS;
SA-1100~Psion;netBook;Empeg:Car;
SA-1110~LART;(computer); ntel:Assabet;Ipaq:H36x0,Balloon2;Zaurus:SL-5x00;HP Jornada:7xx,560 series;",,,,
ARM810 ,,Acorn:Risc PC prototype CPU card,,,,
ARM920T ,"Atmel:AT91RM9200,AT91SAM9;Cirrus Logic: EP9302, EP9307, EP9312, EP9315;Samsung: S3C2442, S3C2410, S3C2440;","Armadillo, GP32, GP2X (first core), Tapwave: Zodiac (Motorola i.MX1);Hewlett-Packard:HP-49/50 Calculators;Sun:SPOT,HTC TyTN,FIC;Neo: FreeRunner;Garmin:Navigation Devices (mid–late 2000s);TomTom:navigation devices;Boardcom:EM2440-III",,,,
ARM922T ,NXP Semiconductors: LH7A40x,,,,,
ARM940T ,,GP2X:second core,,,,
ARM926EJ-S ,"Texas Instruments:OMAP1710,OMAP1610,OMAP1611,OMAP1612,OMAP-L137,OMAP-L138;Qualcomm:MSM6xxx;Freescale: i.MX21,i.MX27,i.MX28;Atmel:AT91SAM9;NXP Semiconductors:LPC3xxx;Samsung:S3C2412;NEC:C10046F5-211-PN2-A SoC (ATi Hollywood graphics chip-Wii);Telechips:TCC7801,TCC7901;ZiiLABS:ZMS-05;Rockchip:RK2806,RK2808;NeoMagic:MiMagic Family,MM6; MM6+, MM8, MTV., CSR Quatro: 4300 series ","Mobile phones~Sony Ericsson:K,series W series;Siemens/Benq:x65 series+;LG:Arena;GPH:Wiz,Squeezebox Duet Controller (Samsung S3C2412),Squeezebox Radio; Buffalo:TeraStation Live (NAS),Drobo FS (NAS); Western Digital: MyBook I World Edition,MyBook II World Edition; Seagate:FreeAgent,DockStar STDSD10G-RK, FreeAgent GoFlex Home; Chumby:Classic;Nintendo:Wii Hollywood Starlet,Wii U Latte Starlet,Wii U GamePad; Lego Mindstorms:EV3;",,,,
ARM946E-S ,,"Nintendo:DS,Dsi,3DS;Nokia:N-Gage;Canon;PowerShot A470,EOS 5D Mark II;Conexant:802.11 chips;Samsung:S5L2010;",,,,
ARM966E-S ,STMicroelectronics: STR91xF,,,,,
ARM968E-S ,NXP Semiconductors: LPC29xx,,,,,
ARM1020E ,Samsung: SPGPv3 Asic for laser printers,,,,,
ARM1026EJ-S ,"Conexant: CX94610, CX94615 ADSL SoC;",,,,,
ARM5,"Intel:80200, 80219, PXA210, PXA250, PXA255, PXA263, PXA26x, PXA27x, PXA3xx, PXA900, IXC1100, IXP42x;","80219~Thecus:N2100;
IOP321~Iyonix;
PXA210~Zaurus:SL-5600,C700;Ipaq:H3900;Sony:CLIÉ:NX60,CLIÉ NX70V,CLIÉ NZ90;
PXA250~Zaurus:SL-5600,C700,Ipaq:H3900;Sony:CLIÉ NX60,CLIÉ NX70V,CLIÉ NZ90;
PXA255~Gumstix:basix,connex;Palm:Tungsten E2;Zaurus:SL-C750,760,860;Mentor:Ranger,Stryder,iRex Iliad;
PXA263~Sony:CLIÉ NX73V,CLIÉ NX80V;
PXA26x~Palm:Tungsten T3;
PXA27x~Gumstix:verdex;Trizeps-Modules;eSOM270-Module:PXA270 COM;HTC:Universal;HP:hx4700;Zaurus:SL-C1000,3000,3100,3200;Dell:Axim x30,Axim x50,Axim x51;Trolltech:Greenphone;Motorola:Q,Balloon,Ezx,Platform A728, A780, A910, A1200, E680, E680i, E680g, E690, E895, Rokr E2, Rokr E6;Fujitsu Siemens:LOOX N560;Toshiba”Portégé G500;Palm:TX,Trēo 650-755pCentro;Zipit:Z2;HP:iPaq 614c Business Navigator;I-mate:PDA2;
PXA3XX~Samsung:Omnia,SGH-i780;
PXA900~Blackberry 8700,Pearl 8100;
IXP42x~NSLU2;",,,,
