ARK | Intel® Product Specification Comparison
08/24/2023 10:08:22 PM
 ,Intel Atom® Processor C2316 ,Intel Atom® Processor C2516 ,Intel Atom® Processor C5325 ,Intel Atom® Processor C5320 ,Intel Atom® Processor C5315 ,Intel Atom® Processor C5310 ,Intel Atom® Processor C5125 ,Intel Atom® Processor C5115 ,Intel Atom® Processor C3336 ,Intel Atom® Processor C3338R ,Intel Atom® Processor C3758R ,Intel Atom® Processor C3558R ,Intel Atom® Processor C3436L ,Intel Atom® Processor C2338 ,Intel Atom® Processor C2350 ,Intel Atom® Processor C2358 ,Intel Atom® Processor C2518 ,Intel Atom® Processor C2530 ,Intel Atom® Processor C2538 ,Intel Atom® Processor C2550 ,Intel Atom® Processor C2558 ,Intel Atom® Processor C2718 ,Intel Atom® Processor C2730 ,Intel Atom® Processor C2738 ,Intel Atom® Processor C2750 ,Intel Atom® Processor C2758 ,Intel Atom® Processor C2508 ,Intel Atom® Processor C2308 ,Intel Atom® Processor C3758 ,Intel Atom® Processor C3958 ,Intel Atom® Processor C3338 ,Intel Atom® Processor C3538 ,Intel Atom® Processor C3508 ,Intel Atom® Processor C3830 ,Intel Atom® Processor C3850 ,Intel Atom® Processor C3955 ,Intel Atom® Processor C3708 ,Intel Atom® Processor C3308 ,Intel Atom® Processor C3858 ,Intel Atom® Processor C3558 ,Intel Atom® Processor C3750 ,Intel Atom® Processor C3808 ,Intel Atom® Processor C3950 
Essentials
Product Collection,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series,Intel Atom® Processor C Series
Vertical Segment,Embedded,Embedded,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Server,Embedded,Embedded,Server,Embedded,Server,Embedded,Embedded,Server,Embedded,Server,Embedded,Embedded,Embedded,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,C2316,C2516,C5325,C5320,C5315,C5310,C5125,C5115,C3336,C3338R,C3758R,C3558R,C3436L,C2338,C2350,C2358,C2518,C2530,C2538,C2550,C2558,C2718,C2730,C2738,C2750,C2758,C2508,C2308,C3758,C3958,C3338,C3538,C3508,C3830,C3850,C3955,C3708,C3308,C3858,C3558,C3750,C3808,C3950
Lithography,22 nm,22 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,14 nm,14 nm,14 nm,14 nm,14 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,,,Communications Commercial Temp,Communications Extended Temp,Communications Commercial Temp,Communications Extended Temp,Communications Commercial Temp,Communications Commercial Temp,,,,,,Communications,,Communications,Communications,,Communications,,Communications,Communications,,Communications,,Communications,Communications,Communications,,,,,Communications,,,,Communications,Communications,,,,Communications,
Recommended Customer Price,$39.00,$64.00,$299.00,$320.00,$213.00,$213.00,$299.00,$213.00,$36.75,$37.75,$224.00,$98.00,$65.25,$60.00,$43.00,$60.00,$91.00,$70.00,$104.00,$86.00,$104.00,$182.00,$150.00,$208.00,$171.00,$208.00,$98.00,$60.00,$207.00,$480.00,$36.75,$76.50,$87.75,,$346.00,$464.00,$224.00,$41.75,$355.00,$87.75,$183.00,$395.00,$417.00

CPU Specifications
Total Cores,2,4,8,8,4,4,8,4,2,2,8,4,4,2,2,2,4,4,4,4,4,8,8,8,8,8,4,2,8,16,2,4,4,12,12,16,8,2,12,4,8,12,16
