ARK | Intel® Product Specification Comparison
08/24/2023 10:12:42 PM
 ,Intel Atom® Processor Z540 ,Intel Atom® Processor Z530 ,Intel Atom® Processor Z520 ,Intel Atom® Processor Z510 ,Intel Atom® Processor Z500 ,Intel Atom® Processor 230 ,Intel Atom® Processor 330 ,Intel Atom® Processor N270 ,Intel Atom® Processor Z515 ,Intel Atom® Processor Z550 ,Intel Atom® Processor Z530P ,Intel Atom® Processor Z520PT ,Intel Atom® Processor Z510P ,Intel Atom® Processor Z510PT ,Intel Atom® Processor N280 ,Intel Atom® Processor N450 ,Intel Atom® Processor D510 ,Intel Atom® Processor D410 ,Intel Atom® Processor N470 ,Intel Atom® Processor D425 ,Intel Atom® Processor D525 ,Intel Atom® Processor N455 ,Intel Atom® Processor N475 ,Intel Atom® Processor Z600 ,Intel Atom® Processor Z615 ,Intel Atom® Processor Z625 ,Intel Atom® Processor Z560 ,Intel Atom® Processor N550 ,Intel Atom® Processor E620 ,Intel Atom® Processor E620T ,Intel Atom® Processor E640 ,Intel Atom® Processor E640T ,Intel Atom® Processor E660 ,Intel Atom® Processor E660T ,Intel Atom® Processor E680 ,Intel Atom® Processor E680T ,Intel Atom® Processor E645C ,Intel Atom® Processor E645CT ,Intel Atom® Processor E665C ,Intel Atom® Processor E665CT ,Intel Atom® Processor N570 ,Intel Atom® Processor Z670 ,Intel Atom® Processor Z650 
Essentials
Product Collection,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors,Legacy Intel Atom® Processors
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile
Processor Number,Z540,Z530,Z520,Z510,Z500,230,330,N270,Z515,Z550,Z530P,Z520PT,Z510P,Z510PT,N280,N450,D510,D410,N470,D425,D525,N455,N475,Z600,Z615,Z625,Z560,N550,E620,E620T,E640,E640T,E660,E660T,E680,E680T,E645C,E645CT,E665C,E665CT,N570,Z670,Z650
Lithography,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm
Use Conditions,,PC/Client/Tablet,,PC/Client/Tablet,,,,PC/Client/Tablet,,,Communications,Communications,Communications,Communications,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,,,,Industrial Commercial Temp,Industrial Commercial Temp |  Industrial Extended Temp,Industrial Commercial Temp,Industrial Commercial Temp |  Industrial Extended Temp,Industrial Commercial Temp,Industrial Commercial Temp |  Industrial Extended Temp,Industrial Commercial Temp,Industrial Commercial Temp |  Industrial Extended Temp,,,,,,,
Recommended Customer Price,,$65.00,,$20.00,,,,,,,$65.00,$50.00,$20.00,,,,,$43.00,,,$63.00,,,,,,,,,,,,,,,,,,,,,,

Performance Specifications
Total Cores,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Processor Base Frequency,1.86 GHz,1.60 GHz,1.33 GHz,1.10 GHz,800 MHz,1.60 GHz,1.60 GHz,1.60 GHz,1.20 GHz,2.00 GHz,1.60 GHz,1.33 GHz,1.10 GHz,1.10 GHz,1.66 GHz,,,,,,,,,,,,2.13 GHz,,,,,,,,,,,,,,,,
Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,1 MB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,512 KB L2 Cache,,,,,,,,,,,,512 KB L2 Cache,,,,,,,,,,,,,,,,
Bus Speed,533 MHz,533 MHz,533 MHz,400 MHz,400 MHz,533 MHz,533 MHz,533 MHz,400 MHz,533 MHz,533 MHz,533 MHz,400 MHz,400 MHz,667 MHz,,,,,,,,,,,,533 MHz,,,,,,,,,,,,,,,,
FSB Parity,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,
TDP,2.4 W,2 W,2 W,2 W,0.65 W,4 W,8 W,2.5 W,1.4 W,2.4 W,2.2 W,2.2 W,2.2 W,2.2 W,2.5 W,,,,,,,,,,,,2.5 W,,,,,,,,,,,,,,,,
Scenario Design Power (SDP),0.96 W,0.96 W,0.96 W,0.96 W,0.96 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VID Voltage Range,0.75 -1.1V,0.75 -1.1V,0.75-1.1V,0.75-1.1V,0.80 -1.10V,0.9V-1.1625V,0.9V-1.1625V,0.9V-1.1625V,,,0.8V-1.1V,0.9V-1.1V,0.8V-1.1V,0.75V-1.1V,0.9V-1.1625V,,,,,,,,,,,,0.75V-1.1V,,,,,,,,,,,,,,,,

Supplemental Information
