ARK | Intel® Product Specification Comparison
08/24/2023 10:10:03 PM
 ,Intel Atom® Processor N2600 ,Intel Atom® Processor N2800 
Essentials
Product Collection,Intel Atom® Processor N Series,Intel Atom® Processor N Series
Vertical Segment,Mobile,Mobile
Processor Number,N2600,N2800
Lithography,32 nm,32 nm
Use Conditions,PC/Client/Tablet,PC/Client/Tablet

CPU Specifications
Total Cores,2,2
Total Threads,4,4
Processor Base Frequency,1.60 GHz,1.86 GHz
Cache,1 MB L2 Cache,1 MB L2 Cache
Bus Speed,2.5 GT/s,2.5 GT/s
TDP,3.5 W,6.5 W

Supplemental Information
Marketing Status,Discontinued,Discontinued
Launch Date,Q4'11,Q4'11
Embedded Options Available,Yes,Yes

Memory Specifications
Max Memory Size (dependent on memory type),2.44 GB,4.88 GB
Memory Types,DDR3,DDR3
Max # of Memory Channels,1,1

Processor Graphics
Graphics Base Frequency,400 MHz,640 MHz

Package Specifications
Sockets Supported,FCBGA559,FCBGA559

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No
Intel® Hyper-Threading Technology ‡,Yes,Yes
Intel® 64 ‡,Yes,Yes
Instruction Set,64-bit,64-bit
Instruction Set Extensions,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3,Intel® SSE2 |  Intel® SSE3 |  Intel® SSSE3
Enhanced Intel SpeedStep® Technology,Yes,Yes
Intel® Demand Based Switching,No,No
Thermal Monitoring Technologies,Yes,Yes

Security & Reliability
Intel® Trusted Execution Technology ‡,No,No
Execute Disable Bit ‡,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,No,No
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,No,No
