ARK | Intel® Product Specification Comparison
08/24/2023 10:10:33 PM
 ,Intel Atom® Processor P5362 ,Intel Atom® Processor P5352 ,Intel Atom® Processor P5342 ,Intel Atom® Processor P5332 ,Intel Atom® Processor P5322 ,Intel Atom® Processor P5931B ,Intel Atom® Processor P5962B ,Intel Atom® Processor P5921B ,Intel Atom® Processor P5942B ,Intel Atom® Processor P5742 ,Intel Atom® Processor P5721 ,Intel Atom® Processor P5752 ,Intel Atom® Processor P5731 
Essentials
Product Collection,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series,Intel Atom® Processor P Series
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,P5362,P5352,P5342,P5332,P5322,P5931B,P5962B,P5921B,P5942B,P5742,P5721,P5752,P5731
Lithography,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm
Use Conditions,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Base Transceiver Station,Base Transceiver Station,Base Transceiver Station,Base Transceiver Station,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp,Communications Extended Temp
Recommended Customer Price,$708.00,$654.00,$632.00,$448.00,$352.00,,,,,$752.00,$392.00,$763.00,$561.00

CPU Specifications
Total Cores,24,20,16,12,8,12,24,8,16,16,8,20,12
# of Efficient-cores,24,20,16,12,8,,,,,16,8,20,12
Total Threads,24,20,16,12,8,12,24,8,16,16,8,20,12
Processor Base Frequency,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz,2.20 GHz
Cache,27 MB,22.5 MB,18 MB,13.5 MB,9 MB,13.5 MB L2 Cache,27 MB L2 Cache,9 MB L2 Cache,18 MB L2 Cache,18 MB,9 MB,22.5 MB,13.5 MB
Max # of UPI Links,0,0,0,0,0,0,0,0,0,0,0,0,0
# of QPI Links,0,0,0,0,0,0,0,0,0,0,0,0,0
TDP,83 W,78 W,71 W,61 W,55 W,,,,,67 W,48 W,74.5 W,54.5 W

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Launched,Launched,Launched,Launched
Launch Date,Q2'22,Q2'22,Q2'22,Q2'22,Q2'22,Q1'20,Q1'20,Q1'20,Q1'20,Q2'22,Q2'22,Q2'22,Q2'22
Embedded Options Available,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
