ARK | Intel® Product Specification Comparison
08/24/2023 10:11:37 PM
 ,Intel Atom® x6425RE Processor ,Intel Atom® x6427FE Processor ,Intel Atom® x6414RE Processor ,Intel Atom® x6212RE Processor ,Intel Atom® x6200FE Processor ,Intel Atom® x6211E Processor ,Intel Atom® x6425E Processor ,Intel Atom® x6413E Processor ,Intel Atom® x6416RE Processor ,Intel Atom® x6214RE Processor ,Intel Atom® x7213E ,Intel Atom® x7211E ,Intel Atom® x7425E ,Intel Atom® Processor S1260 ,Intel Atom® Processor S1240 ,Intel Atom® Processor S1220 ,Intel Atom® x5-Z8500 Processor ,Intel Atom® x7-Z8700 Processor ,Intel Atom® x5-Z8300 Processor ,Intel Atom® x3-C3445 Processor ,Intel Atom® x3-C3230RK Processor ,Intel Atom® x3-C3405 Processor ,Intel Atom® x3-C3200RK Processor ,Intel Atom® x5-Z8330 Processor ,Intel Atom® x5-E8000 Processor ,Intel Atom® x5-Z8550 Processor ,Intel Atom® x5-Z8350 Processor ,Intel Atom® x7-Z8750 Processor ,Intel Atom® x3-C3235RK Processor ,Intel Atom® x3-C3205RK Processor ,Intel Atom® x5-E3940 Processor ,Intel Atom® x5-E3930 Processor ,Intel Atom® x7-E3950 Processor ,Intel Atom® x3-C3265RK Processor ,Intel Atom® x3-C3295RK Processor 
Essentials
Product Collection,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor S Series,Intel Atom® Processor S Series,Intel Atom® Processor S Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series,Intel Atom® Processor X Series
Vertical Segment,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Server,Server,Server,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Mobile,Mobile
Processor Number,6425RE,6427FE,6414RE,6212RE,6200FE,6211E,6425E,6413E,6416RE,X6214RE,X7213E,X7211E,X7425E,S1260,S1240,S1220,x5-Z8500,x7-Z8700,x5-Z8300,x3-C3445,x3-C3230RK,x3-C3405,x3-C3200RK,x5-Z8330,E8000,x5-Z8550,x5-Z8350,x7-Z8750,x3-C3235RK,x3-3205RK,E3940,E3930,E3950,x3-C3265RK,x3-C3295RK
Lithography,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,Intel 7,Intel 7,Intel 7,32 nm,32 nm,32 nm,14 nm,14 nm,14 nm,28 nm,28 nm,28 nm,28 nm,14 nm,14 nm,14 nm,14 nm,14 nm,28 nm,28 nm,14 nm,14 nm,14 nm,28 nm,28 nm
Use Conditions,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Embedded Broad Market Extended Temp,Embedded Broad Market Extended Temp,Embedded Broad Market Extended Temp,Industrial Extended Temp,Industrial Extended Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,Industrial Commercial Temp |  Industrial Extended Temp,Industrial Extended Temp |  Embedded Broad Market Extended Temp,Industrial Extended Temp |  Embedded Broad Market Extended Temp,Industrial Extended Temp |  Embedded Broad Market Extended Temp,Industrial Commercial Temp |  Industrial Extended Temp,
Recommended Customer Price,$71.00,$83.00,$55.00,$45.00,$45.00,$42.00,$67.00,$51.00,$63.00,$47.00,$47.00,$39.00,$58.00,,$64.00,$54.00,,,,,,,,,$18.00,$32.00,$26.00,$45.00,,,$34.00,$26.00,$45.00,,

CPU Specifications
Total Cores,4,4,4,2,2,2,4,4,4,2,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4
Total Threads,4,4,4,2,2,2,4,4,4,2,,,,4,4,4,,,,,,,,,4,,,,,,4,2,4,,
Processor Base Frequency,1.90 GHz,1.90 GHz,1.50 GHz,1.20 GHz,1.00 GHz,1.30 GHz,2.00 GHz,1.50 GHz,1.70 GHz,1.40 GHz,,,,2.00 GHz,1.60 GHz,1.60 GHz,1.44 GHz,1.60 GHz,1.44 GHz,1.20 GHz,,1.20 GHz,,1.44 GHz,1.04 GHz,1.44 GHz,1.44 GHz,1.60 GHz,,,1.60 GHz,1.30 GHz,1.60 GHz,,
Cache,1.5 MB L2 Cache,1.5 MB L2 Cache,1.5 MB L2 Cache,1.5 MB L2 Cache,1.5 MB,1.5 MB L2 Cache,1.5 MB L2 Cache,1.5 MB L2 Cache,1.5 MB L2 Cache,1.5 MB L2 Cache,6 MB,6 MB,6 MB,1 MB,1 MB,1 MB,2 MB,2 MB,2 MB,1 MB,1 MB,1 MB,1 MB,2 MB L2 Cache,2 MB,2 MB,2 MB,2 MB,1 MB,1 MB,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,1 MB L2 Cache,1 MB L2 Cache
TDP,12 W,12 W,9 W,6 W,4.5 W,6 W,12 W,9 W,9 W,6 W,10 W,6 W,12 W,8.5 W,6.1 W,8.1 W,,,,,,,,,5 W,,,,,,9.5 W,6.5 W,12 W,,
Burst Frequency,,,,,,3.00 GHz,3.00 GHz,3.00 GHz,,,,,,,,,2.24 GHz,2.40 GHz,1.84 GHz,1.40 GHz,1.10 GHz,1.40 GHz,1.10 GHz,1.92 GHz,,2.40 GHz,1.92 GHz,2.56 GHz,1.20 GHz,1.20 GHz,1.80 GHz,1.80 GHz,2.00 GHz,,
Max Turbo Frequency,,,,,,,,,,,3.20 GHz,3.20 GHz,3.40 GHz,,,,,,,,,,,,,,,,,,,,,,
Scenario Design Power (SDP),,,,,,,,,,,,,,,,,2 W,2 W,2 W,2 W,2 W,2 W,2 W,2 W,,2 W,2 W,2 W,2 W,2 W,,,,2 W,2 W

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Announced,Discontinued,Announced,Discontinued,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Launched,Launched,Launched,Discontinued,Discontinued
Launch Date,Q1'21,Q1'21,Q1'21,Q1'21,Q1'21,Q1'21,Q1'21,Q1'21,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23,Q4'12,Q4'12,Q4'12,Q1'15,Q1'15,Q2'15,Q1'15,Q1'15,Q1'15,Q1'15,Q1'16,Q1'16,Q1'16,Q1'16,Q1'16,Q4'15,Q4'16,Q4'16,Q4'16,Q4'16,Q4'16,Q4'16
Embedded Options Available,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No
Functional Safety (FuSa) Documentation Available,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicing Status,,,,,,,,,,,,,,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,,,,,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,,,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,,
End of Servicing Updates Date,,,,,,,,,,,,,,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,,,,,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,Thursday |  June 30 |  2022,,,Saturday |  September 30 |  2023,Saturday |  September 30 |  2023,Saturday |  September 30 |  2023,,
Product Brief,,,,,,,,,,,,,,,,,View now,View now,View now,,,,,,,View now,View now,View now,,,,,,,
Additional Information URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,View now,View now,View now,,

Memory Specifications
Max Memory Size (dependent on memory type),32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,32 GB,16 GB,16 GB,16 GB,8 GB,8 GB,8 GB,8 GB,8 GB,2 GB,2 GB,2 GB,2 GB,2 GB,2 GB,8 GB,8 GB,2 GB,8 GB,2 GB,2 GB,8 GB,8 GB,8 GB,2 GB,2 GB
