ARK | Intel® Product Specification Comparison
08/24/2023 09:18:20 PM
 ,Intel® Celeron® Processor 1020M ,Intel® Celeron® Processor 1037U ,Intel® Celeron® Processor 1000M ,Intel® Celeron® Processor 1007U ,Intel® Celeron® Processor 1020E ,Intel® Celeron® Processor 1047UE ,Intel® Celeron® Processor 1019Y ,Intel® Celeron® Processor 1017U ,Intel® Celeron® Processor 1005M 
Essentials
Product Collection,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series,Intel® Celeron® Processor 1000 Series
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile
Processor Number,1020M,1037U,1000M,1007U,,1047UE,1019Y,1017U,1005M
Lithography,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm
Use Conditions,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,

CPU Specifications
Total Cores,2,2,2,2,2,2,2,2,2
Total Threads,2,2,2,2,2,2,2,2,2
Processor Base Frequency,2.10 GHz,1.80 GHz,1.80 GHz,1.50 GHz,2.20 GHz,1.40 GHz,1.00 GHz,1.60 GHz,1.90 GHz
Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB,2 MB
Bus Speed,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s
TDP,35 W,17 W,35 W,17 W,35 W,17 W,10 W,17 W,35 W
Scenario Design Power (SDP),,,,,,,7 W,,

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q1'13,Q1'13,Q1'13,Q1'13,Q1'13,Q1'13,Q2'13,Q3'13,Q3'13
Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime
End of Servicing Updates Date,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019
Embedded Options Available,No,No,No,No,Yes,Yes,No,No,No
Description,,,,,ECC on BGA only,,,,

Memory Specifications
Max Memory Size (dependent on memory type),32 GB,32 GB,32 GB,32 GB,16 GB,16 GB,32 GB,32 GB,32 GB
Memory Types,DDR3/L/-RS 1333/1600,DDR3/L/-RS 1333/1600,DDR3/L/-RS 1333/1600,DDR3/L/-RS 1333/1600,DDR3/DDR3L 1333/1600,DDR3/DDR3L 1333/1600,DDR3/L/-RS 1333/1600,DDR3/L/-RS 1333/1600,DDR3/L/-RS 1333/1600
Max # of Memory Channels,2,2,2,2,2,2,2,2,2
Max Memory Bandwidth,25.6 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s,25.6 GB/s
ECC Memory Supported   ‡,No,No,No,No,Yes,Yes,No,No,No

Processor Graphics
Processor Graphics ‡,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for 3rd Generation Intel® Processors
Graphics Base Frequency,650 MHz,350 MHz,650 MHz,350 MHz,650 MHz,350 MHz,350 MHz,350 MHz,650 MHz
Graphics Max Dynamic Frequency,1.00 GHz,1.00 GHz,1.00 GHz,1.00 GHz,1.00 GHz,900 MHz,800 MHz,1.00 GHz,1.00 GHz
Graphics Output,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT,eDP/DP/HDMI/SDVO/CRT
Intel® Quick Sync Video,No,No,No,No,No,No,No,No,No
Intel® InTru™ 3D Technology,No,No,No,No,No,No,No,No,No
Intel® Flexible Display Interface (Intel® FDI),Yes,Yes,Yes,Yes,,,Yes,Yes,Yes
Intel® Clear Video HD Technology,No,No,No,No,No,No,No,No,No
# of Displays Supported ‡,3,3,3,3,3,2,3,3,3
Intel® Clear Video Technology,,,No,No,,,No,No,No

Expansion Options
PCI Express Revision,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
PCI Express Configurations ‡,1x16 |  2x8 |  1x8 & 2x4,1x16 |  2x8 |  1x8 & 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 & 2x4,1x16 |  2x8 |  1x8 & 2x4,,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4
Max # of PCI Express Lanes,16,16,16,16,1,1,,16,16

Package Specifications
Sockets Supported,FCPGA988,FCBGA1023,FCPGA988,FCBGA1023,FCBGA1023 | FCPGA988,FCBGA1023,FCBGA1023,FCBGA1023,FCPGA988
Max CPU Configuration,1,1,1,1,1,1,1,1,1
TJUNCTION,105C,105C,105 C,105 C,105C,105C,105 C,105 C,105 C
Package Size,37.5mm x 37.5mm (rPGA988B); 31mm x 24mm (BGA1023),31mm x 24mm,37.5mmx37.5mm (rPGA988B),31mm x 24mm,37.5mm x 37.5mm (rPGA988B); 31mm x 24mm (BGA1023),BGA1023 31mm x 24mm,31mm x 24mm,31mm x 24mm,37.5mmx37.5mm (rPGA988B)

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,No,No,No,No,No,No,No
Intel® Hyper-Threading Technology ‡,No,No,No,No,No,No,No,No,No
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
