ARK | Intel® Product Specification Comparison
08/24/2023 09:16:43 PM
 ,Intel® Celeron® Processor 3965Y ,Intel® Celeron® Processor 3867U ,Intel® Celeron® Processor 3205U ,Intel® Celeron® Processor 3215U ,Intel® Celeron® Processor 3755U ,Intel® Celeron® Processor 3765U ,Intel® Celeron® Processor 3855U ,Intel® Celeron® Processor 3955U ,Intel® Celeron® Processor 3965U ,Intel® Celeron® Processor 3865U 
Essentials
Product Collection,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series,Intel® Celeron® Processor 3000 Series
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile
Processor Number,3965Y,3867U,3205U,3215U,3755U,3765U,3855U,3955U,3965U,3865U
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,
Recommended Customer Price,$107.00,,,,,,$107.00,$107.00,$107.00,

CPU Specifications
Total Cores,2,2,2,2,2,2,2,2,2,2
Total Threads,2,2,2,2,2,2,2,2,2,2
Processor Base Frequency,1.50 GHz,1.80 GHz,1.50 GHz,1.70 GHz,1.70 GHz,1.90 GHz,1.60 GHz,2.00 GHz,2.20 GHz,1.80 GHz
Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB,2 MB,2 MB,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache
