ARK | Intel® Product Specification Comparison
08/24/2023 09:13:24 PM
 ,Intel® Celeron® Processor 7305 ,Intel® Celeron® Processor 7300 ,Intel® Celeron® Processor 7305E ,Intel® Celeron® Processor 7305L 
Essentials
Product Collection,Intel® Celeron® Processor 7000 Series,Intel® Celeron® Processor 7000 Series,Intel® Celeron® Processor 7000 Series,Intel® Celeron® Processor 7000 Series
Vertical Segment,Mobile,Mobile,Embedded,Embedded
Processor Number,7305,7300,7305E,7305L
Lithography,Intel 7,Intel 7,Intel 7,Intel 7
Use Conditions,,,Embedded Broad Market Commercial Temp,PC/Client/Tablet
Recommended Customer Price,$128.00,,$107.00,$107.00

CPU Specifications
Total Cores,5,5,5,5
# of Performance-cores,1,1,1,1
# of Efficient-cores,4,4,4,4
Total Threads,5,5,5,5
Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache
Processor Base Power,15 W,9 W,15 W,15 W
Maximum Turbo Power,55 W,29 W,,
Minimum Assured Power,12 W,,12 W,12 W
Processor Base Frequency,,,1.00 GHz,1.10 GHz
Max Turbo Frequency,,,,1.10 GHz
Single P-core Turbo Frequency,,,,1.10 GHz
TDP,,,,15 W
Maximum Assured Power,,,,28 W

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched
Launch Date,Q1'22,Q1'22,Q1'22,Q3'22
Embedded Options Available,No,No,Yes,Yes

Memory Specifications
Max Memory Size (dependent on memory type),64 GB,64 GB,64 GB,64 GB
Memory Types,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s
Max # of Memory Channels,2,2,2,2
ECC Memory Supported   ‡,No,No,No,No

Processor Graphics
Processor Graphics ‡,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® UHD Graphics for 12th Gen Intel® Processors,Intel® UHD Graphics for 12th Gen Intel® Processors
Graphics Max Dynamic Frequency,1.10 GHz,800 MHz,1.10 GHz,1.10 GHz
Graphics Output,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1
Execution Units,48,48,48,48
Max Resolution (HDMI)‡,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz,4096 x 2304 @ 60Hz
Max Resolution (DP)‡,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz,4096 x 2304 @ 120Hz
DirectX* Support,12.1,12.1,12.1,12.1
OpenGL* Support,4.6,4.6,4.6,4.6
OpenCL* Support,3.0,3.0,3.0,3.0
Multi-Format Codec Engines,1,1,2,2
Intel® Quick Sync Video,Yes,Yes,Yes,Yes
# of Displays Supported ‡,4,4,4,4
Device ID,0x46B3,0x46C3,0x46B3,0x46B3

Expansion Options
Intel® Thunderbolt™ 4,Yes,Yes,Yes,Yes
Microprocessor PCIe Revision,Gen 4,Gen 4,Gen 4,Gen 4
Chipset / PCH PCIe Revision,Gen 3,Gen 3,Gen 3,Gen 3
Max # of PCI Express Lanes,20,14,20,20

Package Specifications
Sockets Supported,FCBGA1744,FCBGA1781,FCBGA1744,FCLGA1700
Max CPU Configuration,1,1,1,1
TJUNCTION,100°C,100°C,100°C,100°C
Package Size,50 x 25,28.5 x 19,50 x 25,50mm x 25mm

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.0,3.0,3.0,3.0
Intel® Thread Director,Yes,Yes,Yes,Yes
Intel® Image Processing Unit,6.0,6.0,6.0,6.0
Intel® Smart Sound Technology,Yes,Yes,Yes,Yes
Intel® Wake on Voice,Yes,Yes,Yes,Yes
Intel® High Definition Audio,Yes,Yes,Yes,Yes
MIPI SoundWire*,1.2,1.2,1.2,1.2
Intel® Deep Learning Boost (Intel® DL Boost),Yes,Yes,Yes,Yes
Intel® Adaptix™ Technology,Yes,Yes,,Yes
Intel® Speed Shift Technology,Yes,Yes,Yes,Yes
Intel® Turbo Boost Technology ‡,No,No,No,No
Intel® Hyper-Threading Technology ‡,No,No,No,No
Instruction Set,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes
Intel® Flex Memory Access,Yes,No,Yes,Yes
Intel® Volume Management Device (VMD),Yes,Yes,,Yes

Security & Reliability
Intel® Threat Detection Technology (TDT),Yes,Yes,,Yes
Intel® QuickAssist Software Acceleration,Yes,Yes,,Yes
Intel® Control-Flow Enforcement Technology,Yes,Yes,Yes,Yes
Intel® AES New Instructions,Yes,Yes,Yes,Yes
Secure Key,Yes,Yes,Yes,Yes
Intel® OS Guard,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,,Yes
Intel® Boot Guard,Yes,Yes,Yes,Yes
Mode-based Execute Control (MBEC),Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes
