ARK | Intel® Product Specification Comparison
08/24/2023 09:10:57 PM
 ,Intel® Celeron® J4105 Processor ,Intel® Celeron® J4005 Processor ,Intel® Celeron® Processor J3455E ,Intel® Celeron® Processor J3355E ,Intel® Celeron® Processor J4125 ,Intel® Celeron® Processor J4025 ,Intel® Celeron® Processor J6413 ,Intel® Celeron® Processor J6412 ,Intel® Celeron® Processor J1850 ,Intel® Celeron® Processor J1750 ,Intel® Celeron® Processor J1800 ,Intel® Celeron® Processor J1900 ,Intel® Celeron® Processor J3160 ,Intel® Celeron® Processor J3060 ,Intel® Celeron® Processor J3455 ,Intel® Celeron® Processor J3355 
Essentials
Product Collection,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series,Intel® Celeron® Processor J Series
Vertical Segment,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Embedded,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop
Processor Number,J4105,J4005,J3455E,J3355E,J4125,J4025,J6413,J6412,J1850,J1750,J1800,J1900,J3160,J3060,J3455,J3355
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm,10 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,PC/Client/Tablet,
Recommended Customer Price,,,,,,,$64.00,$64.00,,,$22.00,$35.00,$107.00,$107.00,$31.00,$24.00

CPU Specifications
Total Cores,4,2,4,2,4,2,4,4,4,2,2,4,4,2,4,2
