ARK | Intel® Product Specification Comparison
08/24/2023 09:18:59 PM
 ,Intel® Celeron® D Processor 310 ,Intel® Celeron® D Processor 315 ,Intel® Celeron® D Processor 315/315J ,Intel® Celeron® D Processor 320 ,Intel® Celeron® D Processor 325 ,Intel® Celeron® D Processor 325/325J ,Intel® Celeron® D Processor 325J ,Intel® Celeron® D Processor 326 ,Intel® Celeron® D Processor 330 ,Intel® Celeron® D Processor 330/330J ,Intel® Celeron® D Processor 330J ,Intel® Celeron® D Processor 335 ,Intel® Celeron® D Processor 335/335J ,Intel® Celeron® D Processor 335J ,Intel® Celeron® D Processor 340 ,Intel® Celeron® D Processor 340J ,Intel® Celeron® D Processor 341 ,Intel® Celeron® D Processor 345 ,Intel® Celeron® D Processor 345J ,Intel® Celeron® D Processor 350 ,Intel® Celeron® D Processor 350/350J ,Intel® Celeron® D Processor 351 ,Intel® Celeron® D Processor 352 ,Intel® Celeron® D Processor 355 ,Intel® Celeron® D Processor 356 ,Intel® Celeron® D Processor 360 ,Intel® Celeron® M Processor 320 ,Intel® Celeron® M Processor 370 ,Intel® Celeron® M Processor 440 ,Intel® Celeron® M Processor ULV 373 ,Intel® Celeron® M Processor ULV 423 ,Intel® Celeron® Processor 1.70 GHz, 128K Cache, 400 MHz FSB ,Intel® Celeron® Processor 2.00 GHz, 128K Cache, 400 MHz FSB ,Intel® Celeron® Processor 2.50 GHz, 128K Cache, 400 MHz FSB ,Intel® Celeron® Processor 300 MHz, 128K Cache, 66 MHz FSB ,Intel® Celeron® Processor 366 MHz, 128K Cache, 66 MHz FSB ,Intel® Celeron® Processor 433 MHz, 128K Cache, 66 MHz FSB ,Intel® Celeron® Processor 566 MHz, 128K Cache, 66 MHz FSB ,Intel® Celeron® Processor 733 MHz, 128K Cache, 66 MHz FSB ,Intel® Celeron® Processor 850 MHz, 128K Cache, 100 MHz FSB ,Mobile Intel® Celeron® Processor 1.20 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor 1.40 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor 1.50 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor 1.60 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor 2.20 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor 2.40 GHz, 256K Cache, 400 MHz FSB ,Mobile Intel® Celeron® Processor LV 650 MHz, 256K Cache, 100 MHz FSB ,Intel® Celeron® D Processor 347 ,Intel® Celeron® D Processor 365 ,Intel® Celeron® M Processor 520 ,Intel® Celeron® M Processor 530 ,Intel® Celeron® Processor 420 ,Intel® Celeron® Processor 430 ,Intel® Celeron® Processor 440 ,Intel® Celeron® Processor 1.66 GHz, 1M Cache, 667 MHz FSB ,Intel® Celeron® Processor 1.83 GHz, 1M Cache, 667 MHz FSB ,Intel® Celeron® Processor 540 ,Intel® Celeron® Processor 550 ,Intel® Celeron® M Processor ULV 523 ,Intel® Celeron® Processor 530 ,Intel® Celeron® Processor 220 ,Intel® Celeron® Processor 560 ,Intel® Celeron® Processor E1200 ,Intel® Celeron® Processor E1600 ,Intel® Celeron® Processor E1500 ,Intel® Celeron® Processor E1400 ,Intel® Celeron® Processor 450 ,Intel® Celeron® Processor 570 ,Intel® Celeron® Processor 575 ,Intel® Celeron® Processor 585 ,Intel® Celeron® M Processor ULV 723 ,Intel® Celeron® M Processor ULV 722 ,Intel® Celeron® Processor T1700 ,Intel® Celeron® M Processor ULV 743 ,Intel® Celeron® M Processor 600 MHz, 512K Cache, 400 MHz FSB ,Intel® Celeron® Processor T3100 ,Intel® Celeron® Processor T1600 ,Intel® Celeron® Processor ULV 573 ,Intel® Celeron® Processor 900 ,Intel® Celeron® Processor T3500 ,Intel® Celeron® Processor E3200 ,Intel® Celeron® Processor E3300 ,Intel® Celeron® Processor E3400 ,Intel® Celeron® Processor E3500 ,Intel® Celeron® Processor SU2300 ,Intel® Celeron® Processor T3300 ,Intel® Celeron® Processor P4500 ,Intel® Celeron® Processor P1053 ,Intel® Celeron® Processor P4505 ,Intel® Celeron® Processor U3400 ,Intel® Celeron® Processor U3600 ,Intel® Celeron® Processor U3405 ,Intel® Celeron® Processor P4600 ,Intel® Celeron® Processor G530 ,Intel® Celeron® Processor G530T ,Intel® Celeron® Processor G540 ,Intel® Celeron® Processor G540T ,Intel® Celeron® Processor G550 ,Intel® Celeron® Processor G550T ,Intel® Celeron® Processor ULV 763 ,Intel® Celeron® Processor 925 ,Intel® Celeron® Processor B810 ,Intel® Celeron® Processor B810E ,Intel® Celeron® Processor 847E ,Intel® Celeron® Processor 827E ,Intel® Celeron® Processor 847 ,Intel® Celeron® Processor G440 ,Intel® Celeron® Processor B710 ,Intel® Celeron® Processor B800 ,Intel® Celeron® Processor 787 ,Intel® Celeron® Processor 857 ,Intel® Celeron® Processor B840 ,Intel® Celeron® Processor 807UE ,Intel® Celeron® Processor G460 ,Intel® Celeron® Processor 797 ,Intel® Celeron® Processor 867 ,Intel® Celeron® Processor B815 ,Intel® Celeron® Processor B720 ,Intel® Celeron® Processor 877 ,Intel® Celeron® Processor B820 ,Intel® Celeron® Processor 807 ,Intel® Celeron® Processor 725C ,Intel® Celeron® Processor G555 ,Intel® Celeron® Processor 887 ,Intel® Celeron® Processor G465 ,Intel® Celeron® Processor B830 ,Intel® Celeron® Processor 927UE ,Intel® Celeron® Processor G470 
Essentials
Product Collection,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor,Legacy Intel® Celeron® Processor
Vertical Segment,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Embedded,Embedded,Embedded,Mobile,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Desktop,Mobile,Desktop,Mobile,Embedded,Desktop
Processor Number,310,315,315J,320,325,326,325J,326,330,330,330J,335,335,335J,340,340J,341,345,345J,350,350J,351,352,355,356,360,320,370,440,373,423,,,,,,,,,,,,,,,,,347,365,520,530,420,430,440,,,540,550,523,530,220,560,E1200,E1600,E1500,E1400,450,570,575,585,723,722,T1700,743,,T3100,T1600,573,900,T3500,E3200,E3300,E3400,E3500,SU2300,T3300,P4500,P1053,P4505,U3400,U3600,U3405,P4600,G530,G530T,G540,G540T,G550,G550T,763,925,B810,B810E,847E,827E,847,G440,B710,B800,787,857,B840,807UE,G460,797,867,B815,B720,877,B820,807,725C,G555,887,G465,B830,927UE,G470
Lithography,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,65 nm,90 nm,65 nm,65 nm,130 nm,90 nm,65 nm,90 nm,65 nm,130 nm,130 nm,130 nm,250 nm,250 nm,250 nm,180 nm,180 nm,180 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,45 nm,45 nm,65 nm,45 nm,130 nm,45 nm,65 nm,65 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,32 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,,32 nm,32 nm,32 nm,32 nm,22 nm,32 nm
Use Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC/Client/Tablet,PC/Client/Tablet,,,,PC/Client/Tablet,,,,,,,PC/Client/Tablet,,,,,Communications,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,PC/Client/Tablet,,,,,,PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,Communications,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$37.00,,,,,,,,,,,$58.00,$47.00,,,,,,,$161.00,,,,$62.00,,,,,$47.00,$47.00,$42.00,$52.00,,,,$153.00,$68.00,,,,,$42.00,,$42.00,,$42.00,,,,,,,,$134.00,,,,,,$86.00,,$37.00,,,,,,,,,$52.00,,$37.00,,,$37.00

Performance Specifications
Total Cores,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Processor Base Frequency,2.13 GHz,2.26 GHz,2.26 GHz,2.40 GHz,2.53 GHz,2.53 GHz,2.53 GHz,2.53 GHz,2.66 GHz,2.66 GHz,2.66 GHz,2.80 GHz,2.80 GHz,2.80 GHz,2.93 GHz,2.93 GHz,2.93 GHz,3.06 GHz,3.06 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.33 GHz,3.33 GHz,3.46 GHz,1.30 GHz,1.50 GHz,1.86 GHz,1.00 GHz,1.06 GHz,1.70 GHz,2.00 GHz,2.50 GHz,300 MHz,366 MHz,433 MHz,566 MHz,733 MHz,850 MHz,1.20 GHz,1.40 GHz,1.50 GHz,1.60 GHz,2.20 GHz,2.40 GHz,650 MHz,3.06 GHz,3.60 GHz,1.60 GHz,1.73 GHz,1.60 GHz,1.80 GHz,2.00 GHz,1.66 GHz,1.83 GHz,1.86 GHz,2.00 GHz,930 MHz,1.73 GHz,1.20 GHz,2.13 GHz,1.60 GHz,2.40 GHz,2.20 GHz,2.00 GHz,2.20 GHz,2.26 GHz,2.00 GHz,2.16 GHz,1.20 GHz,1.20 GHz,1.83 GHz,1.30 GHz,600 MHz,1.90 GHz,1.66 GHz,1.00 GHz,2.20 GHz,2.10 GHz,2.40 GHz,2.50 GHz,2.60 GHz,2.70 GHz,1.20 GHz,2.00 GHz,,,,,,,,,,,,,,1.40 GHz,2.30 GHz,,,,,1.10 GHz,,,,,,,,,,,,,,,,,,,,,,
