ARK | Intel® Product Specification Comparison
08/24/2023 09:11:56 PM
 ,Intel® Celeron® Processor N4100 ,Intel® Celeron® Processor N4000 ,Intel® Celeron® Processor N3350E ,Intel® Celeron® Processor N4120 ,Intel® Celeron® Processor N4020 ,Intel® Celeron® Processor N6211 ,Intel® Celeron® Processor N4505 ,Intel® Celeron® Processor N4500 ,Intel® Celeron® Processor N5105 ,Intel® Celeron® Processor N5100 ,Intel® Celeron® Processor N2910 ,Intel® Celeron® Processor N2810 ,Intel® Celeron® Processor N2805 ,Intel® Celeron® Processor N2806 ,Intel® Celeron® Processor N2815 ,Intel® Celeron® Processor N2820 ,Intel® Celeron® Processor N2920 ,Intel® Celeron® Processor N2830 ,Intel® Celeron® Processor N2807 ,Intel® Celeron® Processor N2930 ,Intel® Celeron® Processor N2808 ,Intel® Celeron® Processor N2840 ,Intel® Celeron® Processor N2940 ,Intel® Celeron® Processor N3050 ,Intel® Celeron® Processor N3150 ,Intel® Celeron® Processor N3000 ,Intel® Celeron® Processor N3010 ,Intel® Celeron® Processor N3160 ,Intel® Celeron® Processor N3060 ,Intel® Celeron® Processor N3450 ,Intel® Celeron® Processor N3350 
Essentials
Product Collection,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series,Intel® Celeron® Processor N Series
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile
Processor Number,N4100,N4000,N3350E,N4120,N4020,N6211,N4505,N4500,N5105,N5100,N2910,N2810,N2805,N2806,N2815,N2820,N2920,N2830,N2807,N2930,N2808,N2840,N2940,N3050,N3150,N3000,N3010,N3160,N3060,N3450,N3350
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm,10 nm,10 nm,10 nm,10 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,PC/Client/Tablet
Recommended Customer Price,,,,,,$64.00,,,,,,,,,,,,,$31.00,$41.00,,$107.00,,,,,$20.00,$31.00,$20.00,$107.00,$24.00

CPU Specifications
Total Cores,4,2,2,4,2,2,2,2,4,4,4,2,2,2,2,2,4,2,2,4,2,2,4,2,4,2,2,4,2,4,2
