ARK | Intel® Product Specification Comparison,,,,,,,,,,,,,,,,
08/24/2023 08:18:48 PM,,,,,,,,,,,,,,,,
 ,Intel® Core™ i3-7100E Processor ,Intel® Core™ i3-7100 Processor ,Intel® Core™ i3-7300T Processor ,Intel® Core™ i3-7300 Processor ,Intel® Core™ i3-7320 Processor ,Intel® Core™ i3-7100T Processor ,Intel® Core™ i3-7350K Processor ,Intel® Core™ i3-7167U Processor ,Intel® Core™ i3-7100E Processor ,Intel® Core™ i3-7100 Processor ,Intel® Core™ i3-7300T Processor ,Intel® Core™ i3-7300 Processor ,Intel® Core™ i3-7320 Processor ,Intel® Core™ i3-7100T Processor ,Intel® Core™ i3-7350K Processor ,Intel® Core™ i3-7167U Processor 
Essentials,,,,,,,,,,,,,,,,
Product Collection,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors,7th Generation Intel® Core™ i3 Processors
Vertical Segment,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile
Processor Number,i3-7100E,i3-7100,i3-7300T,i3-7300,i3-7320,i3-7100T,i3-7350K,i3-7167U,i3-7100E,i3-7100,i3-7300T,i3-7300,i3-7320,i3-7100T,i3-7350K,i3-7167U
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,
Recommended Customer Price,$281.00,$281.00,$117.00,,,,$117.00,$107.00 - $117.00,$138.00,$138.00,$306.00,$134.00 - $144.00,$122.00,$122.00,$143.00,$152.00
,,,,,,,,,,,,,,,,
CPU Specifications,,,,,,,,,,,,,,,,
Total Cores,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Total Threads,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Processor Base Frequency,2.90 GHz,3.90 GHz,3.50 GHz,4.00 GHz,4.10 GHz,3.40 GHz,4.20 GHz,2.80 GHz,2.90 GHz,3.90 GHz,3.50 GHz,4.00 GHz,4.10 GHz,3.40 GHz,4.20 GHz,2.80 GHz
Cache,3 MB,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB,3 MB,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB Intel® Smart Cache,4 MB Intel® Smart Cache,3 MB
TDP,35 W,51 W,35 W,51 W,51 W,35 W,60 W,28 W,35 W,51 W,35 W,51 W,51 W,35 W,60 W,28 W
Bus Speed,,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s
# of QPI Links,,0,0,0,0,0,0,,,0,0,0,0,0,0,
Configurable TDP-down Frequency,,,2.50 GHz,,,2.40 GHz,,,,,2.50 GHz,,,2.40 GHz,,
Configurable TDP-down,,,25 W,,,25 W,,23 W,,,25 W,,,25 W,,23 W
,,,,,,,,,,,,,,,,
Supplemental Information,,,,,,,,,,,,,,,,
Marketing Status,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17
Servicing Status,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,
End of Servicing Updates Date,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,
Embedded Options Available,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Included Items,,,,,,,Please note: The boxed product does not include a fan or heat sink,,,,,,,,Please note: The boxed product does not include a fan or heat sink,
,,,,,,,,,,,,,,,,
Memory Specifications,,,,,,,,,,,,,,,,
Max Memory Size (dependent on memory type),64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB
