ARK | Intel® Product Specification Comparison
08/24/2023 09:02:23 PM
 ,Intel® Core™ i7-7740X X-series Processor ,Intel® Core™ i7-8550U Processor ,Intel® Core™ i7-7800X X-series Processor ,Intel® Core™ i7-7820X X-series Processor ,Intel® Core™ i7-8650U Processor ,Intel® Core™ i7-8700K Processor ,Intel® Core™ i7-8700 Processor ,Intel® Core™ i7-8700T Processor ,Intel® Core™ i7-8706G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8809G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8705G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-12700TE Processor ,Intel® Core™ i7-12700E Processor ,Intel® Core™ i7-12700H Processor ,Intel® Core™ i7-12700 Processor ,Intel® Core™ i7-12700F Processor ,Intel® Core™ i7-12700K Processor ,Intel® Core™ i7-12700KF Processor ,Intel® Core™ i7-12700T Processor ,Intel® Core™ i7-8850H Processor ,Intel® Core™ i7-8700B Processor ,Intel® Core™ i7-8750H Processor ,Intel® Core™ i7-8559U Processor ,Intel® Core™ i7-8086K Processor ,Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics ,Intel® Core™ i7-8565U Processor ,Intel® Core™ i7-8500Y Processor ,Intel® Core™ i7-9700K Processor ,Intel® Core™ i7-9800X X-series Processor ,Intel® Core™ i7-9700KF Processor ,Intel® Core™ i7-9750H Processor ,Intel® Core™ i7-9750HF Processor ,Intel® Core™ i7-9850H Processor ,Intel® Core™ i7-9700T Processor ,Intel® Core™ i7-8569U Processor ,Intel® Core™ i7-9700 Processor ,Intel® Core™ i7-8557U Processor ,Intel® Core™ i7-8665UE Processor ,Intel® Core™ i7-8665U Processor ,Intel® Core™ i7-9700F Processor ,Intel® Core™ i7-9700E Processor ,Intel® Core™ i7-9850HE Processor ,Intel® Core™ i7-9700TE Processor ,Intel® Core™ i7-9850HL Processor ,Intel® Core™ i7-10710U Processor ,Intel® Core™ i7-10510U Processor ,Intel® Core™ i7-10510Y Processor ,Intel® Core™ i7-11370H Processor ,Intel® Core™ i7-11375H Processor ,Intel® Core™ i7-10700T Processor ,Intel® Core™ i7-10700 Processor ,Intel® Core™ i7-10700F Processor ,Intel® Core™ i7-10700KF Processor ,Intel® Core™ i7-10700K Processor ,Intel® Core™ i7-10750H Processor ,Intel® Core™ i7-10810U Processor ,Intel® Core™ i7-10610U Processor ,Intel® Core™ i7-10850H Processor ,Intel® Core™ i7-10875H Processor ,Intel® Core™ i7-10700TE Processor ,Intel® Core™ i7-10700E Processor ,Intel® Core™ i7-10870H Processor ,Intel® Core™ i7-11700K Processor ,Intel® Core™ i7-11700KF Processor ,Intel® Core™ i7-11700T Processor ,Intel® Core™ i7-11700 Processor ,Intel® Core™ i7-11700F Processor ,Intel® Core™ i7-11850H Processor ,Intel® Core™ i7-11600H Processor ,Intel® Core™ i7-11800H Processor ,Intel® Core™ i7-11390H Processor ,Intel® Core™ i7-11850HE Processor ,Intel® Core™ i7-12800HE Processor ,Intel® Core™ i7-12800HX Processor ,Intel® Core™ i7-12800H Processor ,Intel® Core™ i7-12650H Processor ,Intel® Core™ i7-12850HX Processor ,Intel® Core™ i7-12700HL Processor ,Intel® Core™ i7-12650HX Processor ,Intel® Core™ i7-12800HL Processor ,Intel® Core™ i7-13700KF Processor ,Intel® Core™ i7-13700 Processor ,Intel® Core™ i7-13700F Processor ,Intel® Core™ i7-13700T Processor ,Intel® Core™ i7-13700K Processor ,Intel® Core™ i7-13650HX Processor ,Intel® Core™ i7-13700H Processor ,Intel® Core™ i7-13620H Processor ,Intel® Core™ i7-13700TE Processor ,Intel® Core™ i7-13705H Processor ,Intel® Core™ i7-13800HE Processor ,Intel® Core™ i7-13850HX Processor ,Intel® Core™ i7-13800H Processor ,Intel® Core™ i7-13700HX Processor ,Intel® Core™ i7-13700E Processor ,Intel® Core™ i7-13800HRE Processor ,Intel® Core™ i7-6820HK Processor ,Intel® Core™ i7-6820HQ Processor ,Intel® Core™ i7-6920HQ Processor ,Intel® Core™ i7-6820EQ Processor ,Intel® Core™ i7-6822EQ Processor ,Intel® Core™ i7-6970HQ Processor ,Intel® Core™ i7-6785R Processor ,Intel® Core™ i7-6870HQ Processor ,Intel® Core™ i7-6770HQ Processor ,Intel® Core™ i7-6850K Processor ,Intel® Core™ i7-6800K Processor ,Intel® Core™ i7-6900K Processor ,Intel® Core™ i7-6950X Processor Extreme Edition ,Intel® Core™ i7-7500U Processor ,Intel® Core™ i7-7700T Processor ,Intel® Core™ i7-7820EQ Processor ,Intel® Core™ i7-7700 Processor ,Intel® Core™ i7-7700K Processor ,Intel® Core™ i7-7700HQ Processor ,Intel® Core™ i7-7920HQ Processor ,Intel® Core™ i7-7820HK Processor ,Intel® Core™ i7-7600U Processor ,Intel® Core™ i7-7820HQ Processor ,Intel® Core™ i7-7660U Processor ,Intel® Core™ i7-7560U Processor ,Intel® Core™ i7-7567U Processor 
Essentials
Product Collection,Intel® Core™ X-series Processors,8th Generation Intel® Core™ i7 Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,Intel® Core™ X-series Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,8th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,9th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,10th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,11th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,12th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,13th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,6th Generation Intel® Core™ i7 Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors,7th Generation Intel® Core™ i7 Processors
Vertical Segment,Desktop,Mobile,Desktop,Desktop,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Desktop,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Mobile,Desktop,Mobile,Embedded,Mobile,Desktop,Embedded,Embedded,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile,Mobile,Embedded,Mobile,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Embedded,Mobile,Embedded,Mobile,Mobile,Mobile,Embedded,Embedded,Mobile,Mobile,Mobile,Embedded,Embedded,Mobile,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Embedded,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile
Processor Number,i7-7740X,i7-8550U,i7-7800X,i7-7820X,i7-8650U,i7-8700K,i7-8700,i7-8700T,i7-8706G,i7-8709G,i7-8809G,i7-8705G,i7-12700TE,i7-12700E,i7-12700H,i7-12700,i7-12700F,i7-12700K,i7-12700KF,i7-12700T,i7-8850H,i7-8700B,i7-8750H,i7-8559U,i7-8086K,i7-8706G,i7-8565U,i7-8500Y,i7-9700K,i7-9800X,i7-9700KF,i7-9750H,i7-9750HF,i7-9850H,i7-9700T,i7-8569U,i7-9700,i7-8557U,i7-8665UE,i7-8665U,i7-9700F,i7-9700E,i7-9850HE,i7-9700TE,i7-9850HL,i7-10710U,i7-10510U,i7-10510Y,i7-11370H,i7-11375H,i7-10700T,i7-10700,i7-10700F,i7-10700KF,i7-10700K,i7-10750H,i7-10810U,i7-10610U,i7-10850H,i7-10875H,i7-10700TE,i7-10700E,i7-10870H,i7-11700K,i7-11700KF,i7-11700T,i7-11700,i7-11700F,i7-11850H,i7-11600H,i7-11800H,i7-11390H,i7-11850HE,i7-12800HE,i7-12800HX,i7-12800H,i7-12650H,i7-12850HX,i7-12700HL,i7-12650HX,i7-12800HL,i7-13700KF,i7-13700,i7-13700F,i7-13700T,i7-13700K,i7-13650HX,i7-13700H,i7-13620H,i7-13700TE,i7-13705H,i7-13800HE,i7-13850HX,i7-13800H,i7-13700HX,i7-13700E,i7-13800HRE,i7-6820HK,i7-6820HQ,i7-6920HQ,i7-6820EQ,i7-6822EQ,i7-6970HQ,i7-6785R,i7-6870HQ,i7-6770HQ,i7-6850K,i7-6800K,i7-6900K,i7-6950X,i7-7500U,i7-7700T,i7-7820EQ,i7-7700,i7-7700K,i7-7700HQ,i7-7920HQ,i7-7820HK,i7-7600U,i7-7820HQ,i7-7660U,i7-7560U,i7-7567U
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm SuperFin,10 nm SuperFin,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,,,,,,,PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,,,,PC/Client/Tablet,,,,PC/Client/Tablet,,PC/Client/Tablet,,,,PC/Client/Tablet,,PC/Client/Tablet,,Embedded Broad Market Commercial Temp,,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,,,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,,,,Embedded Broad Market Commercial Temp,,Embedded Broad Market Commercial Temp,,,,Embedded Broad Market Commercial Temp,Industrial Extended Temp,,,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet,,,,,Industrial Commercial Temp,,,,
Recommended Customer Price,,,$383.00,,$409.00,$359.00,$303.00,$303.00,,,,,$378.00,$378.00,$502.00,$373.00 - $383.00,$345.00 - $355.00,$450.00 - $460.00,$422.00 - $432.00,$373.00,$395.00,$303.00,$395.00,$431.00,,,$409.00,,$374.00 - $385.00,$589.00,$349.00,,,,$323.00,$431.00,$323.00 - $333.00,$431.00,$409.00,,$298.00 - $308.00,$323.00,$395.00,$323.00,$395.00,$487.00,$450.00,,$469.00,$530.00,$355.00,$355.00 - $365.00,$328.00 - $338.00,$384.00 - $394.00,$411.00 - $421.00,$435.00,$443.00,$409.00,$395.00,$450.00,$363.00,$363.00,$460.00,$439.00 - $449.00,$411.00 - $421.00,$355.00,$355.00 - $365.00,$328.00 - $338.00,$395.00,$435.00,$435.00,$469.00,$400.00,$460.00,$502.00,$457.00,$502.00,$428.00,$430.00,$472.00,$457.00,$384.00 - $394.00,$384.00 - $394.00,$359.00 - $369.00,$384.00,$409.00 - $419.00,$485.00,$502.00,$502.00,$390.00,$502.00,$460.00,$428.00,$457.00,$485.00,$390.00,$496.00,,$378.00,$568.00,$378.00,$378.00,,,,$434.00,$617.00,$434.00,$1089.00,$1723.00,,$303.00,$378.00,$303.00,$339.00,,,,$393.00,$378.00,$415.00,$415.00,

CPU Specifications
Total Cores,4,4,6,8,4,6,6,6,4,4,4,4,12,12,14,12,12,12,12,12,6,6,6,4,6,4,4,2,8,8,8,6,6,6,8,4,8,4,4,4,8,8,6,8,6,6,4,4,4,4,8,8,8,8,8,6,6,4,6,8,8,8,8,8,8,8,8,8,8,6,8,4,8,14,16,14,10,16,14,14,14,16,16,16,16,16,14,14,10,16,14,14,20,14,16,16,14,4,4,4,4,4,4,4,4,4,6,6,8,10,2,4,4,4,4,4,4,4,2,4,2,2,2
