ARK | Intel® Product Specification Comparison
08/24/2023 09:07:28 PM
 ,Intel® Core™ i9-7900X X-series Processor ,Intel® Core™ i9-7920X X-series Processor ,Intel® Core™ i9-7940X X-series Processor ,Intel® Core™ i9-7960X X-series Processor ,Intel® Core™ i9-7980XE Extreme Edition Processor ,Intel® Core™ i9-12900TE Processor ,Intel® Core™ i9-12900E Processor ,Intel® Core™ i9-12900H Processor ,Intel® Core™ i9-12900HK Processor ,Intel® Core™ i9-12900 Processor ,Intel® Core™ i9-12900F Processor ,Intel® Core™ i9-12900K Processor ,Intel® Core™ i9-12900KF Processor ,Intel® Core™ i9-12900T Processor ,Intel® Core™ i9-8950HK Processor ,Intel® Core™ m3-8100Y Processor ,Intel® Core™ i9-9900K Processor ,Intel® Core™ i9-9820X X-series Processor ,Intel® Core™ i9-9960X X-series Processor ,Intel® Core™ i9-9900X X-series Processor ,Intel® Core™ i9-9940X X-series Processor ,Intel® Core™ i9-9980XE Extreme Edition Processor ,Intel® Core™ i9-9920X X-series Processor ,Intel® Core™ i9-9900KF Processor ,Intel® Core™ i9-9900T Processor ,Intel® Core™ i9-9900 Processor ,Intel® Core™ i9-9900KS Processor ,Intel® Core™ i9-9880H Processor ,Intel® Core™ i9-9980HK Processor ,Intel® Core™ i9-10920X X-series Processor ,Intel® Core™ i9-10940X X-series Processor ,Intel® Core™ i9-10980XE Extreme Edition Processor ,Intel® Core™ i9-10900X X-series Processor ,Intel® Core™ i9-10900T Processor ,Intel® Core™ i9-10900 Processor ,Intel® Core™ i9-10900F Processor ,Intel® Core™ i9-10900KF Processor ,Intel® Core™ i9-10900K Processor ,Intel® Core™ i9-10980HK Processor ,Intel® Core™ i9-10885H Processor ,Intel® Core™ i9-10900TE Processor ,Intel® Core™ i9-10900E Processor ,Intel® Core™ i9-10850K Processor ,Intel® Core™ i9-11900 Processor ,Intel® Core™ i9-11900F Processor ,Intel® Core™ i9-11900T Processor ,Intel® Core™ i9-11900KF Processor ,Intel® Core™ i9-11900K Processor ,Intel® Core™ i9-11950H Processor ,Intel® Core™ i9-11980HK Processor ,Intel® Core™ i9-11900H Processor ,Intel® Core™ i9-12900KS Processor ,Intel® Core™ i9-12950HX Processor ,Intel® Core™ i9-12900HX Processor ,Intel® Core™ i9-13900K Processor ,Intel® Core™ i9-13900KF Processor ,Intel® Core™ i9-13900T Processor ,Intel® Core™ i9-13900 Processor ,Intel® Core™ i9-13900F Processor ,Intel® Core™ i9-13900E Processor ,Intel® Core™ i9-13900H Processor ,Intel® Core™ i9-13980HX Processor ,Intel® Core™ i9-13900HK Processor ,Intel® Core™ i9-13950HX Processor ,Intel® Core™ i9-13900TE Processor ,Intel® Core™ i9-13900KS Processor ,Intel® Core™ i9-13900HX Processor ,Intel® Core™ i9-13905H Processor ,Intel® Core™ M-5Y10 Processor ,Intel® Core™ M-5Y10a Processor ,Intel® Core™ M-5Y70 Processor ,Intel® Core™ M-5Y31 Processor ,Intel® Core™ M-5Y51 Processor ,Intel® Core™ M-5Y71 Processor ,Intel® Core™ M-5Y10c Processor ,Intel® Core™ m5-6Y57 Processor ,Intel® Core™ m3-6Y30 Processor ,Intel® Core™ m7-6Y75 Processor ,Intel® Core™ m5-6Y54 Processor ,Intel® Core™ m3-7Y30 Processor ,Intel® Core™ m3-7Y32 Processor 
Essentials
Product Collection,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,8th Generation Intel® Core™ i9 Processors,8th Generation Intel® Core™ m Processors,9th Generation Intel® Core™ i9 Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i9 Processors,9th Generation Intel® Core™ i9 Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,Intel® Core™ X-series Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,10th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,11th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,12th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,13th Generation Intel® Core™ i9 Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,5th Generation Intel® Core™ M Processors,6th Generation Intel® Core™ m Processors,6th Generation Intel® Core™ m Processors,6th Generation Intel® Core™ m Processors,6th Generation Intel® Core™ m Processors,7th Generation Intel® Core™ m Processors,7th Generation Intel® Core™ m Processors
Vertical Segment,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Embedded,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Embedded,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Desktop,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Mobile,Mobile,Mobile,Mobile,Embedded,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile
Processor Number,i9-7900X,i9-7920X,i9-7940X,i9-7960X,i9-7980XE,i9-12900TE,i9-12900E,i9-12900H,i9-12900HK,i9-12900,i9-12900F,i9-12900K,i9-12900KF,i9-12900T,i9-8950HK,m3-8100Y,i9-9900K,i9-9820X,i9-9960X,i9-9900X,i9-9940X,i9-9980XE,i9-9920X,i9-9900KF,i9-9900T,i9-9900,i9-9900KS,i9-9880H,i9-9980HK,i9-10920X,i9-10940X,i9-10980XE,i9-10900X,i9-10900T,i9-10900,i9-10900F,i9-10900KF,i9-10900K,i9-10980HK,i9-10885H,i9-10900TE,i9-10900E,i9-10850K,i9-11900,i9-11900F,i9-11900T,i9-11900KF,i9-11900K,i9-11950H,i9-11980HK,i9-11900H,i9-12900KS,i9-12950HX,i9-12900HX,i9-13900K,i9-13900KF,i9-13900T,i9-13900,i9-13900F,i9-13900E,i9-13900H,i9-13980HX,i9-13900HK,i9-13950HX,i9-13900TE,i9-13900KS,i9-13900HX,i9-13905H,5Y10,5Y10a,5Y70,5Y31,5Y51,5Y71,5Y10c,M5-6Y57,M3-6Y30,M7-6Y75,M5-6Y54,M3-7Y30,M3-7Y32
Lithography,14 nm,14 nm,,,,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,,,,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,,,PC/Client/Tablet,,,,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,PC/Client/Tablet,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,Embedded Broad Market Commercial Temp,,,,,Embedded Broad Market Commercial Temp,PC/Client/Tablet,,,,,,,,,,,,,,,
Recommended Customer Price,,,,,,$544.00,$544.00,$617.00,$697.00,$538.00 - $568.00,$510.00 - $540.00,$648.00 - $658.00,$620.00 - $630.00,$538.00,$583.00,,$488.00 - $499.00,$889.00,$1684.00,$989.00,$1387.00,$1979.00,$1189.00,$463.00,$439.00,$439.00 - $449.00,$524.00,$556.00,$583.00,$759.00 - $769.00,$863.00 - $873.00,$1076.00 - $1086.00,$648.00 - $658.00,$483.00,$483.00 - $493.00,$464.00 - $474.00,$509.00 - $519.00,$537.00 - $547.00,$643.00,$556.00,$488.00,$488.00,$464.00 - $508.00,$483.00 - $493.00,$464.00 - $474.00,$483.00,$564.00 - $574.00,$593.00 - $603.00,$556.00,$643.00,$599.00,$813.00 - $823.00,$590.00,$668.00,$589.00 - $599.00,$564.00 - $574.00,$549.00,$549.00 - $579.00,$524.00 - $554.00,$554.00,$617.00,$668.00,$697.00,$590.00,$554.00,$689.00 - $699.00,$668.00,$697.00,,,,,,,,,$281.00,$393.00,$281.00,,$281.00

CPU Specifications
Total Cores,10,12,14,16,18,16,16,14,14,16,16,16,16,16,6,2,8,10,16,10,14,18,12,8,8,8,8,8,8,12,14,18,10,10,10,10,10,10,8,8,10,10,10,8,8,8,8,8,8,8,8,16,16,16,24,24,24,24,24,24,14,24,14,24,24,24,24,14,2,2,2,2,2,2,2,2,2,2,2,2,2
