ARK | Intel® Product Specification Comparison
08/24/2023 09:37:44 PM
 ,Intel® Pentium® Processor 1405 ,Intel® Pentium® Processor 1405 v2 ,Intel® Pentium® Processor A1018 ,Intel® Pentium® Processor A1020 
Essentials
Product Collection,Intel® Pentium® Processor 1000 Series,Intel® Pentium® Processor 1000 Series,Intel® Pentium® Processor 1000 Series,Intel® Pentium® Processor 1000 Series
Vertical Segment,Server,Embedded,Mobile,Mobile
Processor Number,1405,1405V2,A1018,A1020
Lithography,32 nm,22 nm,22 nm,22 nm
Recommended Customer Price,$143.00,$156.00,,$86.00

CPU Specifications
Total Cores,2,2,2,4
Total Threads,2,,2,4
Max Turbo Frequency,1.80 GHz,,,
Processor Base Frequency,1.20 GHz,1.40 GHz,2.10 GHz,2.41 GHz
Cache,5 MB Intel® Smart Cache,6 MB Intel® Smart Cache,1 MB Intel® Smart Cache,2 MB L2 Cache
Bus Speed,0 GT/s,0 GT/s,5 GT/s,
# of QPI Links,1,,,
TDP,40 W,40 W,35 W,10 W
Burst Frequency,,,,2.70 GHz

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q2'12,Q1'14,Q3'13,Q1'16
Servicing Status,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,
End of Servicing Updates Date,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,
Embedded Options Available,Yes,Yes,No,No

Memory Specifications
Max Memory Size (dependent on memory type),375 GB,384 GB,32 GB,8 GB
Memory Types,DDR3 800/1066,DDR3 800/1066/1333,DDR3/L/-RS 1333/1600,DDR3L 1333
Max # of Memory Channels,2,2,2,2
Max Memory Bandwidth,25 GB/s,38.4 GB/s,25.6 GB/s,21.3 GB/s
ECC Memory Supported   ‡,Yes,Yes,No,No
Physical Address Extensions,,46-bit,,

Expansion Options
Scalability,2S Only,1S Only,,
PCI Express Revision,3.0,3.0,2.0,2.0
Max # of PCI Express Lanes,24,24,16,4
PCI Express Configurations ‡,,x4 |  x8 |  x16,1x16 |  2x8 |  1x8 & 2x4,X4 |  X2 |  X1

Package Specifications
Sockets Supported,FCLGA1356,FCLGA1356,FCPGA988,FCBGA1170
Max CPU Configuration,1,,1,1
Package Size,45mm x 42.5mm,45mm x 42.5mm,37.5mm x 37.5mm (rPGA988B); 31mm x 24mm (BGA1023),25mm X 27mm
TCASE,,80°C,,
TJUNCTION,,,105C,105°C

Advanced Technologies
Intel® Turbo Boost Technology ‡,No,No,No,No
Intel® Hyper-Threading Technology ‡,No,,No,No
Intel® 64 ‡,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® AVX,Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2,
Idle States,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,Yes,Yes,Yes,Yes
Intel® Demand Based Switching,Yes,Yes,,
Thermal Monitoring Technologies,Yes,Yes,Yes,
Intel® Flex Memory Access,Yes,No,Yes,
Intel® Identity Protection Technology ‡,,No,,
Intel® My WiFi Technology,,,No,
Intel® Fast Memory Access,,,Yes,

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Platform,,,
Intel® AES New Instructions,Yes,Yes,No,No
Intel® Trusted Execution Technology ‡,Yes,Yes,No,
Execute Disable Bit ‡,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,No,No
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,
Secure Key,,Yes,,
Intel® OS Guard,,Yes,,
Anti-Theft Technology,,,No,No

Processor Graphics
Processor Graphics ‡,,,Intel® HD Graphics for 3rd Generation Intel® Processors,Intel® HD Graphics for Intel Atom® Processor Z3700 Series
Graphics Base Frequency,,,650 MHz,688 MHz
Graphics Max Dynamic Frequency,,,1.00 GHz,896 MHz
Graphics Output,,,eDP/DP/HDMI/SDVO/CRT,
Intel® Quick Sync Video,,,No,Yes
Intel® InTru™ 3D Technology,,,No,
Intel® Flexible Display Interface (Intel® FDI),,,Yes,
Intel® Clear Video HD Technology,,,No,
# of Displays Supported ‡,,,3,2
Graphics Burst Frequency,,,,896 MHz
DirectX* Support,,,,11.2

I/O Specifications
# of USB Ports,,,,5
USB Revision,,,,3.0 and 2.0
Total # of SATA Ports,,,,2
