ARK | Intel® Product Specification Comparison
08/24/2023 09:36:17 PM
 ,Intel® Pentium® Processor 3556U ,Intel® Pentium® Processor 3560Y ,Intel® Pentium® Processor 3550M ,Intel® Pentium® Processor 3558U ,Intel® Pentium® Processor 3561Y ,Intel® Pentium® Processor 3560M ,Intel® Pentium® Processor 3805U ,Intel® Pentium® Processor 3825U 
Essentials
Product Collection,Intel® Pentium® Processor 3000 Series,Intel® Pentium® Processor 3000 Series,Intel® Pentium® Processor 3000 Series,Intel® Pentium® Processor 3000 Series,Intel® Pentium® Processor 3000 Series,Intel® Pentium® Processor 3000 Series,Intel® Pentium® Processor 3000 Series,Intel® Pentium® Processor 3000 Series
Vertical Segment,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile
Processor Number,3556U,3560Y,3550M,3558U,3561Y,3560M,3805U,3825U
Lithography,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm

CPU Specifications
Total Cores,2,2,2,2,2,2,2,2
Total Threads,2,2,2,2,2,2,2,4
Processor Base Frequency,1.70 GHz,1.20 GHz,2.30 GHz,1.70 GHz,1.20 GHz,2.40 GHz,1.90 GHz,1.90 GHz
Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB Intel® Smart Cache,2 MB,2 MB,2 MB
Bus Speed,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s
TDP,15 W,11.5 W,37 W,15 W,11.5 W,37 W,15 W,15 W
Scenario Design Power (SDP),,6 W,,,6 W,,,
Configurable TDP-down Frequency,,,,,,,600 MHz,600 MHz
Configurable TDP-down,,,,,,,10 W,10 W

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q3'13,Q3'13,Q4'13,Q4'13,Q4'13,Q2'14,Q1'15,Q1'15
Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime
End of Servicing Updates Date,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021
Embedded Options Available,No,No,No,No,No,No,No,No

Memory Specifications
Max Memory Size (dependent on memory type),16 GB,16 GB,32 GB,16 GB,16 GB,32 GB,16 GB,16 GB
Memory Types,DDR3L 1333/1600 |  LPDDR3 1333/1600,DDR3L 1333/1600 |  LPDDR3 1333/1600,DDR3L 1333/1600,DDR3L 1333/1600 |  LPDDR3 1333/1600,DDR3L 1333/1600 |  LPDDR3 1333/1600,DDR3L 1333/1600,DDR3L 1333/1600 LPDDR3 1333/1600,DDR3L 1333/1600 LPDDR3 1333/1600
Max # of Memory Channels,2,2,2,2,2,2,2,2
