ARK | Intel® Product Specification Comparison
08/24/2023 09:32:55 PM
 ,Intel® Pentium® Processor G2120 ,Intel® Pentium® Processor G2100T ,Intel® Pentium® Processor G2130 ,Intel® Pentium® Processor G2020T ,Intel® Pentium® Processor G2020 ,Intel® Pentium® Processor G2010 ,Intel® Pentium® Processor G2120T ,Intel® Pentium® Processor G2140 ,Intel® Pentium® Processor G2030T ,Intel® Pentium® Processor G2030 ,Intel® Pentium® Processor G3220 ,Intel® Pentium® Processor G3220T ,Intel® Pentium® Processor G3420 ,Intel® Pentium® Processor G3420T ,Intel® Pentium® Processor G3430 ,Intel® Pentium® Processor G3320TE ,Intel® Pentium® Processor G3450 ,Intel® Pentium® Processor G3450T ,Intel® Pentium® Processor G3440 ,Intel® Pentium® Processor G3440T ,Intel® Pentium® Processor G3240 ,Intel® Pentium® Processor G3240T ,Intel® Pentium® Processor G3258 ,Intel® Pentium® Processor G3460 ,Intel® Pentium® Processor G3460T ,Intel® Pentium® Processor G3250 ,Intel® Pentium® Processor G3250T ,Intel® Pentium® Processor G3260 ,Intel® Pentium® Processor G3260T ,Intel® Pentium® Processor G3470 ,Intel® Pentium® Processor G4400 ,Intel® Pentium® Processor G4400TE ,Intel® Pentium® Processor G4400T ,Intel® Pentium® Processor G4500T ,Intel® Pentium® Processor G4500 ,Intel® Pentium® Processor G4520 ,Intel® Pentium® Processor G4560 ,Intel® Pentium® Processor G4600 ,Intel® Pentium® Processor G4620 ,Intel® Pentium® Processor G4560T ,Intel® Pentium® Processor G4600T 
Essentials
Product Collection,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series,Intel® Pentium® Processor G Series
Vertical Segment,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop
Processor Number,G2120,G2100T,G2130,G2020T,G2020,G2010,G2120T,G2140,G2030T,G2030,G3220,G3220T,G3420,G3420T,G3430,G3320TE,G3450,G3450T,G3440,G3440T,G3240,G3240T,G3258,G3460,G3460T,G3250,G3250T,G3260,G3260T,G3470,G4400,G4400TE,G4400T,G4500T,G4500,G4520,G4560,G4600,G4620,G4560T,G4600T
Lithography,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,PC/Client/Tablet,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,
Recommended Customer Price,$82.00,,$82.00,,$64.00,$64.00,,$93.00,,$64.00,$54.00,,$82.00,,$93.00,,$82.00,,$82.00,,$54.00,,,$82.00,,$50.00,,$64.00,,,$64.00,$64.00,$64.00,,$75.00,$86.00,,,,,

CPU Specifications
Total Cores,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Total Threads,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4
Processor Base Frequency,3.10 GHz,2.60 GHz,3.20 GHz,2.50 GHz,2.90 GHz,2.80 GHz,2.70 GHz,3.30 GHz,2.60 GHz,3.00 GHz,3.00 GHz,2.60 GHz,3.20 GHz,2.70 GHz,3.30 GHz,2.30 GHz,3.40 GHz,2.90 GHz,3.30 GHz,2.80 GHz,3.10 GHz,2.70 GHz,3.20 GHz,3.50 GHz,3.00 GHz,3.20 GHz,2.80 GHz,3.30 GHz,2.90 GHz,3.60 GHz,3.30 GHz,2.40 GHz,2.90 GHz,3.00 GHz,3.50 GHz,3.60 GHz,3.50 GHz,3.60 GHz,3.70 GHz,2.90 GHz,3.00 GHz
Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,3 MB Intel® Smart Cache,3 MB,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,3 MB,3 MB,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB Intel® Smart Cache,3 MB,3 MB,3 MB,3 MB,3 MB
Bus Speed,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s
TDP,55 W,35 W,55 W,35 W,55 W,55 W,35 W,55 W,35 W,55 W,53 W,35 W,53 W,35 W,53 W,35 W,53 W,35 W,53 W,35 W,53 W,35 W,53 W,53 W,35 W,53 W,35 W,53 W,35 W,53 W,54 W,35 W,35 W,35 W,51 W,51 W,54 W,51 W,51 W,35 W,35 W
# of QPI Links,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Configurable TDP-down Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10 GHz,2.20 GHz

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q3'12,Q3'12,Q1'13,Q1'13,Q1'13,Q1'13,Q2'13,Q2'13,Q2'13,Q2'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q3'13,Q2'14,Q3'14,Q2'14,Q2'14,Q2'14,Q2'14,Q2'14,Q3'14,Q1'15,Q3'14,Q3'14,Q1'15,Q1'15,Q1'15,Q3'15,Q4'15,Q3'15,Q3'15,Q3'15,Q3'15,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17
Servicing Status,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued,ESU Notification Issued
End of Servicing Updates Date,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Friday |  September 30 |  2022,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024
Embedded Options Available,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Additional Information URL,,,,,,,,,,,,,,,,View now,,,,,,,,,,,,,,,,,,,,,,,,,
Expected Discontinuance,,,,,,,,,,,,,,,,,07/14/2017,07/14/2017,,07/14/2017,07/14/2017,,,07/14/2017,,07/14/2017,07/14/2017,,,,,,,,,,,,,,
Included Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermal Solution - E97379,,Thermal Solution - E98290,Thermal Solution - E98290,Thermal Solution - E97379,Thermal Solution - E97379,,,,,

Memory Specifications
