ARK | Intel® Product Specification Comparison
08/24/2023 09:30:25 PM
 ,Intel® Pentium® Gold Processor 4415Y ,Intel® Pentium® Gold G5600 Processor ,Intel® Pentium® Gold G5500 Processor ,Intel® Pentium® Gold G5500T Processor ,Intel® Pentium® Gold G5400T Processor ,Intel® Pentium® Gold G5400 Processor ,Intel® Pentium® Gold G5600T Processor ,Intel® Pentium® Gold G5420T Processor ,Intel® Pentium® Gold G5420 Processor ,Intel® Pentium® Gold G5620 Processor ,Intel® Pentium® Gold Processor 4417U ,Intel® Pentium® Gold 5405U Processor ,Intel® Pentium® Gold Processor 4425Y ,Intel® Pentium® Gold G7400E Processor ,Intel® Pentium® Gold G7400TE Processor ,Intel® Pentium® Gold 6405U Processor ,Intel® Pentium® Gold G6600 Processor ,Intel® Pentium® Gold G6500T Processor ,Intel® Pentium® Gold G6500 Processor ,Intel® Pentium® Gold G6400 Processor ,Intel® Pentium® Gold G6400T Processor ,Intel® Pentium® Gold G6405T Processor ,Intel® Pentium® Gold G6405 Processor ,Intel® Pentium® Gold G6505 Processor ,Intel® Pentium® Gold G6505T Processor ,Intel® Pentium® Gold G6605 Processor ,Intel® Pentium® Gold G6400TE Processor ,Intel® Pentium® Gold G6400E Processor ,Intel® Pentium® Gold 7505 Processor ,Intel® Pentium® Gold 6500Y Processor ,Intel® Pentium® Gold G7400 Processor ,Intel® Pentium® Gold G7400T Processor ,Intel® Pentium® Gold Processor 8505 ,Intel® Pentium® Gold Processor 8505 ,Intel® Pentium® Gold Processor 8500 ,Intel® Pentium® Gold Processor 4415U ,Intel® Pentium® Gold Processor 4410Y 
Essentials
Product Collection,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series,Intel® Pentium® Gold Processor Series
Vertical Segment,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Embedded,Embedded,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Embedded,Embedded,Mobile,Mobile,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile
Processor Number,4415Y,G5600,G5500,G5500T,G5400T,G5400,G5600T,G5420T,G5420,G5620,4417U,5405U,4425Y,G7400E,G7400TE,6405U,G6600,G6500T,G6500,G6400,G6400T,G6405T,G6405,G6505,G6505T,G6605,G6400TE,G6400E,7505,6500Y,G7400,G7400T,8505,8505,8500,4415U,4410Y
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm SuperFin,14 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm
Use Conditions,,Embedded Broad Market Commercial Temp,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,PC/Client/Tablet,PC/Client/Tablet,,,,,
Recommended Customer Price,$161.00,,,,$64.00,$64.00,,$64.00,$64.00,$86.00 - $93.00,$161.00,$161.00,$193.00,$79.00,$79.00,$193.00,$103.00 - $113.00,$90.00,$90.00 - $100.00,$77.00 - $87.00,$77.00,$77.00,$77.00 - $87.00,$90.00,$90.00,$103.00 - $113.00,$79.00,$79.00,$193.00,,$77.00 - $87.00,$77.00,$193.00,$193.00,,$161.00,$161.00

CPU Specifications
Total Cores,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,2,2
Total Threads,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,4,4
