ARK | Intel® Product Specification Comparison
08/24/2023 09:33:32 PM
 ,Intel® Pentium® Processor J6426 ,Intel® Pentium® Processor J2850 ,Intel® Pentium® Processor J2900 ,Intel® Pentium® Processor J3710 ,Intel® Pentium® Processor J4205 
Essentials
Product Collection,Intel® Pentium® Processor J Series,Intel® Pentium® Processor J Series,Intel® Pentium® Processor J Series,Intel® Pentium® Processor J Series,Intel® Pentium® Processor J Series
Vertical Segment,Embedded,Desktop,Desktop,Desktop,Desktop
Processor Number,J6426,J2850,J2900,J3710,J4205
Lithography,10 nm,22 nm,22 nm,14 nm,14 nm
Use Conditions,PC/Client/Tablet,,,,
Recommended Customer Price,$96.00,,,$161.00,$161.00

CPU Specifications
Total Cores,4,4,4,4,4
Total Threads,4,4,4,4,4
Burst Frequency,3.00 GHz,,2.66 GHz,2.64 GHz,2.60 GHz
Processor Base Frequency,2.00 GHz,2.41 GHz,2.41 GHz,1.60 GHz,1.50 GHz
Cache,1.5 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB
TDP,10 W,10 W,10 W,6.5 W,10 W

Supplemental Information
Marketing Status,Launched,Discontinued,Discontinued,Launched,Discontinued
Launch Date,Q1'21,Q3'13,Q4'13,Q1'16,Q3'16
Embedded Options Available,Yes,No,No,No,No
Servicing Status,,,,End of Servicing Lifetime,End of Servicing Lifetime
End of Servicing Updates Date,,,,Thursday |  June 30 |  2022,Friday |  June 30 |  2023

Memory Specifications
Max Memory Size (dependent on memory type),32 GB,8 GB,8 GB,8 GB,8 GB
Memory Types,4x32 LPDDR4/x 3200MT/s Max 16GB / 2x64 DDR4 3200MT/s Max 32GB,DDR3L 1333,DDR3L 1333,DDR3L-1600,DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s
Max # of Memory Channels,4,2,2,2,2
Max Memory Bandwidth,59.7 GB/s,,21.3 GB/s,,
ECC Memory Supported   ‡,No,No,No,No,No
Physical Address Extensions,,36-bit,36-bit,,

Processor Graphics
Processor Graphics ‡,Intel® UHD Graphics for 10th Gen Intel® Processors,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,Intel® HD Graphics for Intel Atom® Processor Z3700 Series,,Intel® HD Graphics 505
Graphics Base Frequency,400 MHz,688 MHz,688 MHz,400 MHz,250 MHz
Graphics Burst Frequency,850 MHz,,896 MHz,740 MHz,800 MHz
Graphics Output,eDP/DP/HDMI/MIPI-DSI,,,eDP/DP/HDMI,eDP/DP/HDMI/MIPI-DSI
Execution Units,32,,,18,18
4K Support,Yes |  at 60Hz,,,,
Max Resolution (DP)‡,4096x2160@ 60Hz,,,,
Max Resolution (eDP - Integrated Flat Panel)‡,4096x2160@ 60Hz,,,,
DirectX* Support,Yes,,11.2,Yes,Yes
OpenGL* Support,Yes,,,Yes,Yes
OpenCL* Support,Yes,,,,
Intel® Quick Sync Video,Yes,No,Yes,Yes,Yes
# of Displays Supported ‡,3,2,2,3,3
Graphics Max Dynamic Frequency,,854 MHz,896 MHz,,
Intel® InTru™ 3D Technology,,No,No,No,No
Intel® Flexible Display Interface (Intel® FDI),,No,No,,
Graphics Video Max Memory,,,,8 GB,8 GB
Intel® Clear Video HD Technology,,,,Yes,Yes
Intel® Clear Video Technology,,,,Yes,Yes

Expansion Options
PCI Express Revision,3.0,2.0,2.0,2.0,2.0
PCI Express Configurations ‡,PCIe 0: 1 x4/2 x2/1 x2 + 2 x1/4 x1 |  PCIe 1-3: 1 x2/1 x1,X4 |  X2 |  X1,X4 |  X2 |  X1,1x4/2x2/1x2 + 2x1/4x1,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2
Max # of PCI Express Lanes,8,4,4,4,6

I/O Specifications
# of USB Ports,4,,5,5,8
USB Revision,2.0/3.0/3.1,,3.0 and 2.0,2.0/3.0,2.0/3.0
Total # of SATA Ports,2,,2,5,2
Integrated LAN,3x 2.5GbE,,,No,No
General Purpose IO,Yes,,,Yes,Yes
UART,Yes,,,Yes,Yes
Max # of SATA 6.0 Gb/s Ports,,,,2,2

Package Specifications
Sockets Supported,FCBGA1493,FCBGA1170,FCBGA1170,FCBGA1170,FCBGA1296
Max CPU Configuration,1,1,1,1,1
TJUNCTION,105°C,100°C,105°C,90°C,105
Operating Temperature Range,0°C to 70°C,,,,
Operating Temperature (Maximum),70 °C,,,,
Operating Temperature (Minimum),0 °C,,,,
Package Size,35mm x 24mm,25mm X 27mm,25mm X 27mm,25mm x 27mm,24mm x 31mm

Advanced Technologies
Intel® Gaussian & Neural Accelerator,1.0,,,,
Intel® Speed Shift Technology,Yes,,,,
Secure Boot,Yes,,,Yes,Yes
Intel® Hyper-Threading Technology ‡,No,No,No,No,No
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit
Idle States,Yes,,Yes,,Yes
Intel® HD Audio Technology,Yes,,,Yes,Yes
Intel® Optane™ Memory Supported ‡,,No,No,No,No
Intel® Turbo Boost Technology ‡,,No,No,No,No
Enhanced Intel SpeedStep® Technology,,Yes,Yes,,Yes
Intel® Identity Protection Technology ‡,,No,No,Yes,Yes
Intel® Rapid Storage Technology,,No,No,No,No
Thermal Monitoring Technologies,,,,Yes,Yes
Intel® Smart Connect Technology,,,,No,No
Intel® Smart Response Technology,,,,No,No
4G WiMAX Wireless Technology,,,,No,
Intel® Virtualization Technology for Itanium (VT-i),,,,No,

Security & Reliability
Intel® AES New Instructions,Yes,No,No,Yes,Yes
Secure Key,Yes,,,Yes,Yes
Intel® Trusted Execution Technology ‡,No,,,No,No
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes
Intel® OS Guard,Yes,,,No,No
Intel® Boot Guard,Yes,,,,
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,No,No,No,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,,,Yes,Yes
Anti-Theft Technology,,No,No,No,No
Intel® Stable Image Platform Program (SIPP),,No,No,No,No
