ARK | Intel® Product Specification Comparison
08/24/2023 09:38:19 PM
 ,Mobile Intel® Pentium® 4 Processor - M 1.70 GHz, 512K Cache, 400 MHz FSB ,Mobile Intel® Pentium® 4 Processor - M 2.20 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.00 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.20 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.40 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.40 GHz, 512K Cache, 533 MHz FSB ,Intel® Pentium® 4 Processor 2.50 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.60 GHz, 512K Cache, 400 MHz FSB ,Intel® Pentium® 4 Processor 2.80 GHz, 512K Cache, 533 MHz FSB ,Intel® Pentium® 4 Processor 505/505J ,Intel® Pentium® 4 Processor 506 ,Intel® Pentium® 4 Processor 511 ,Intel® Pentium® 4 Processor 515/515J ,Intel® Pentium® 4 Processor 516 ,Intel® Pentium® 4 Processor 517 supporting HT Technology ,Intel® Pentium® 4 Processor 519K ,Intel® Pentium® 4 Processor 520 supporting HT Technology ,Intel® Pentium® 4 Processor 520J supporting HT Technology ,Intel® Pentium® 4 Processor 521 supporting HT Technology ,Intel® Pentium® 4 Processor 524 supporting HT Technology ,Intel® Pentium® 4 Processor 530/530J supporting HT Technology ,Intel® Pentium® 4 Processor 530J supporting HT Technology ,Intel® Pentium® 4 Processor 531 supporting HT Technology ,Intel® Pentium® 4 Processor 540/540J supporting HT Technology ,Intel® Pentium® 4 Processor 540J supporting HT Technology ,Intel® Pentium® 4 Processor 541 supporting HT Technology ,Intel® Pentium® 4 Processor 550 supporting HT Technology ,Intel® Pentium® 4 Processor 550J supporting HT Technology ,Intel® Pentium® 4 Processor 551 supporting HT Technology ,Intel® Pentium® 4 Processor 561 supporting HT Technology ,Intel® Pentium® 4 Processor 570J supporting HT Technology ,Intel® Pentium® 4 Processor 571 supporting HT Technology ,Intel® Pentium® 4 Processor 630 supporting HT Technology ,Intel® Pentium® 4 Processor 631 supporting HT Technology ,Intel® Pentium® 4 Processor 640 supporting HT Technology ,Intel® Pentium® 4 Processor 641 supporting HT Technology ,Intel® Pentium® 4 Processor 650 supporting HT Technology ,Intel® Pentium® 4 Processor 651 supporting HT Technology ,Intel® Pentium® 4 Processor 660 supporting HT Technology ,Intel® Pentium® 4 Processor 661 supporting HT Technology ,Intel® Pentium® 4 Processor 662 supporting HT Technology ,Intel® Pentium® 4 Processor 670 supporting HT Technology ,Intel® Pentium® 4 Processor 672 supporting HT Technology ,Pentium® 4 Processor Extreme Edition supporting HT Technology 3.46 GHz, 2M Cache, 1066 MHz FSB ,Pentium® 4 Processor Extreme Edition supporting HT Technology 3.73 GHz, 2M Cache, 1066 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 2.80E GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.00 GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.20 GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.20E GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.40 GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.40E GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® 4 Processor supporting HT Technology 3.00E GHz, 1M Cache, 800 MHz FSB ,Intel® Pentium® D Processor 805 ,Intel® Pentium® D Processor 820 ,Intel® Pentium® D Processor 830 ,Intel® Pentium® D Processor 840 ,Intel® Pentium® D Processor 915 ,Intel® Pentium® D Processor 920 ,Intel® Pentium® D Processor 925 ,Intel® Pentium® D Processor 930 ,Intel® Pentium® D Processor 940 ,Intel® Pentium® D Processor 945 ,Intel® Pentium® D Processor 950 ,Intel® Pentium® D Processor 960 ,Intel® Pentium® III Processor - S 1.26 GHz, 512K Cache, 133 MHz FSB ,Intel® Pentium® III Processor 1.00 GHz, 256K Cache, 100 MHz FSB ,Intel® Pentium® III Processor 1.00 GHz, 256K Cache, 133 MHz FSB ,Intel® Pentium® III Processor 600 MHz, 256K Cache, 100 MHz FSB ,Intel® Pentium® III Processor 700 MHz, 256K Cache, 100 MHz FSB ,Intel® Pentium® III Processor 733 MHz, 256K Cache, 133 MHz FSB ,Intel® Pentium® III Processor 850 MHz, 256K Cache, 100 MHz FSB ,Intel® Pentium® III Processor 866 MHz, 256K Cache, 133 MHz FSB ,Intel® Pentium® M Processor 1.60 GHz, 1M Cache, 400 MHz FSB ,Intel® Pentium® M Processor 725 ,Intel® Pentium® M Processor 745 ,Intel® Pentium® M Processor 745A ,Intel® Pentium® M Processor 760 ,Intel® Pentium® M Processor LV 1.10 GHz, 1M Cache, 400 MHz FSB ,Intel® Pentium® M Processor LV 738 ,Intel® Pentium® Processor Extreme Edition 840 ,Intel® Pentium® Processor Extreme Edition 955 ,Intel® Pentium® Processor Extreme Edition 965 ,Intel® Pentium® D Processor 935 ,Intel® Pentium® Processor T2060 ,Intel® Pentium® Processor E2140 ,Intel® Pentium® Processor E2160 ,Intel® Pentium® Processor T2080 ,Intel® Pentium® Processor T2130 ,Intel® Pentium® Processor E2180 ,Intel® Pentium® III Processor - S 800 MHz, 512K Cache, 133 MHz FSB ,Intel® Pentium® III Processor - S 933 MHz, 512K Cache, 133 MHz FSB ,Intel® Pentium® Processor E2220 ,Intel® Pentium® Processor T2310 ,Intel® Pentium® Processor T2330 ,Intel® Pentium® Processor E2200 ,Intel® Pentium® Processor T2370 ,Intel® Pentium® Processor E5300 ,Intel® Pentium® Processor T3400 ,Intel® Pentium® Processor E5200 ,Intel® Pentium® Processor T4200 ,Intel® Pentium® Processor E5400 ,Intel® Pentium® Processor T4400 ,Intel® Pentium® Processor E6300 ,Intel® Pentium® D Processor 920 ,Intel® Pentium® Processor E5500 ,Intel® Pentium® Processor E5700 ,Intel® Pentium® Processor E5800 ,Intel® Pentium® Processor E6500 ,Intel® Pentium® Processor E6500K ,Intel® Pentium® Processor E6600 ,Intel® Pentium® Processor E6700 ,Intel® Pentium® Processor E6800 ,Intel® Pentium® Processor T4500 ,Intel® Pentium® Processor G6950 ,Intel® Pentium® Processor G6951 ,Intel® Pentium® Processor G6960 ,Intel® Pentium® Processor P6000 ,Intel® Pentium® Processor U5400 ,Intel® Pentium® Processor U5600 ,Intel® Pentium® Processor P6100 ,Intel® Pentium® Processor P6200 ,Intel® Pentium® Processor P6300 ,Intel® Pentium® Processor G620 ,Intel® Pentium® Processor G620T ,Intel® Pentium® Processor G622 ,Intel® Pentium® Processor G630 ,Intel® Pentium® Processor G630T ,Intel® Pentium® Processor G632 ,Intel® Pentium® Processor G640 ,Intel® Pentium® Processor G640T ,Intel® Pentium® Processor G840 ,Intel® Pentium® Processor G850 ,Intel® Pentium® Processor G860 ,Intel® Pentium® Processor G870 ,Intel® Pentium® Processor B940 ,Intel® Pentium® Processor B950 ,Intel® Pentium® Processor 957 ,Intel® Pentium® Processor 967 ,Intel® Pentium® Processor B960 ,Intel® Pentium® Processor B970 ,Intel® Pentium® Processor 977 ,Intel® Pentium® Processor G860T ,Intel® Pentium® Processor 987 ,Intel® Pentium® Processor B915C ,Intel® Pentium® Processor G645 ,Intel® Pentium® Processor 997 ,Intel® Pentium® Processor G645T ,Intel® Pentium® Processor B980 ,Intel® Pentium® Processor B925C 
Essentials
Product Collection,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor,Legacy Intel® Pentium® Processor
Vertical Segment,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Server,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Mobile,Mobile,Desktop,Server,Server,Desktop,Mobile,Mobile,Desktop,Mobile,Desktop,Mobile,Desktop,Mobile,Desktop,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Desktop,Mobile,Embedded,Desktop,Mobile,Desktop,Mobile,Embedded
Lithography,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,130 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,65 nm,90 nm,65 nm,90 nm,65 nm,90 nm,65 nm,90 nm,90 nm,90 nm,130 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,90 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,130 nm,180 nm,180 nm,180 nm,180 nm,180 nm,180 nm,180 nm,130 nm,90 nm,90 nm,90 nm,90 nm,130 nm,90 nm,90 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,130 nm,130 nm,65 nm,65 nm,65 nm,65 nm,65 nm,45 nm,65 nm,45 nm,45 nm,45 nm,45 nm,45 nm,65 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,,32 nm,32 nm,32 nm,32 nm,
Processor Number,,,,,,,,,,505J,506,511,515,516,517,519K,520,520J,521,524,530,530J,531,540,540J,541,550,550,551,561,570,571,630,631,640,641,650,651,660,661,662,670,672,,,,,,,,,,805,820,830,840,915,920,925,930,940,945,950,960,,,,,,,,,,725,745,745A,760,,738,840,955,965,935,T2060,E2140,E2160,T2080,T2130,E2180,,,E2220,T2310,T2330,E2200,T2370,E5300,T3400,E5200,T4200,E5400,T4400,E6300,920,E5500,E5700,E5800,E6500,E6500K,E6600,E6700,E6800,T4500,G6950,G6951,G6960,P6000,U5400,U5600,P6100,P6200,P6300,G620,G620T,G622,G630,G630T,G632,G640,G640T,G840,G850,G860,G870,B940,B950,957,967,B960,B970,977,G860T,987,B915C,G645,997,G645T,B980,B925C
Use Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PC/Client/Tablet,,,,,,,,,,,PC/Client/Tablet,,,,,,PC/Client/Tablet,,,,,,,,,,,,,,,,,,PC/Client/Tablet,,,,,,,,,,,,Communications,,,,,
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$93.00,$74.00,$316.00,$423.00,$74.00,,$74.00,$178.00,$183.00,$163.00,$224.00,$316.00,,,,,,,,,,,,,,,,,$999.00,$999.00,$84.00,,,,,,,,,,,,,,$62.00 - $72.00,,$72.00,,$67.00,,$77.00,,$72.00,$64.00,$72.00,$68.00 - $75.00,,$75.00,,$93.00,,$77.00 - $96.00,,,,,,,,,$64.00,$70.00 - $77.00,,$64.00,$72.00,,$64.00,$64.00 - $72.00,$75.00,$75.00,$75.00,$82.00,,,,,,,,,,,$64.00,,$64.00,,

Performance Specifications
Total Cores,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processor Base Frequency,1.70 GHz,2.20 GHz,2.00 GHz,2.20 GHz,2.40 GHz,2.40 GHz,2.50 GHz,2.60 GHz,2.80 GHz,2.66 GHz,2.66 GHz,2.80 GHz,2.93 GHz,2.93 GHz,2.93 GHz,3.06 GHz,2.80 GHz,2.80 GHz,2.80 GHz,3.06 GHz,3.00 GHz,3.00 GHz,3.00 GHz,3.20 GHz,3.20 GHz,3.20 GHz,3.40 GHz,3.40 GHz,3.40 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.00 GHz,3.00 GHz,3.20 GHz,3.20 GHz,3.40 GHz,3.40 GHz,3.60 GHz,3.60 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.46 GHz,3.73 GHz,2.80 GHz,3.00 GHz,3.20 GHz,3.20 GHz,3.40 GHz,3.40 GHz,3.00 GHz,2.66 GHz,2.80 GHz,3.00 GHz,3.20 GHz,2.80 GHz,2.80 GHz,3.00 GHz,3.00 GHz,3.20 GHz,3.40 GHz,3.40 GHz,3.60 GHz,1.26 GHz,1.00 GHz,1.00 GHz,600 MHz,700 MHz,733 MHz,850 MHz,866 MHz,1.60 GHz,1.60 GHz,1.80 GHz,1.80 GHz,2.00 GHz,1.10 GHz,1.40 GHz,3.20 GHz,3.46 GHz,3.73 GHz,3.20 GHz,1.60 GHz,1.60 GHz,1.80 GHz,1.73 GHz,1.86 GHz,2.00 GHz,800 MHz,933 MHz,2.40 GHz,1.46 GHz,1.60 GHz,2.20 GHz,1.73 GHz,2.60 GHz,2.16 GHz,2.50 GHz,2.00 GHz,2.70 GHz,2.20 GHz,2.80 GHz,2.80 GHz,2.80 GHz,3.00 GHz,3.20 GHz,2.93 GHz,2.93 GHz,3.06 GHz,3.20 GHz,3.33 GHz,2.30 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
