ARK | Intel® Product Specification Comparison
08/24/2023 09:34:07 PM
 ,Intel® Pentium® Processor N4200E ,Intel® Pentium® Processor N6415 ,Intel® Pentium® Processor N3510 ,Intel® Pentium® Processor N3520 ,Intel® Pentium® Processor N3530 ,Intel® Pentium® Processor N3540 ,Intel® Pentium® Processor N3700 ,Intel® Pentium® Processor N3710 ,Intel® Pentium® Processor N4200 
Essentials
Product Collection,Intel® Pentium® Processor N Series,Intel® Pentium® Processor N Series,Intel® Pentium® Processor N Series,Intel® Pentium® Processor N Series,Intel® Pentium® Processor N Series,Intel® Pentium® Processor N Series,Intel® Pentium® Processor N Series,Intel® Pentium® Processor N Series,Intel® Pentium® Processor N Series
Vertical Segment,Mobile,Embedded,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile,Mobile
Processor Number,N4200E,N6415,N3510,N3520,N3530,N3540,N3700,N3710,N4200
Lithography,14 nm,10 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm
Use Conditions,PC/Client/Tablet,PC/Client/Tablet,,,,,,PC/Client/Tablet,PC/Client/Tablet
Recommended Customer Price,,$96.00,,,,,,$50.00,$56.00

CPU Specifications
Total Cores,4,4,4,4,4,4,4,4,4
Total Threads,4,4,4,4,4,4,4,4,4
Max Turbo Frequency,2.50 GHz,,,,,,,,
Burst Frequency,2.50 GHz,3.00 GHz,,2.42 GHz,2.58 GHz,2.66 GHz,2.40 GHz,2.56 GHz,2.50 GHz
Processor Base Frequency,1.10 GHz,1.20 GHz,2.00 GHz,2.17 GHz,2.16 GHz,2.16 GHz,1.60 GHz,1.60 GHz,1.10 GHz
Cache,2 MB,1.5 MB L2 Cache,2 MB,2 MB,2 MB,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache
TDP,6 W,6.5 W,7.5 W,7.5 W,7.5 W,7.5 W,6 W,6 W,6 W
Scenario Design Power (SDP),,,4.5 W,4.5 W,4.5 W,4.5 W,4 W,4 W,4 W

Supplemental Information
Marketing Status,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched
