ARK | Intel® Product Specification Comparison
08/24/2023 09:40:58 PM
 ,Intel® Xeon® Gold 6230 Processor ,Intel® Xeon® Gold 6238T Processor ,Intel® Xeon® Gold 6242 Processor ,Intel® Xeon® Gold 6244 Processor ,Intel® Xeon® Gold 6240 Processor ,Intel® Xeon® Gold 5218 Processor ,Intel® Xeon® Gold 5222 Processor ,Intel® Xeon® Gold 6248 Processor ,Intel® Xeon® Gold 6252 Processor ,Intel® Xeon® Gold 6240Y Processor ,Intel® Xeon® Gold 6230N Processor ,Intel® Xeon® Gold 6254 Processor ,Intel® Xeon® Gold 6210U Processor ,Intel® Xeon® Gold 6212U Processor ,Intel® Xeon® Platinum 8253 Processor ,Intel® Xeon® Platinum 8256 Processor ,Intel® Xeon® Platinum 8276 Processor ,Intel® Xeon® Platinum 8280L Processor ,Intel® Xeon® Platinum 8260 Processor ,Intel® Xeon® Platinum 8276L Processor ,Intel® Xeon® Platinum 8260L Processor ,Intel® Xeon® Platinum 8280 Processor ,Intel® Xeon® Platinum 8260Y Processor ,Intel® Xeon® Platinum 8268 Processor ,Intel® Xeon® Platinum 8270 Processor ,Intel® Xeon® Bronze 3204 Processor ,Intel® Xeon® Silver 4209T Processor ,Intel® Xeon® Silver 4210 Processor ,Intel® Xeon® Silver 4214 Processor ,Intel® Xeon® Gold 5220 Processor ,Intel® Xeon® Silver 4215 Processor ,Intel® Xeon® Silver 4208 Processor ,Intel® Xeon® Gold 5215 Processor ,Intel® Xeon® Gold 5215L Processor ,Intel® Xeon® Silver 4216 Processor ,Intel® Xeon® Gold 5217 Processor ,Intel® Xeon® Gold 5218N Processor ,Intel® Xeon® Silver 4214Y Processor ,Intel® Xeon® Gold 5218B Processor ,Intel® Xeon® Gold 6238 Processor ,Intel® Xeon® Gold 5220S Processor ,Intel® Xeon® Gold 6252N Processor ,Intel® Xeon® Gold 6230T Processor ,Intel® Xeon® Gold 5218T Processor ,Intel® Xeon® Gold 6234 Processor ,Intel® Xeon® Gold 6226 Processor ,Intel® Xeon® Gold 6238L Processor ,Intel® Xeon® Gold 6240L Processor ,Intel® Xeon® Gold 6222V Processor ,Intel® Xeon® Gold 6246 Processor ,Intel® Xeon® Gold 5220T Processor ,Intel® Xeon® Gold 6209U Processor ,Intel® Xeon® Gold 6262V Processor ,Intel® Xeon® Platinum 9242 Processor ,Intel® Xeon® Platinum 9282 Processor ,Intel® Xeon® Platinum 9221 Processor ,Intel® Xeon® Platinum 9222 Processor ,Intel® Xeon® Silver 4210R Processor ,Intel® Xeon® Silver 4214R Processor ,Intel® Xeon® Bronze 3206R Processor ,Intel® Xeon® Gold 6250 Processor ,Intel® Xeon® Gold 6256 Processor ,Intel® Xeon® Gold 5218R Processor ,Intel® Xeon® Gold 6240R Processor ,Intel® Xeon® Silver 4210T Processor ,Intel® Xeon® Gold 6238R Processor ,Intel® Xeon® Gold 6230R Processor ,Intel® Xeon® Gold 6226R Processor ,Intel® Xeon® Gold 6208U Processor ,Intel® Xeon® Silver 4215R Processor ,Intel® Xeon® Gold 6258R Processor ,Intel® Xeon® Gold 6248R Processor ,Intel® Xeon® Gold 6242R Processor ,Intel® Xeon® Gold 6246R Processor ,Intel® Xeon® Gold 5220R Processor ,Intel® Xeon® Gold 6250L Processor 
Essentials
Product Collection,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors,2nd Generation Intel® Xeon® Scalable Processors
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,6230,6238T,6242,6244,6240,5218,5222,6248,6252,6240Y,6230N,6254,6210U,6212U,8253,8256,8276,8280L,8260,8276L,8260L,8280,8260Y,8268,8270,3204,4209T,4210,4214,5220,4215,4208,5215,5215L,4216,5217,5218N,4214Y,5218B,6238,5220S,6252N,6230T,5218T,6234,6226,6238L,6240L,6222V,6246,5220T,6209U,6262V,9242,9282,9221,9222,4210R,4214R,3206R,6250,6256,5218R,6240R,4210T,6238R,6230R,6226R,6208U,4215R,6258R,6248R,6242R,6246R,5220R,6250L
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,Server/Enterprise,Communications Commercial Temp,,,,,,,,,,,,,,,,,,,,,,,,,Communications Commercial Temp,Server/Enterprise,Server/Enterprise,,Server/Enterprise,,Server/Enterprise,,Server/Enterprise,,,,,,,,Communications Commercial Temp,Communications Commercial Temp,,Server/Enterprise,,,,,Communications Commercial Temp,,,,,,,,,,,,,,Server/Enterprise,,,,,,,,,,,
Recommended Customer Price,$2230.00 - $2236.00,$3139.00,$2977.00 - $2987.00,$3412.00,$2877.00 - $2885.00,$1483.00 - $1493.00,$1424.00,$3616.00 - $3622.00,$4263.00 - $4271.00,$3208.00,$1709.00,$4476.00,$1290.00,$1707.00,$3566.00,$8021.00 - $8030.00,$9981.00,$14898.00,$5383.00,$13422.00,$8821.00,$11460.00,$6089.00,$7214.00,$8477.00,$239.00 - $252.00,$563.00,$563.00 - $574.00,$780.00 - $791.00,$1780.00 - $1786.00,$630.00,$468.00 - $481.00,$1424.00,$4836.00,$1011.00,$1744.00,$1420.00,$863.00,$1483.00,$2990.00 - $2995.00,$2333.00,$2104.00,$2340.00,$1572.00,$2607.00 - $2613.00,$2070.00,$6427.00,$6236.00,$1832.00,$3867.00,$1977.00,$1153.00,$3321.00,,,,,$563.00 - $574.00,$780.00 - $791.00,$343.00 - $356.00,$3894.00,$4466.00,$1483.00 - $1493.00,$2589.00 - $2594.00,$624.00,$2990.00 - $2995.00,$2230.00 - $2236.00,$1517.00 - $1522.00,$1164.00,$893.00,$4523.00,$3178.00,$2977.00,$3867.00,$1780.00 - $1786.00,$7331.00

CPU Specifications
Total Cores,20,22,16,8,18,16,4,20,24,18,20,18,20,24,16,4,28,28,24,28,24,28,24,24,26,6,8,10,12,18,8,8,10,10,16,8,16,12,16,22,18,24,20,16,8,12,22,18,20,12,18,20,24,48,56,32,32,10,12,8,8,12,20,24,10,28,26,16,16,8,28,24,20,16,24,8
