ARK | Intel® Product Specification Comparison
08/24/2023 09:40:17 PM
 ,Intel® Xeon® Gold 5318H Processor ,Intel® Xeon® Platinum 8380H Processor ,Intel® Xeon® Gold 6328H Processor ,Intel® Xeon® Platinum 8360H Processor ,Intel® Xeon® Gold 5320H Processor ,Intel® Xeon® Gold 6330H Processor ,Intel® Xeon® Platinum 8353H Processor ,Intel® Xeon® Platinum 8354H Processor ,Intel® Xeon® Gold 6348H Processor ,Intel® Xeon® Platinum 8376H Processor ,Intel® Xeon® Platinum 8356H Processor ,Intel® Xeon® Platinum 8376HL Processor ,Intel® Xeon® Platinum 8380HL Processor ,Intel® Xeon® Gold 6328HL Processor ,Intel® Xeon® Platinum 8360HL Processor ,Intel® Xeon® Platinum 8358 Processor ,Intel® Xeon® Platinum 8352Y Processor ,Intel® Xeon® Gold 6338 Processor ,Intel® Xeon® Gold 6330N Processor ,Intel® Xeon® Platinum 8380 Processor ,Intel® Xeon® Platinum 8351N Processor ,Intel® Xeon® Platinum 8368Q Processor ,Intel® Xeon® Platinum 8352S Processor ,Intel® Xeon® Platinum 8358P Processor ,Intel® Xeon® Platinum 8352V Processor ,Intel® Xeon® Platinum 8368 Processor ,Intel® Xeon® Gold 6348 Processor ,Intel® Xeon® Gold 6346 Processor ,Intel® Xeon® Gold 6330 Processor ,Intel® Xeon® Platinum 8360Y Processor ,Intel® Xeon® Gold 6354 Processor ,Intel® Xeon® Gold 6314U Processor ,Intel® Xeon® Gold 6338N Processor ,Intel® Xeon® Silver 4314 Processor ,Intel® Xeon® Silver 4316 Processor ,Intel® Xeon® Gold 5318Y Processor ,Intel® Xeon® Gold 5317 Processor ,Intel® Xeon® Gold 6334 Processor ,Intel® Xeon® Gold 6326 Processor ,Intel® Xeon® Silver 4309Y Processor ,Intel® Xeon® Gold 6342 Processor ,Intel® Xeon® Silver 4310 Processor ,Intel® Xeon® Gold 6338T Processor ,Intel® Xeon® Gold 5318S Processor ,Intel® Xeon® Gold 6336Y Processor ,Intel® Xeon® Gold 5318N Processor ,Intel® Xeon® Gold 6312U Processor ,Intel® Xeon® Silver 4310T Processor ,Intel® Xeon® Gold 5320T Processor ,Intel® Xeon® Gold 5320 Processor ,Intel® Xeon® Gold 5315Y Processor ,Intel® Xeon® Platinum 8352M Processor ,Intel® Xeon® Platinum 8362 Processor 
Essentials
Product Collection,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors,3rd Generation Intel® Xeon® Scalable Processors
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,5318H,8380H,6328H,8360H,5320H,6330H,8353H,8354H,6348H,8376H,8356H,8376HL,8380HL,6328HL,8360HL,8358,8352Y,6338,6330N,8380,8351N,8368Q,8352S,8358P,8352V,8368,6348,6346,6330,8360Y,6354,6314U,6338N,4314,4316,5318Y,5317,6334,6326,4309Y,6342,4310,6338T,5318S,6336Y,5318N,6312U,4310T,5320T,5320,5315Y,8352M,8362
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm
Use Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Server/Enterprise,,,,,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,,Server/Enterprise,,,Server/Enterprise,Communications Commercial Temp,,Server/Enterprise,,,Communications Commercial Temp,Communications Commercial Temp,,Server/Enterprise,,
Recommended Customer Price,$1273.00,$10009.00,$1776.00,$4200.00,$1555.00,$1894.00,$3003.00,$3500.00,$2700.00,$8719.00,$3400.00,$11722.00,$13012.00,$4779.00,$7203.00,$4607.00,$3995.00,$2990.00,$2389.00,$9359.00,$3466.00,$7719.00,$4632.00,$4523.00,$3993.00,$7214.00,$3583.00,$2708.00,$2128.00 - $2140.00,$5383.00,$2878.00,$2977.00,$3200.00,$780.00 - $792.00,$1126.00 - $1137.00,$1483.00,$1088.00,$2607.00,$1517.00,$563.00 - $574.00,$2977.00,$563.00 - $574.00,$3139.00,$1945.00,$2325.00 - $2339.00,$1602.00,$1692.00,$624.00,$1977.00,$1780.00 - $1792.00,$1025.00,$4471.00,$6236.00

CPU Specifications
Total Cores,18,28,16,24,20,24,18,18,24,28,8,28,28,16,24,32,32,32,28,40,36,38,32,32,36,38,28,16,28,36,18,32,32,16,20,24,12,8,16,8,24,12,24,24,24,24,24,10,20,26,8,32,32
