ARK | Intel® Product Specification Comparison
08/24/2023 09:43:15 PM
 ,Intel® Xeon® E-2124G Processor ,Intel® Xeon® E-2186G Processor ,Intel® Xeon® E-2124 Processor ,Intel® Xeon® E-2136 Processor ,Intel® Xeon® E-2134 Processor ,Intel® Xeon® E-2186M Processor ,Intel® Xeon® E-2176G Processor ,Intel® Xeon® E-2144G Processor ,Intel® Xeon® E-2126G Processor ,Intel® Xeon® E-2174G Processor ,Intel® Xeon® E-2146G Processor ,Intel® Xeon® E-2176M Processor ,Intel® Xeon® E-2286G Processor ,Intel® Xeon® E-2276G Processor ,Intel® Xeon® E-2224 Processor ,Intel® Xeon® E-2224G Processor ,Intel® Xeon® E-2226G Processor ,Intel® Xeon® E-2234 Processor ,Intel® Xeon® E-2236 Processor ,Intel® Xeon® E-2244G Processor ,Intel® Xeon® E-2274G Processor ,Intel® Xeon® E-2246G Processor ,Intel® Xeon® E-2276M Processor ,Intel® Xeon® E-2286M Processor ,Intel® Xeon® E-2254ME Processor ,Intel® Xeon® E-2276ME Processor ,Intel® Xeon® E-2288G Processor ,Intel® Xeon® E-2254ML Processor ,Intel® Xeon® E-2278G Processor ,Intel® Xeon® E-2276ML Processor ,Intel® Xeon® E-2278GEL Processor ,Intel® Xeon® E-2226GE Processor ,Intel® Xeon® E-2278GE Processor ,Intel® Xeon® E-2336 Processor ,Intel® Xeon® E-2324G Processor ,Intel® Xeon® E-2356G Processor ,Intel® Xeon® E-2334 Processor ,Intel® Xeon® E-2314 Processor ,Intel® Xeon® E-2374G Processor ,Intel® Xeon® E-2378 Processor ,Intel® Xeon® E-2378G Processor ,Intel® Xeon® E-2388G Processor ,Intel® Xeon® E-2386G Processor 
Essentials
Product Collection,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor,Intel® Xeon® E Processor
Vertical Segment,Server,Server,Server,Server,Server,Mobile,Server,Server,Server,Server,Server,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Mobile,Mobile,Embedded,Embedded,Server,Embedded,Server,Embedded,Embedded,Embedded,Embedded,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,E-2124G,E-2186G,E-2124,E-2136,E-2134,E-2186M,E-2176G,E-2144G,E-2126G,E-2174G,E-2146G,E-2176M,E-2286G,E-2276G,E-2224,E-2224G,E-2226G,E-2234,E-2236,E-2244G,E-2274G,E-2246G,E-2276M,E-2286M,E-2254ME,E-2276ME,E-2288G,E-2254ML,E-2278G,E-2276ML,E-2278GEL,E-2226GE,E-2278GE,E-2336,E-2324G,E-2356G,E-2334,E-2314,E-2374G,E-2378,E-2378G,E-2388G,E-2386G
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,Embedded Broad Market Commercial Temp,,,,,,PC/Client/Tablet,,,,,PC/Client/Tablet,,,,,,,,,,,,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,Embedded Broad Market Commercial Temp,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise
Recommended Customer Price,$245.00 - $249.00,$506.00,$217.00 - $223.00,$319.00 - $324.00,$281.00 - $288.00,$623.00,$406.00 - $413.00,$306.00,$286.00,$370.00 - $375.00,$350.00 - $356.00,$450.00,$506.00,$406.00,$217.00 - $223.00,$245.00 - $249.00,$286.00 - $292.00,$281.00 - $288.00,$319.00 - $324.00,$306.00,$370.00,$350.00,,$623.00,$322.00,$450.00,$539.00,$322.00,$494.00,$450.00,$519.00,$286.00,$519.00,$319.00 - $331.00,$244.00 - $255.00,$350.00,$281.00 - $293.00,$204.00,$375.00 - $387.00,$406.00,$556.00 - $567.00,$606.00,$506.00

CPU Specifications
Total Cores,4,6,4,6,4,6,6,4,6,4,6,6,6,6,4,4,6,4,6,4,4,6,6,8,4,6,8,4,8,6,8,6,8,6,4,6,4,4,4,8,8,8,6
Total Threads,4,12,4,12,8,12,12,8,6,8,12,12,12,12,4,4,6,8,12,8,8,12,12,16,8,12,16,8,16,12,16,6,16,12,4,12,8,4,8,16,16,16,12
Max Turbo Frequency,4.50 GHz,4.70 GHz,4.30 GHz,4.50 GHz,4.50 GHz,4.80 GHz,4.70 GHz,4.50 GHz,4.50 GHz,4.70 GHz,4.50 GHz,4.40 GHz,4.90 GHz,4.90 GHz,4.60 GHz,4.70 GHz,4.70 GHz,4.80 GHz,4.80 GHz,4.80 GHz,4.90 GHz,4.80 GHz,4.70 GHz,5.00 GHz,3.80 GHz,4.50 GHz,5.00 GHz,3.50 GHz,5.00 GHz,4.20 GHz,3.90 GHz,4.60 GHz,4.70 GHz,4.80 GHz,4.60 GHz,5.00 GHz,4.80 GHz,4.50 GHz,5.00 GHz,4.80 GHz,5.10 GHz,5.10 GHz,5.10 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,4.50 GHz,4.70 GHz,4.30 GHz,4.50 GHz,4.50 GHz,,4.70 GHz,4.50 GHz,4.50 GHz,4.70 GHz,4.50 GHz,4.40 GHz,4.90 GHz,4.90 GHz,4.60 GHz,4.70 GHz,4.70 GHz,4.80 GHz,4.80 GHz,4.80 GHz,4.90 GHz,4.80 GHz,,,3.80 GHz,4.50 GHz,5.00 GHz,3.50 GHz,5.00 GHz,4.20 GHz,3.90 GHz,4.60 GHz,4.70 GHz,4.80 GHz,4.60 GHz,5.00 GHz,4.80 GHz,4.50 GHz,5.00 GHz,4.80 GHz,5.10 GHz,5.10 GHz,5.10 GHz
Processor Base Frequency,3.40 GHz,3.80 GHz,3.30 GHz,3.30 GHz,3.50 GHz,2.90 GHz,3.70 GHz,3.60 GHz,3.30 GHz,3.80 GHz,3.50 GHz,2.70 GHz,4.00 GHz,3.80 GHz,3.40 GHz,3.50 GHz,3.40 GHz,3.60 GHz,3.40 GHz,3.80 GHz,4.00 GHz,3.60 GHz,2.80 GHz,2.40 GHz,2.60 GHz,2.80 GHz,3.70 GHz,1.70 GHz,3.40 GHz,2.00 GHz,2.00 GHz,3.40 GHz,3.30 GHz,2.90 GHz,3.10 GHz,3.20 GHz,3.40 GHz,2.80 GHz,3.70 GHz,2.60 GHz,2.80 GHz,3.20 GHz,3.50 GHz
Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16 MB Intel® Smart Cache,8 MB,12 MB,16 MB Intel® Smart Cache,8 MB,16 MB Intel® Smart Cache,12 MB,16 MB,12 MB Intel® Smart Cache,16 MB,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache
Bus Speed,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s
TDP,71 W,95 W,71 W,80 W,71 W,45 W,80 W,71 W,80 W,71 W,80 W,45 W,95 W,80 W,71 W,71 W,80 W,71 W,80 W,71 W,83 W,80 W,45 W,45 W,45 W,45 W,95 W,25 W,80 W,25 W,35 W,80 W,80 W,65 W,65 W,80 W,65 W,65 W,80 W,65 W,80 W,95 W,95 W
Configurable TDP-down Frequency,,,,,,2.40 GHz,,,,,,2.20 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configurable TDP-down,,,,,,35 W,,,,,,35 W,,,,,,,,,,,35 W,35 W,35 W,35 W,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q3'18,Q3'18,Q3'18,Q3'18,Q3'18,Q2'18,Q4'17,Q3'18,Q3'18,Q3'18,Q3'18,Q2'18,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21,Q3'21
Servicing Status,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing
Embedded Options Available,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Description,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory capacity will be available in 2019 and requires both a BIOS update and hardware platform support. Please contact your hardware provider regarding availability for your system.,,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,,,,,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,,Support for up to 128GB system memory may require a BIOS update. Please contact your hardware provider regarding availability for your system.,,,,,,,,,,,,,,
