ARK | Intel® Product Specification Comparison
08/24/2023 09:54:07 PM
 ,Intel® Xeon® Processor E3-1220 ,Intel® Xeon® Processor E3-1225 ,Intel® Xeon® Processor E3-1230 ,Intel® Xeon® Processor E3-1235 ,Intel® Xeon® Processor E3-1240 ,Intel® Xeon® Processor E3-1245 ,Intel® Xeon® Processor E3-1260L ,Intel® Xeon® Processor E3-1270 ,Intel® Xeon® Processor E3-1275 ,Intel® Xeon® Processor E3-1280 ,Intel® Xeon® Processor E3-1220L ,Intel® Xeon® Processor E3-1290 ,Intel® Xeon® Processor E3-1125C ,Intel® Xeon® Processor E3-1105C 
Essentials
Product Collection,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family,Intel® Xeon® Processor E3 Family
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Embedded
Processor Number,E3-1220,E3-1225,E3-1230,E3-1235,E3-1240,E3-1245,E3-1260L,E3-1270,E3-1275,E3-1280,E3-1220L,E3-1290,E3-1125C,E3-1105C
Lithography,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,,
Use Conditions,,Server/Enterprise,,,,,,,Server/Enterprise,,,,Communications,Communications
Recommended Customer Price,$203.00,$209.00,$230.00,$250.00,$261.00,$273.00,,$339.00,$350.00,$623.00,,,,

CPU Specifications
Total Cores,4,4,4,4,4,4,4,4,4,4,2,4,4,4
Total Threads,4,4,8,8,8,8,8,8,8,8,4,8,8,8
Max Turbo Frequency,3.40 GHz,3.40 GHz,3.60 GHz,3.60 GHz,3.70 GHz,3.70 GHz,3.30 GHz,3.80 GHz,3.80 GHz,3.90 GHz,3.40 GHz,4.00 GHz,,
Intel® Turbo Boost Technology 2.0 Frequency‡,3.40 GHz,3.40 GHz,3.60 GHz,3.60 GHz,3.70 GHz,3.70 GHz,3.30 GHz,3.80 GHz,3.80 GHz,3.90 GHz,3.40 GHz,4.00 GHz,,
Processor Base Frequency,3.10 GHz,3.10 GHz,3.20 GHz,3.20 GHz,3.30 GHz,3.30 GHz,2.40 GHz,3.40 GHz,3.40 GHz,3.50 GHz,2.20 GHz,3.60 GHz,2.00 GHz,1.00 GHz
Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,3 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB L3 Cache,6 MB L3 Cache
Bus Speed,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,,
TDP,80 W,95 W,80 W,95 W,80 W,95 W,45 W,80 W,95 W,95 W,20 W,95 W,40 W,25 W

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q2'11,Q3'11,Q2'12,Q2'12
