ARK | Intel® Product Specification Comparison
08/24/2023 09:52:50 PM
 ,Intel® Xeon® Processor E3-1220L v3 ,Intel® Xeon® Processor E3-1220 v3 ,Intel® Xeon® Processor E3-1230L v3 ,Intel® Xeon® Processor E3-1230 v3 ,Intel® Xeon® Processor E3-1240 v3 ,Intel® Xeon® Processor E3-1270 v3 ,Intel® Xeon® Processor E3-1280 v3 ,Intel® Xeon® Processor E3-1225 v3 ,Intel® Xeon® Processor E3-1245 v3 ,Intel® Xeon® Processor E3-1265L v3 ,Intel® Xeon® Processor E3-1275 v3 ,Intel® Xeon® Processor E3-1285 v3 ,Intel® Xeon® Processor E3-1285L v3 ,Intel® Xeon® Processor E3-1268L v3 ,Intel® Xeon® Processor E3-1275L v3 ,Intel® Xeon® Processor E3-1281 v3 ,Intel® Xeon® Processor E3-1271 v3 ,Intel® Xeon® Processor E3-1241 v3 ,Intel® Xeon® Processor E3-1231 v3 ,Intel® Xeon® Processor E3-1240L v3 ,Intel® Xeon® Processor E3-1286 v3 ,Intel® Xeon® Processor E3-1286L v3 ,Intel® Xeon® Processor E3-1276 v3 ,Intel® Xeon® Processor E3-1246 v3 ,Intel® Xeon® Processor E3-1226 v3 
Essentials
Product Collection,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family,Intel® Xeon® Processor E3 v3 Family
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,E3-1220LV3,E3-1220 v3,E3-1230Lv3,E3-1230 v3,E3-1240 v3,E3-1270 v3,E3-1280 v3,E3-1225V3,E3-1245 v3,E3-1265Lv3,E3-1275 v3,E3-1285 v3,E3-1285Lv3,E3-1268LV3,E3-1275LV3,E3-1281V3,E3-1271V3,E3-1241V3,E3-1231V3,E3-1240LV3,E3-1286V3,E3-1286LV3,E3-1276V3,E3-1246V3,E3-1226V3
Lithography,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm
Use Conditions,,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,,,,,

CPU Specifications
Total Cores,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Total Threads,4,4,8,8,8,8,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4
