ARK | Intel® Product Specification Comparison
08/24/2023 09:51:46 PM
 ,Intel® Xeon® Processor E3-1225 v5 ,Intel® Xeon® Processor E3-1240L v5 ,Intel® Xeon® Processor E3-1235L v5 ,Intel® Xeon® Processor E3-1280 v5 ,Intel® Xeon® Processor E3-1220 v5 ,Intel® Xeon® Processor E3-1245 v5 ,Intel® Xeon® Processor E3-1270 v5 ,Intel® Xeon® Processor E3-1260L v5 ,Intel® Xeon® Processor E3-1240 v5 ,Intel® Xeon® Processor E3-1275 v5 ,Intel® Xeon® Processor E3-1268L v5 ,Intel® Xeon® Processor E3-1230 v5 ,Intel® Xeon® Processor E3-1505M v5 ,Intel® Xeon® Processor E3-1535M v5 ,Intel® Xeon® Processor E3-1505L v5 ,Intel® Xeon® Processor E3-1575M v5 ,Intel® Xeon® Processor E3-1515M v5 ,Intel® Xeon® Processor E3-1545M v5 ,Intel® Xeon® Processor E3-1565L v5 ,Intel® Xeon® Processor E3-1585L v5 ,Intel® Xeon® Processor E3-1585 v5 ,Intel® Xeon® Processor E3-1558L v5 ,Intel® Xeon® Processor E3-1578L v5 
Essentials
Product Collection,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family,Intel® Xeon® Processor E3 v5 Family
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Server,Mobile,Mobile,Embedded,Mobile,Mobile,Mobile,Server,Server,Server,Embedded,Embedded
Processor Number,E3-1225V5,E3-1240LV5,E3-1235LV5,E3-1280V5,E3-1220V5,E3-1245V5,E3-1270V5,E3-1260LV5,E3-1240V5,E3-1275V5,E3-1268LV5,E3-1230V5,E3-1505MV5,E3-1535MV5,E3-1505LV5,E3-1575MV5,E3-1515MV5,E3-1545MV5,E3-1565LV5,E3-1585LV5,E3-1585V5,E3-1558LV5,E3-1578LV5
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,PC/Client/Tablet,,,,,,,,,PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,PC/Client/Tablet,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,PC/Client/Tablet,,,,,,
Recommended Customer Price,$213.00,$278.00,$250.00,$612.00,$193.00,,$328.00,$294.00,$272.00,$339.00,$377.00,$250.00,$434.00,,$433.00,$1207.00,$489.00,$679.00,,,,$396.00,$449.00

CPU Specifications
Total Cores,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
