ARK | Intel® Product Specification Comparison
08/24/2023 09:50:59 PM
 ,Intel® Xeon® Processor E3-1501M v6 ,Intel® Xeon® Processor E3-1501L v6 ,Intel® Xeon® Processor E3-1505M v6 ,Intel® Xeon® Processor E3-1535M v6 ,Intel® Xeon® Processor E3-1240 v6 ,Intel® Xeon® Processor E3-1220 v6 ,Intel® Xeon® Processor E3-1245 v6 ,Intel® Xeon® Processor E3-1230 v6 ,Intel® Xeon® Processor E3-1280 v6 ,Intel® Xeon® Processor E3-1225 v6 ,Intel® Xeon® Processor E3-1275 v6 ,Intel® Xeon® Processor E3-1270 v6 ,Intel® Xeon® Processor E3-1505L v6 ,Intel® Xeon® Processor E3-1285 v6 
Essentials
Product Collection,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family,Intel® Xeon® Processor E3 v6 Family
Vertical Segment,Embedded,Embedded,Mobile,Mobile,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Server
Processor Number,E3-1501MV6,E3-1501LV6,E3-1505MV6,E3-1535MV6,E3-1240V6,E3-1220V6,E3-1245V6,E3-1230V6,E3-1280V6,E3-1225V6,E3-1275V6,E3-1270V6,E3-1505LV6,E3-1285V6
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,,,Industrial Commercial Temp,,,,,,,,PC/Client/Tablet,,Industrial Commercial Temp |  Embedded Broad Market Commercial Temp |  PC/Client/Tablet,
Recommended Customer Price,$306.00,$306.00,$434.00,$623.00,$272.00 - $282.00,$193.00 - $203.00,$284.00 - $294.00,$250.00 - $261.00,$383.00,$213.00 - $224.00,$339.00 - $350.00,$328.00 - $339.00,$433.00,$450.00

CPU Specifications
Total Cores,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Total Threads,4,4,8,8,8,4,8,8,8,4,8,8,8,8
Max Turbo Frequency,3.60 GHz,2.90 GHz,4.00 GHz,4.20 GHz,4.10 GHz,3.50 GHz,4.10 GHz,3.90 GHz,4.20 GHz,3.70 GHz,4.20 GHz,4.20 GHz,3.00 GHz,4.50 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,3.60 GHz,2.90 GHz,4.00 GHz,4.20 GHz,4.10 GHz,3.50 GHz,4.10 GHz,3.90 GHz,4.20 GHz,3.70 GHz,4.20 GHz,4.20 GHz,3.00 GHz,4.50 GHz
Processor Base Frequency,2.90 GHz,2.10 GHz,3.00 GHz,3.10 GHz,3.70 GHz,3.00 GHz,3.70 GHz,3.50 GHz,3.90 GHz,3.30 GHz,3.80 GHz,3.80 GHz,2.20 GHz,4.10 GHz
Cache,6 MB,6 MB,8 MB,8 MB,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB,8 MB Intel® Smart Cache
TDP,45 W,25 W,45 W,45 W,72 W,72 W,73 W,72 W,72 W,73 W,73 W,72 W,25 W,79 W
Configurable TDP-down,35 W,,35 W,35 W,,,,,,,,,,
Bus Speed,,,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,,8 GT/s

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q3'16,Q3'16,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q1'17,Q3'17
