ARK | Intel® Product Specification Comparison
08/24/2023 09:50:22 PM
 ,Intel® Xeon® Processor E5-2648L ,Intel® Xeon® Processor E5-2658 ,Intel® Xeon® Processor E5-2687W ,Intel® Xeon® Processor E5-2680 ,Intel® Xeon® Processor E5-2660 ,Intel® Xeon® Processor E5-2650L ,Intel® Xeon® Processor E5-2630L ,Intel® Xeon® Processor E5-2643 ,Intel® Xeon® Processor E5-2609 ,Intel® Xeon® Processor E5-2667 ,Intel® Xeon® Processor E5-2650 ,Intel® Xeon® Processor E5-2640 ,Intel® Xeon® Processor E5-2603 ,Intel® Xeon® Processor E5-2630 ,Intel® Xeon® Processor E5-2620 ,Intel® Xeon® Processor E5-2670 ,Intel® Xeon® Processor E5-2690 ,Intel® Xeon® Processor E5-2665 ,Intel® Xeon® Processor E5-2637 ,Intel® Xeon® Processor E5-1650 ,Intel® Xeon® Processor E5-4610 ,Intel® Xeon® Processor E5-4640 ,Intel® Xeon® Processor E5-4607 ,Intel® Xeon® Processor E5-4650L ,Intel® Xeon® Processor E5-4620 ,Intel® Xeon® Processor E5-4617 ,Intel® Xeon® Processor E5-4603 ,Intel® Xeon® Processor E5-2450L ,Intel® Xeon® Processor E5-2450 ,Intel® Xeon® Processor E5-2440 ,Intel® Xeon® Processor E5-2430L ,Intel® Xeon® Processor E5-2407 ,Intel® Xeon® Processor E5-2403 ,Intel® Xeon® Processor E5-2430 ,Intel® Xeon® Processor E5-2420 ,Intel® Xeon® Processor E5-1660 ,Intel® Xeon® Processor E5-1620 ,Intel® Xeon® Processor E5-4650 ,Intel® Xeon® Processor E5-2470 ,Intel® Xeon® Processor E5-1428L ,Intel® Xeon® Processor E5-2448L ,Intel® Xeon® Processor E5-2428L ,Intel® Xeon® Processor E5-2418L 
Essentials
Product Collection,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family,Intel® Xeon® Processor E5 Family
Vertical Segment,Embedded,Embedded,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Embedded,Embedded
Processor Number,E5-2648L,E5-2658,E5-2687W,E5-2680,E5-2660,E5-2650L,E5-2630L,E5-2643,E5-2609,E5-2667,E5-2650,E5-2640,E5-2603,E5-2630,E5-2620,E5-2670,E5-2690,E5-2665,E5-2637,E5-1650,E5-4610,E5-4640,E5-4607,E5-4650L,E5-4620,E5-4617,E5-4603,E5-2450L,E5-2450,E5-2440,E5-2430L,E5-2407,E5-2403,E5-2430,E5-2420,E5-1660,E5-1620,E5-4650,E5-2470,E5-1428L,E5-2448L,E5-2428L,E5-2418L
Lithography,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm
Use Conditions,Communications,Communications,,,,,,,,,,,,,Server/Enterprise,,,,,,,,,,,,,,,,,,,Server/Enterprise,,,,,,,Communications,Communications,Communications
Recommended Customer Price,,,$1890.00,$1727.00,$1329.00 - $1333.00,,,,$299.00,,$1107.00 - $1112.00,$885.00 - $889.00,$207.00,$612.00 - $616.00,$410.00,$1552.00 - $1556.00,$2057.00 - $2061.00,$1444.00,,$583.00,$1223.00,$2725.00 - $2730.00,$885.00 - $889.00,$3616.00 - $3620.00,$1611.00 - $1616.00,,$551.00 - $555.00,,$1112.00,$837.00,,$251.00,$195.00,$554.00,$387.00 - $391.00,$1080.00 - $1083.00,$294.00,$3616.00 - $3620.00,$1440.00 - $1444.00,$480.00,,,

CPU Specifications
Total Cores,8,8,8,8,8,8,6,4,4,6,8,6,4,6,6,8,8,8,2,6,6,8,6,8,8,6,4,8,8,6,6,4,4,6,6,6,4,8,8,6,8,6,4
