ARK | Intel® Product Specification Comparison
08/24/2023 09:49:41 PM
 ,Intel® Xeon® Processor E5-2440 v2 ,Intel® Xeon® Processor E5-2450 v2 ,Intel® Xeon® Processor E5-2450L v2 ,Intel® Xeon® Processor E5-2470 v2 ,Intel® Xeon® Processor E5-2640 v2 ,Intel® Xeon® Processor E5-2643 v2 ,Intel® Xeon® Processor E5-2650 v2 ,Intel® Xeon® Processor E5-2650L v2 ,Intel® Xeon® Processor E5-2660 v2 ,Intel® Xeon® Processor E5-2667 v2 ,Intel® Xeon® Processor E5-2670 v2 ,Intel® Xeon® Processor E5-2680 v2 ,Intel® Xeon® Processor E5-2690 v2 ,Intel® Xeon® Processor E5-2695 v2 ,Intel® Xeon® Processor E5-2697 v2 ,Intel® Xeon® Processor E5-4610 v2 ,Intel® Xeon® Processor E5-4620 v2 ,Intel® Xeon® Processor E5-4627 v2 ,Intel® Xeon® Processor E5-4640 v2 ,Intel® Xeon® Processor E5-4650 v2 ,Intel® Xeon® Processor E5-4657L v2 ,Intel® Xeon® Processor E5-1428L v2 ,Intel® Xeon® Processor E5-1620 v2 ,Intel® Xeon® Processor E5-1650 v2 ,Intel® Xeon® Processor E5-1660 v2 ,Intel® Xeon® Processor E5-2407 v2 ,Intel® Xeon® Processor E5-2418L v2 ,Intel® Xeon® Processor E5-2420 v2 ,Intel® Xeon® Processor E5-2430 v2 ,Intel® Xeon® Processor E5-2430L v2 ,Intel® Xeon® Processor E5-2609 v2 ,Intel® Xeon® Processor E5-2618L v2 ,Intel® Xeon® Processor E5-2620 v2 ,Intel® Xeon® Processor E5-2630 v2 ,Intel® Xeon® Processor E5-2630L v2 ,Intel® Xeon® Processor E5-2637 v2 ,Intel® Xeon® Processor E5-4603 v2 ,Intel® Xeon® Processor E5-4607 v2 ,Intel® Xeon® Processor E5-2448L v2 ,Intel® Xeon® Processor E5-2428L v2 ,Intel® Xeon® Processor E5-2403 v2 ,Intel® Xeon® Processor E5-2603 v2 ,Intel® Xeon® Processor E5-2628L v2 ,Intel® Xeon® Processor E5-2648L v2 ,Intel® Xeon® Processor E5-2658 v2 ,Intel® Xeon® Processor E5-2687W v2 ,Intel® Xeon® Processor E5-4624L v2 
Essentials
Product Collection,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family,Intel® Xeon® Processor E5 v2 Family
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Server,Server,Embedded,Embedded,Server,Server,Embedded,Embedded,Embedded,Server,Embedded
Processor Number,E5-2440V2,E5-2450V2,E5-2450LV2,E5-2470V2,E5-2640V2,E5-2643V2,E5-2650V2,E5-2650LV2,E5-2660V2,E5-2667V2,E5-2670V2,E5-2680V2,E5-2690V2,E5-2695V2,E5-2697V2,E5-4610V2,E5-4620V2,E5-4627V2,E5-4640V2,E5-4650V2,E5-4657LV2,E5-1428LV2,E5-1620V2,E5-1650V2,E5-1660V2,E5-2407V2,E5-2418LV2,E5-2420V2,E5-2430V2,E5-2430LV2,E5-2609V2,E5-2618LV2,E5-2620V2,E5-2630V2,E5-2630LV2,E5-2637V2,E5-4603V2,E5-4607V2,E5-2448LV2,E5-2428LV2,E5-2403V2,E5-2603V2,E5-2628LV2,E5-2648LV2,E5-2658V2,E5-2687WV2,E5-4624LV2
Lithography,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm
Use Conditions,,Server/Enterprise,,,Server/Enterprise,,,,,,,Server/Enterprise,,,,,,,,,,,,,,,Communications,,Server/Enterprise,,Server/Enterprise,Communications,,Server/Enterprise,,,,,Communications,Communications,,,Communications,Communications,Communications Commercial Temp,,Communications
Recommended Customer Price,$832.00,$1107.00,,$1440.00,$885.00 - $889.00,,$1166.00 - $1171.00,$1219.00,$1389.00 - $1393.00,,$1552.00 - $1556.00,$1723.00 - $1727.00,$2061.00,$2336.00 - $2340.00,$2614.00 - $2618.00,$1219.00,$1611.00,,$2725.00,$3616.00,$4394.00,$494.00,,$583.00,$1083.00,$250.00,$607.00,$406.00,$551.00,,$294.00 - $299.00,$632.00,$406.00 - $410.00,$612.00 - $616.00,,$996.00,$551.00,$885.00,$1424.00,$1013.00,,$202.00,$1216.00,$1479.00,$1750.00,$2112.00,$2405.00

CPU Specifications
Total Cores,8,8,10,10,8,6,8,10,10,8,10,10,10,12,12,8,8,8,10,10,12,6,4,6,6,4,6,6,6,6,4,6,6,6,6,4,4,6,10,8,4,4,8,10,10,8,10
