ARK | Intel® Product Specification Comparison
08/24/2023 09:49:08 PM
 ,Intel® Xeon® Processor E5-2683 v3 ,Intel® Xeon® Processor E5-2695 v3 ,Intel® Xeon® Processor E5-2697 v3 ,Intel® Xeon® Processor E5-2698 v3 ,Intel® Xeon® Processor E5-2699 v3 ,Intel® Xeon® Processor E5-2628L v3 ,Intel® Xeon® Processor E5-2650 v3 ,Intel® Xeon® Processor E5-2660 v3 ,Intel® Xeon® Processor E5-2670 v3 ,Intel® Xeon® Processor E5-2690 v3 ,Intel® Xeon® Processor E5-2609 v3 ,Intel® Xeon® Processor E5-2643 v3 ,Intel® Xeon® Processor E5-2648L v3 ,Intel® Xeon® Processor E5-2650L v3 ,Intel® Xeon® Processor E5-2658 v3 ,Intel® Xeon® Processor E5-2680 v3 ,Intel® Xeon® Processor E5-2687W v3 ,Intel® Xeon® Processor E5-1620 v3 ,Intel® Xeon® Processor E5-1630 v3 ,Intel® Xeon® Processor E5-1650 v3 ,Intel® Xeon® Processor E5-1660 v3 ,Intel® Xeon® Processor E5-1680 v3 ,Intel® Xeon® Processor E5-2603 v3 ,Intel® Xeon® Processor E5-2608L v3 ,Intel® Xeon® Processor E5-2618L v3 ,Intel® Xeon® Processor E5-2620 v3 ,Intel® Xeon® Processor E5-2623 v3 ,Intel® Xeon® Processor E5-2630 v3 ,Intel® Xeon® Processor E5-2630L v3 ,Intel® Xeon® Processor E5-2637 v3 ,Intel® Xeon® Processor E5-2640 v3 ,Intel® Xeon® Processor E5-2667 v3 ,Intel® Xeon® Processor E5-1428L v3 ,Intel® Xeon® Processor E5-2408L v3 ,Intel® Xeon® Processor E5-2418L v3 ,Intel® Xeon® Processor E5-2428L v3 ,Intel® Xeon® Processor E5-2438L v3 ,Intel® Xeon® Processor E5-4610 v3 ,Intel® Xeon® Processor E5-4620 v3 ,Intel® Xeon® Processor E5-4627 v3 ,Intel® Xeon® Processor E5-4640 v3 ,Intel® Xeon® Processor E5-4648 v3 ,Intel® Xeon® Processor E5-4650 v3 ,Intel® Xeon® Processor E5-4655 v3 ,Intel® Xeon® Processor E5-4660 v3 ,Intel® Xeon® Processor E5-4667 v3 ,Intel® Xeon® Processor E5-4669 v3 ,Intel® Xeon® Processor E5-2658A v3 
Essentials
Product Collection,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family,Intel® Xeon® Processor E5 v3 Family
Vertical Segment,Server,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Server,Server,Embedded,Server,Embedded,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Embedded,Server,Server,Server,Server,Server,Server,Server,Embedded,Embedded,Embedded,Embedded,Embedded,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Server,Embedded
Processor Number,E5-2683V3,E5-2695V3,E5-2697V3,E5-2698V3,E5-2699V3,E5-2628LV3,E5-2650V3,E5-2660V3,E5-2670V3,E5-2690V3,E5-2609V3,E5-2643V3,E5-2648LV3,E5-2650LV3,E5-2658V3,E5-2680V3,E5-2687WV3,E5-1620V3,E5-1630V3,E5-1650V3,E5-1660V3,E5-1680V3,E5-2603V3,E5-2608LV3,E5-2618LV3,E5-2620V3,E5-2623V3,E5-2630V3,E5-2630LV3,E5-2637V3,E5-2640V3,E5-2667V3,E5-1428LV3,E5-2408LV3,E5-2418LV3,E5-2428LV3,E5-2438LV3,E5-4610V3,E5-4620V3,E5-4627V3,E5-4640V3,E5-4648V3,E5-4650V3,E5-4655V3,E5-4660V3,E5-4667V3,E5-4669V3,E5-2658AV3
Lithography,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm
Use Conditions,,,,,,Communications Commercial Temp,,,,,Server/Enterprise,,Communications Commercial Temp,,Communications Commercial Temp,Server/Enterprise,,,,,,,,Communications Commercial Temp,Communications Commercial Temp,Server/Enterprise,,,,,Server/Enterprise,,,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,Communications Commercial Temp,,,,,Communications Commercial Temp,,,,,,Communications Commercial Temp
Recommended Customer Price,$1846.00,$2424.00,$2702.00,$3226.00,$4115.00,$1364.00,$1166.00,$1445.00,$1589.00,,$306.00,$1552.00,$1544.00,,$1832.00,$1745.00,,$294.00,$372.00,$583.00,$1080.00,$1723.00,$213.00,$441.00,$779.00,$417.00,$444.00,$667.00,$612.00,$996.00,$939.00,$2057.00,$608.00,$256.00,$472.00,$811.00,$1555.00,$1219.00,$1668.00,$2225.00,$2859.00,$2405.00,$3838.00,$4616.00,$4727.00,$5729.00,$7007.00,$1832.00

CPU Specifications
Total Cores,14,14,14,16,18,10,10,10,12,12,6,6,12,12,12,12,10,4,4,6,8,8,6,6,8,6,4,8,8,4,8,8,8,4,6,8,10,10,10,10,12,12,12,6,14,16,18,12
Total Threads,28,28,28,32,36,20,20,20,24,24,6,12,24,24,24,24,20,8,8,12,16,16,6,12,16,12,8,16,16,8,16,16,16,8,12,16,20,20,20,10,24,24,24,12,28,32,36,24
Max Turbo Frequency,3.00 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.60 GHz,2.50 GHz,3.00 GHz,3.30 GHz,3.10 GHz,3.50 GHz,,3.70 GHz,2.50 GHz,2.50 GHz,2.90 GHz,3.30 GHz,3.50 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.50 GHz,3.80 GHz,,,3.40 GHz,3.20 GHz,3.50 GHz,3.20 GHz,2.90 GHz,3.70 GHz,3.40 GHz,3.60 GHz,,,,,,1.70 GHz,2.60 GHz,3.20 GHz,2.60 GHz,2.20 GHz,2.80 GHz,3.20 GHz,2.90 GHz,2.90 GHz,2.90 GHz,2.90 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,3.00 GHz,3.30 GHz,3.60 GHz,3.60 GHz,3.60 GHz,2.50 GHz,3.00 GHz,3.30 GHz,3.10 GHz,3.50 GHz,,3.70 GHz,2.50 GHz,2.50 GHz,2.90 GHz,3.30 GHz,3.50 GHz,3.60 GHz,3.80 GHz,3.80 GHz,3.50 GHz,3.80 GHz,,,3.40 GHz,3.20 GHz,3.50 GHz,3.20 GHz,2.90 GHz,3.70 GHz,3.40 GHz,3.60 GHz,,,,,,,2.60 GHz,3.20 GHz,2.60 GHz,2.20 GHz,2.80 GHz,3.20 GHz,2.90 GHz,2.90 GHz,2.90 GHz,2.90 GHz
Processor Base Frequency,2.00 GHz,2.30 GHz,2.60 GHz,2.30 GHz,2.30 GHz,2.00 GHz,2.30 GHz,2.60 GHz,2.30 GHz,2.60 GHz,1.90 GHz,3.40 GHz,1.80 GHz,1.80 GHz,2.20 GHz,2.50 GHz,3.10 GHz,3.50 GHz,3.70 GHz,3.50 GHz,3.00 GHz,3.20 GHz,1.60 GHz,2.00 GHz,2.30 GHz,2.40 GHz,3.00 GHz,2.40 GHz,1.80 GHz,3.50 GHz,2.60 GHz,3.20 GHz,2.00 GHz,1.80 GHz,2.00 GHz,1.80 GHz,1.80 GHz,1.70 GHz,2.00 GHz,2.60 GHz,1.90 GHz,1.70 GHz,2.10 GHz,2.90 GHz,2.10 GHz,2.00 GHz,2.10 GHz,2.20 GHz
