ARK | Intel® Product Specification Comparison
08/24/2023 09:48:19 PM
 ,Intel® Xeon® Processor E5-2695 v4 ,Intel® Xeon® Processor E5-2699 v4 ,Intel® Xeon® Processor E5-2687W v4 ,Intel® Xeon® Processor E5-2650L v4 ,Intel® Xeon® Processor E5-2698 v4 ,Intel® Xeon® Processor E5-2680 v4 ,Intel® Xeon® Processor E5-2697 v4 ,Intel® Xeon® Processor E5-2648L v4 ,Intel® Xeon® Processor E5-2683 v4 ,Intel® Xeon® Processor E5-2650 v4 ,Intel® Xeon® Processor E5-2697A v4 ,Intel® Xeon® Processor E5-2690 v4 ,Intel® Xeon® Processor E5-2658 v4 ,Intel® Xeon® Processor E5-2660 v4 ,Intel® Xeon® Processor E5-2628L v4 ,Intel® Xeon® Processor E5-2630L v4 ,Intel® Xeon® Processor E5-2667 v4 ,Intel® Xeon® Processor E5-2623 v4 ,Intel® Xeon® Processor E5-2630 v4 ,Intel® Xeon® Processor E5-2618L v4 ,Intel® Xeon® Processor E5-2637 v4 ,Intel® Xeon® Processor E5-2640 v4 ,Intel® Xeon® Processor E5-1660 v4 ,Intel® Xeon® Processor E5-2620 v4 ,Intel® Xeon® Processor E5-1630 v4 ,Intel® Xeon® Processor E5-2608L v4 ,Intel® Xeon® Processor E5-2643 v4 ,Intel® Xeon® Processor E5-2609 v4 ,Intel® Xeon® Processor E5-1620 v4 ,Intel® Xeon® Processor E5-1680 v4 ,Intel® Xeon® Processor E5-2603 v4 ,Intel® Xeon® Processor E5-1650 v4 ,Intel® Xeon® Processor E5-4660 v4 ,Intel® Xeon® Processor E5-4640 v4 ,Intel® Xeon® Processor E5-4627 v4 ,Intel® Xeon® Processor E5-4620 v4 ,Intel® Xeon® Processor E5-4628L v4 ,Intel® Xeon® Processor E5-4669 v4 ,Intel® Xeon® Processor E5-4667 v4 ,Intel® Xeon® Processor E5-4655 v4 ,Intel® Xeon® Processor E5-4650 v4 ,Intel® Xeon® Processor E5-4610 v4 ,Intel® Xeon® Processor E5-2699A v4 ,Intel® Xeon® Processor E5-2699R v4 
Essentials
Product Collection,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family,Intel® Xeon® Processor E5 v4 Family
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Embedded,Server,Embedded,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Server,Server,Server,Server,Server,Server,Embedded
Processor Number,E5-2695V4,E5-2699V4,E5-2687WV4,E5-2650LV4,E5-2698V4,E5-2680V4,E5-2697V4,E5-2648LV4,E5-2683V4,E5-2650V4,E5-2697AV4,E5-2690V4,E5-2658V4,E5-2660V4,E5-2628LV4,E5-2630LV4,E5-2667V4,E5-2623V4,E5-2630V4,E5-2618LV4,E5-2637V4,E5-2640V4,E5-1660V4,E5-2620V4,E5-1630V4,E5-2608LV4,E5-2643V4,E5-2609V4,E5-1620V4,E5-1680V4,E5-2603V4,E5-1650V4,E5-4660V4,E5-4640V4,E5-4627V4,E5-4620V4,E5-4628LV4,E5-4669V4,E5-4667V4,E5-4655V4,E5-4650V4,E5-4610V4,E5-2699AV4,E5-2699RV4
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,,,,,,Server/Enterprise,,Communications Commercial Temp,,,,,Communications Commercial Temp,,Communications Commercial Temp,,,,,Communications Commercial Temp,,Server/Enterprise,,Server/Enterprise,,,,Server/Enterprise,,,,,,,,,,,,,,,,
Recommended Customer Price,$2424.00,$4115.00,$2141.00,$1329.00,$3226.00,$1745.00,$2702.00,$1544.00,$1846.00,$1166.00,$2891.00,$2090.00,$1832.00,$1445.00,$1364.00,$612.00,$2057.00,$444.00,$667.00 - $671.00,$779.00,$996.00,$939.00,$1113.00,$417.00 - $422.00,$406.00,$363.00,$1552.00,$306.00,$294.00,$1723.00,$213.00,$621.00,$4727.00,$2837.00,$2225.00,$1668.00,$2535.00,$7007.00,$5729.00,$4616.00,$3838.00,$1219.00,$4938.00,$4560.00

CPU Specifications
Total Cores,18,22,12,14,20,14,18,14,16,12,16,14,14,14,12,10,8,4,10,10,4,10,8,8,4,8,6,8,4,8,6,6,16,12,10,10,14,22,18,8,14,10,22,22
