ARK | Intel® Product Specification Comparison
08/24/2023 09:47:40 PM
 ,Intel® Xeon® Processor E7-2803 ,Intel® Xeon® Processor E7-4807 ,Intel® Xeon® Processor E7-2860 ,Intel® Xeon® Processor E7-4860 ,Intel® Xeon® Processor E7-8860 ,Intel® Xeon® Processor E7-2850 ,Intel® Xeon® Processor E7-4850 ,Intel® Xeon® Processor E7-8850 ,Intel® Xeon® Processor E7-8837 ,Intel® Xeon® Processor E7-8867L ,Intel® Xeon® Processor E7-2870 ,Intel® Xeon® Processor E7-4870 ,Intel® Xeon® Processor E7-8870 ,Intel® Xeon® Processor E7-2820 ,Intel® Xeon® Processor E7-2830 ,Intel® Xeon® Processor E7-4820 ,Intel® Xeon® Processor E7-4830 ,Intel® Xeon® Processor E7-8830 
Essentials
Product Collection,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family,Intel® Xeon® Processor E7 Family
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,E7-2803,E7-4807,E7-2860,E7-4860,E7-8860,E7-2850,E7-4850,E7-8850,E7-8837,E7-8867L,E7-2870,E7-4870,E7-8870,E7-2820,E7-2830,E7-4820,E7-4830,E7-8830
Lithography,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm
Recommended Customer Price,$774.00,$890.00,$3670.00,$3838.00,$4061.00,$2558.00,$2837.00,$3059.00,$2280.00,$4172.00,$4227.00,$4394.00,$4616.00,$1334.00,$1779.00,$1446.00,$2059.00,$2280.00

CPU Specifications
Total Cores,6,6,10,10,10,10,10,10,8,10,10,10,10,8,8,8,8,8
Total Threads,12,12,20,20,20,20,20,20,8,20,20,20,20,16,16,16,16,16
Processor Base Frequency,1.73 GHz,1.86 GHz,2.26 GHz,2.26 GHz,2.26 GHz,2.00 GHz,2.00 GHz,2.00 GHz,2.66 GHz,2.13 GHz,2.40 GHz,2.40 GHz,2.40 GHz,2.00 GHz,2.13 GHz,2.00 GHz,2.13 GHz,2.13 GHz
Cache,18 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,30 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,18 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache
