ARK | Intel® Product Specification Comparison
08/24/2023 09:47:07 PM
 ,Intel® Xeon® Processor E7-2850 v2 ,Intel® Xeon® Processor E7-2870 v2 ,Intel® Xeon® Processor E7-2880 v2 ,Intel® Xeon® Processor E7-2890 v2 ,Intel® Xeon® Processor E7-4809 v2 ,Intel® Xeon® Processor E7-4820 v2 ,Intel® Xeon® Processor E7-4830 v2 ,Intel® Xeon® Processor E7-4850 v2 ,Intel® Xeon® Processor E7-4860 v2 ,Intel® Xeon® Processor E7-4870 v2 ,Intel® Xeon® Processor E7-4890 v2 ,Intel® Xeon® Processor E7-8850 v2 ,Intel® Xeon® Processor E7-8857 v2 ,Intel® Xeon® Processor E7-8870 v2 ,Intel® Xeon® Processor E7-8880L v2 ,Intel® Xeon® Processor E7-8880 v2 ,Intel® Xeon® Processor E7-8890 v2 ,Intel® Xeon® Processor E7-8891 v2 ,Intel® Xeon® Processor E7-8893 v2 ,Intel® Xeon® Processor E7-4880 v2 
Essentials
Product Collection,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family,Intel® Xeon® Processor E7 v2 Family
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,E7-2850V2,E7-2870V2,E7-2880V2,E7-2890V2,E7-4809V2,E7-4820V2,E7-4830V2,E7-4850V2,E7-4860V2,E7-4870V2,E7-4890V2,E7-8850V2,E7-8857V2,E7-8870V2,E7-8880LV2,E7-8880V2,E7-8890V2,E7-8891V2,E7-8893V2,E7-4880V2
Lithography,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm
Recommended Customer Price,,$4227.00,$5339.00,$6451.00,$1223.00,$1446.00,$2059.00,$2837.00,$3838.00,$4394.00,$6619.00,$3059.00,$3838.00,$4616.00,$5729.00,$5729.00,$6841.00,$6841.00,$6841.00,$5506.00

CPU Specifications
Total Cores,12,15,15,15,6,8,10,12,12,15,15,12,12,15,15,15,15,10,6,15
Total Threads,24,30,30,30,12,16,20,24,24,30,30,24,12,30,30,30,30,20,12,30
Max Turbo Frequency,2.80 GHz,2.90 GHz,3.10 GHz,3.40 GHz,,2.50 GHz,2.70 GHz,2.80 GHz,3.20 GHz,2.90 GHz,3.40 GHz,2.80 GHz,3.60 GHz,2.90 GHz,2.80 GHz,3.10 GHz,3.40 GHz,3.70 GHz,3.70 GHz,3.10 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,2.80 GHz,2.90 GHz,3.10 GHz,3.40 GHz,,2.50 GHz,2.70 GHz,2.80 GHz,3.20 GHz,2.90 GHz,3.40 GHz,2.80 GHz,3.60 GHz,2.90 GHz,2.80 GHz,3.10 GHz,3.40 GHz,3.70 GHz,3.70 GHz,3.10 GHz
