ARK | Intel® Product Specification Comparison
08/24/2023 09:57:35 PM
 ,64-bit Intel® Xeon® Processor LV 2.80 GHz, 1M Cache, 800 MHz FSB ,Intel® Xeon® Processor 5130 ,Intel® Xeon® Processor 5140 ,Intel® Xeon® Processor LV 1.66 GHz, 2M Cache, 667 MHz FSB ,Intel® Xeon® Processor LV 2.00 GHz, 2M Cache, 667 MHz FSB ,Intel® Xeon® Processor LV 5148 ,64-bit Intel® Xeon® Processor 3.20 GHz, 1M Cache, 800 MHz FSB ,Intel® Xeon® Processor E5345 ,Intel® Xeon® Processor E5335 ,Intel® Xeon® Processor ULV 1.66 GHz, 2M Cache, 667 MHz FSB ,Intel® Xeon® Processor LV 5128 ,Intel® Xeon® Processor LV 5138 ,Intel® Xeon® Processor E5440 ,Intel® Xeon® Processor L5410 ,Intel® Xeon® Processor L5408 ,Intel® Xeon® Processor L5238 ,Intel® Xeon® Processor E5240 ,Intel® Xeon® Processor L5318 ,Intel® Xeon® Processor E5220 ,Intel® Xeon® Processor E5540 ,Intel® Xeon® Processor E5504 ,Intel® Xeon® Processor L5508 ,Intel® Xeon® Processor L5518 ,Intel® Xeon® Processor X3430 ,Intel® Xeon® Processor X3450 ,Intel® Xeon® Processor EC5549 ,Intel® Xeon® Processor EC5539 ,Intel® Xeon® Processor LC5528 ,Intel® Xeon® Processor EC3539 ,Intel® Xeon® Processor EC5509 ,Intel® Xeon® Processor LC5518 ,Intel® Xeon® Processor LC3528 ,Intel® Xeon® Processor LC3518 ,Intel® Xeon® Processor E5620 ,Intel® Xeon® Processor L5638 ,Intel® Xeon® Processor L5618 ,Intel® Xeon® Processor E5645 
Essentials
Product Collection,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Embedded,Embedded,Embedded,Server,Server,Server,Server,Embedded,Embedded,Server,Server,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Server,Server,Server,Server
Lithography,90 nm,65 nm,65 nm,65 nm,65 nm,65 nm,90 nm,65 nm,65 nm,65 nm,65 nm,65 nm,45 nm,45 nm,45 nm,45 nm,45 nm,65 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm
Processor Number,,5130,5140,,,5148,,E5345,E5335,,5128,5138,E5440,L5410,L5408,L5238,E5240,L5318,E5220,E5540,E5504,L5508,L5518,X3430,X3450,EC5549,EC5539,LC5528,EC3539,EC5509,LC5518,LC3528,LC3518,E5620,L5638,L5618,E5645
Use Conditions,,,,,,,,,,,,,Server/Enterprise,Server/Enterprise,Communications,Communications,Communications,,Communications,Server/Enterprise,Server/Enterprise,Communications,Communications,Server/Enterprise,Server/Enterprise,Communications,Communications,Communications,Communications,Communications,Communications,Communications,Communications,Server/Enterprise,Communications,Communications,Communications
Recommended Customer Price,,,,,,,,,,,,,$703.00 - $735.00,$351.00,,$560.00,,,$317.00,$940.00,,,$504.00,$203.00,$261.00,$503.00,$417.00,$493.00,,$286.00,$493.00,,$221.00,$369.00 - $391.00,,,$554.00

Performance Specifications
Total Cores,1,2,2,2,2,2,1,4,4,2,2,2,4,4,4,2,2,4,2,,,,,,,,,,,,,,,,,,
Processor Base Frequency,2.80 GHz,2.00 GHz,2.33 GHz,1.66 GHz,2.00 GHz,2.33 GHz,3.20 GHz,2.33 GHz,2.00 GHz,1.66 GHz,1.86 GHz,2.13 GHz,2.83 GHz,2.33 GHz,2.13 GHz,2.66 GHz,3.00 GHz,1.60 GHz,2.33 GHz,,,,,,,,,,,,,,,,,,
Cache,1 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,2 MB L2 Cache,2 MB L2 Cache,4 MB L2 Cache,1 MB L2 Cache,8 MB L2 Cache,8 MB L2 Cache,2 MB L2 Cache,4 MB L2 Cache,4 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,12 MB L2 Cache,6 MB L2 Cache,6 MB L2 Cache,8 MB L2 Cache,6 MB L2 Cache,,,,,,,,,,,,,,,,,,
Bus Speed,800 MHz,1333 MHz,1333 MHz,667 MHz,667 MHz,1333 MHz,800 MHz,1333 MHz,1333 MHz,667 MHz,1066 MHz,1066 MHz,1333 MHz,1333 MHz,1066 MHz,1333 MHz,1333 MHz,1066 MHz,1333 MHz,,,,,,,,,,,,,,,,,,
FSB Parity,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,
TDP,55 W,65 W,65 W,31 W,31 W,40 W,103 W,80 W,80 W,15 W,40 W,35 W,80 W,50 W,40 W,35 W,65 W,40 W,65 W,,,,,,,,,,,,,,,,,,
VID Voltage Range,1.1125V-1.2000V,B2=1.00V-1.50V,B2=1.0V-1.5V |  G0=.85V-1.5V,1.1125-1.275V,1.1125V-1.25V,1.150V-1.250V,1.287V-1.400V,1.0000V-1.5000V,1.0000V-1.5000V,1.0V-1.2125V,B2=1.0V-1.5V |  G0=.85V-1.5V,B2=1.0V-1.5V |  G0=.85V-1.5V,0.850V-1.3500V,0.850V-1.3500V,0.850V-1.3500V,0.8500V-1.3500V,0.8500V-1.3500V,0.9000V-1.2500V,0.8500V-1.3500V,,,,,,,,,,,,,,,,,,
Scenario Design Power (SDP),,0 W,0 W,,0 W,0 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q2'04,Q2'06,Q2'06,Q1'06,Q1'06,Q2'06,Q2'04,Q1'07,Q1'07,Q1'06,Q2'06,Q2'06,Q1'08,Q1'08,Q1'08,Q1'08,Q1'08,Q1'07,Q1'08,Q1'09,Q1'09,Q1'09,Q1'09,Q3'09,Q3'09,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10,Q1'10
