ARK | Intel® Product Specification Comparison
08/24/2023 09:42:34 PM
 ,Intel® Xeon® CPU Max 9480 Processor ,Intel® Xeon® CPU Max 9470 Processor ,Intel® Xeon® CPU Max 9460 Processor ,Intel® Xeon® CPU Max 9468 Processor ,Intel® Xeon® CPU Max 9462 Processor 
Essentials
Product Collection,Intel® Xeon® CPU Max Series,Intel® Xeon® CPU Max Series,Intel® Xeon® CPU Max Series,Intel® Xeon® CPU Max Series,Intel® Xeon® CPU Max Series
Vertical Segment,Server,Server,Server,Server,Server
Processor Number,9480,9470,9460,9468,9462
Lithography,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7
Use Conditions,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise,Server/Enterprise
Recommended Customer Price,,$515.00 - $566.00,$566.00,$515.00 - $566.00,$564.00

CPU Specifications
Total Cores,56,52,40,48,32
Total Threads,112,104,80,96,64
Max Turbo Frequency,3.50 GHz,3.50 GHz,3.50 GHz,3.50 GHz,3.50 GHz
Processor Base Frequency,1.90 GHz,2.00 GHz,2.20 GHz,2.10 GHz,2.70 GHz
Cache,112.5 MB,105 MB,97.5 MB,105 MB,75 MB
Intel® UPI Speed,16 GT/s,16 GT/s,16 GT/s,16 GT/s,16 GT/s
Max # of UPI Links,4,4,3,4,3
TDP,350 W,350 W,350 W,350 W,350 W

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched
Launch Date,Q1'23,Q1'23,Q1'23,Q1'23,Q1'23
Servicing Status,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing
Embedded Options Available,Yes,No,No,No,No

Memory Specifications
Max Memory Size (dependent on memory type),4 TB,4 TB,4 TB,4 TB,4 TB
Memory Types,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC,Up to DDR5 4800 MT/s 1DPC  Up to DDR5 4400 MT/s 2DPC
Max # of Memory Channels,8,8,8,8,8
Maximum High Bandwidth Memory (HBM)†,64 GB,64 GB,64 GB,64 GB,64 GB
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,Yes

Expansion Options
Scalability,2S,2S,2S,2S,2S
