ARK | Intel® Product Specification Comparison
08/24/2023 09:58:28 PM
 ,Intel® Xeon® Processor 5140 ,Intel® Xeon® Processor LV 5148 ,Intel® Xeon® Processor 2.00 GHz, 512K Cache, 533 MHz FSB ,Intel® Xeon® Processor 2.40 GHz, 512K Cache, 533 MHz FSB ,Intel® Xeon® Processor 2.80 GHz, 512K Cache, 533 MHz FSB ,64-bit Intel® Xeon® Processor 3.20 GHz, 1M Cache, 800 MHz FSB ,Intel® Xeon® Processor E5310 ,Intel® Xeon® Processor E5320 ,Intel® Xeon® Processor E5345 ,Intel® Xeon® Processor X3210 ,Intel® Xeon® Processor X3220 ,Intel® Xeon® Processor X5355 ,Intel® Xeon® Processor E5335 ,Intel® Xeon® Processor L5320 ,Intel® Xeon® Processor X5365 ,Intel® Xeon® Processor 3065 ,Intel® Xeon® Processor L5335 ,Intel® Xeon® Processor E7310 ,Intel® Xeon® Processor E7320 ,Intel® Xeon® Processor E7330 ,Intel® Xeon® Processor E7340 ,Intel® Xeon® Processor X7350 ,Intel® Xeon® Processor X3230 ,Intel® Xeon® Processor L3110 ,Intel® Xeon® Processor E5405 ,Intel® Xeon® Processor E5410 ,Intel® Xeon® Processor E5430 ,Intel® Xeon® Processor E5440 ,Intel® Xeon® Processor E5450 ,Intel® Xeon® Processor X5460 ,Intel® Xeon® Processor L5410 ,Intel® Xeon® Processor L5430 ,Intel® Xeon® Processor E5205 ,Intel® Xeon® Processor E5420 ,Intel® Xeon® Processor L5420 ,Intel® Xeon® Processor X3320 ,Intel® Xeon® Processor X3350 ,Intel® Xeon® Processor X3360 ,Intel® Xeon® Processor X5450 ,Intel® Xeon® Processor E3110 ,Intel® Xeon® Processor X5470 ,Intel® Xeon® Processor X3330 ,Intel® Xeon® Processor X3370 ,Intel® Xeon® Processor E7450 ,Intel® Xeon® Processor E7440 ,Intel® Xeon® Processor E7420 ,Intel® Xeon® Processor X7460 ,Intel® Xeon® Processor E5502 ,Intel® Xeon® Processor E5503 ,Intel® Xeon® Processor E5506 ,Intel® Xeon® Processor E5507 ,Intel® Xeon® Processor E5530 ,Intel® Xeon® Processor E5540 ,Intel® Xeon® Processor X5550 ,Intel® Xeon® Processor X5560 ,Intel® Xeon® Processor X5570 ,Intel® Xeon® Processor W5580 ,Intel® Xeon® Processor W3520 ,Intel® Xeon® Processor W3540 ,Intel® Xeon® Processor W3550 ,Intel® Xeon® Processor W3565 ,Intel® Xeon® Processor W3570 ,Intel® Xeon® Processor W3580 ,Intel® Xeon® Processor E5520 ,Intel® Xeon® Processor L5520 ,Intel® Xeon® Processor L3360 ,Intel® Xeon® Processor E5504 ,Intel® Xeon® Processor L5506 ,Intel® Xeon® Processor X3380 ,Intel® Xeon® Processor W3530 ,Intel® Xeon® Processor W5590 ,Intel® Xeon® Processor L5530 ,Intel® Xeon® Processor X3430 ,Intel® Xeon® Processor X3440 ,Intel® Xeon® Processor X3450 ,Intel® Xeon® Processor X3460 ,Intel® Xeon® Processor X3470 ,Intel® Xeon® Processor L3426 ,Intel® Xeon® Processor L3406 ,Intel® Xeon® Processor X5680 ,Intel® Xeon® Processor W3680 ,Intel® Xeon® Processor W3670 ,Intel® Xeon® Processor X5670 ,Intel® Xeon® Processor X5660 ,Intel® Xeon® Processor X5650 ,Intel® Xeon® Processor E5640 ,Intel® Xeon® Processor E5630 ,Intel® Xeon® Processor E5620 ,Intel® Xeon® Processor L5640 ,Intel® Xeon® Processor L5630 ,Intel® Xeon® Processor X3480 ,Intel® Xeon® Processor E5645 ,Intel® Xeon® Processor X5690 ,Intel® Xeon® Processor X5675 ,Intel® Xeon® Processor E5649 ,Intel® Xeon® Processor E5607 ,Intel® Xeon® Processor E5606 ,Intel® Xeon® Processor E5603 
Essentials
Product Collection,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,5140,5148,,,,,E5310,E5320,E5345,X3210,X3220,X5355,E5335,L5320,X5365,3065,L5335,E7310,E7320,E7330,E7340,X7350,X3230,L3110,E5405,E5410,E5430,E5440,E5450,X5460,L5410,L5430,E5205,E5420,L5420,X3320,X3350,X3360,X5450,E3110,X5470,X3330,X3370,E7450,E7440,E7420,X7460,E5502,E5503,E5506,E5507,E5530,E5540,X5550,X5560,X5570,W5580,W3520,W3540,W3550,W3565,W3570,W3580,E5520,L5520,L3360,E5504,L5506,X3380,W3530,W5590,L5530,X3430,X3440,X3450,X3460,X3470,L3426,L3406,X5680,W3680,W3670,X5670,X5660,X5650,E5640,E5630,E5620,L5640,L5630,X3480,E5645,X5690,X5675,E5649,E5607,E5606,E5603
Lithography,65 nm,65 nm,130 nm,130 nm,130 nm,90 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,45 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm,32 nm
Use Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,Server/Enterprise,,,Server/Enterprise,,,,,,,,,,,,,,,,,,,,,,Server/Enterprise,,,,,,,,,,,,,,Server/Enterprise,,,,,,Server/Enterprise,,Server/Enterprise,,,,,,,,,,,,,Server/Enterprise,,,,Communications,,,,,,
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,$243.00,$231.00,$284.00,$491.00,$703.00 - $735.00,$969.00,$1245.00,$351.00,$601.00,,$347.00,$413.00,,$268.00,$287.00,$912.00,$179.00,$1467.00,$202.00,$339.00,,,,,,,,,,$940.00,,,,,$305.00,$594.00,$305.00,$305.00,$1059.00,$1059.00,,,$340.00,,,$562.00,$305.00,,,$203.00,$230.00,$261.00,$328.00 - $339.00,$339.00,$305.00,$201.00,$1666.00,$594.00,$594.00,$1443.00,$1222.00,$999.00,$777.00,$554.00,$369.00 - $391.00,$999.00,$554.00,$623.00,$554.00,$1666.00,$1443.00,$777.00,$279.00,$219.00 - $227.00,$188.00 - $195.00

Performance Specifications
Total Cores,2,2,1,1,1,1,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,4,4,4,6,4,4,6,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processor Base Frequency,2.33 GHz,2.33 GHz,2.00 GHz,2.40 GHz,2.80 GHz,3.20 GHz,1.60 GHz,1.86 GHz,2.33 GHz,2.13 GHz,2.40 GHz,2.66 GHz,2.00 GHz,1.86 GHz,3.00 GHz,2.33 GHz,2.00 GHz,1.60 GHz,2.13 GHz,2.40 GHz,2.40 GHz,2.93 GHz,2.66 GHz,3.00 GHz,2.00 GHz,2.33 GHz,2.66 GHz,2.83 GHz,3.00 GHz,3.16 GHz,2.33 GHz,2.66 GHz,1.86 GHz,2.50 GHz,2.50 GHz,2.50 GHz,2.66 GHz,2.83 GHz,3.00 GHz,3.00 GHz,3.33 GHz,2.66 GHz,3.00 GHz,2.40 GHz,2.40 GHz,2.13 GHz,2.66 GHz,,,,,,,,,,,,,,,,,,,2.83 GHz,,,3.16 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
