ARK | Intel® Product Specification Comparison
08/24/2023 09:41:40 PM
 ,Intel® Xeon® Gold 5118 Processor ,Intel® Xeon® Gold 5120 Processor ,Intel® Xeon® Gold 5122 Processor ,Intel® Xeon® Gold 6138 Processor ,Intel® Xeon® Gold 5120T Processor ,Intel® Xeon® Gold 6136 Processor ,Intel® Xeon® Silver 4116 Processor ,Intel® Xeon® Gold 6128 Processor ,Intel® Xeon® Gold 6126 Processor ,Intel® Xeon® Gold 5115 Processor ,Intel® Xeon® Gold 6140 Processor ,Intel® Xeon® Gold 6142 Processor ,Intel® Xeon® Gold 6148 Processor ,Intel® Xeon® Gold 6150 Processor ,Intel® Xeon® Gold 6152 Processor ,Intel® Xeon® Gold 6130 Processor ,Intel® Xeon® Gold 6134 Processor ,Intel® Xeon® Gold 6154 Processor ,Intel® Xeon® Platinum 8180 Processor ,Intel® Xeon® Platinum 8153 Processor ,Intel® Xeon® Platinum 8156 Processor ,Intel® Xeon® Platinum 8158 Processor ,Intel® Xeon® Platinum 8160 Processor ,Intel® Xeon® Platinum 8164 Processor ,Intel® Xeon® Platinum 8168 Processor ,Intel® Xeon® Platinum 8170 Processor ,Intel® Xeon® Platinum 8176 Processor ,Intel® Xeon® Bronze 3106 Processor ,Intel® Xeon® Gold 6132 Processor ,Intel® Xeon® Gold 6138T Processor ,Intel® Xeon® Platinum 8160T Processor ,Intel® Xeon® Silver 4108 Processor ,Intel® Xeon® Gold 6130T Processor ,Intel® Xeon® Bronze 3104 Processor ,Intel® Xeon® Silver 4110 Processor ,Intel® Xeon® Gold 6126T Processor ,Intel® Xeon® Silver 4109T Processor ,Intel® Xeon® Silver 4114 Processor ,Intel® Xeon® Silver 4112 Processor ,Intel® Xeon® Gold 6142F Processor ,Intel® Xeon® Gold 6138F Processor ,Intel® Xeon® Platinum 8160F Processor ,Intel® Xeon® Gold 6130F Processor ,Intel® Xeon® Gold 6126F Processor ,Intel® Xeon® Gold 6148F Processor ,Intel® Xeon® Gold 6146 Processor ,Intel® Xeon® Gold 6144 Processor ,Intel® Xeon® Platinum 8176F Processor ,Intel® Xeon® Silver 4114T Processor ,Intel® Xeon® Gold 5119T Processor ,Intel® Xeon® Silver 4116T Processor ,Intel® Xeon® Gold 6138P Processor 
Essentials
Product Collection,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors,Intel® Xeon® Scalable Processors
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,5118,5120,5122,6138,5120T,6136,4116,6128,6126,5115,6140,6142,6148,6150,6152,6130,6134,6154,8180,8153,8156,8158,8160,8164,8168,8170,8176,3106,6132,6138T,8160T,4108,6130T,3104,4110,6126T,4109T,4114,4112,6142F,6138F,8160F,6130F,6126F,6148F,6146,6144,8176F,4114T,5119T,4116T,6138P
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Use Conditions,Server/Enterprise,,,Server/Enterprise,Communications,,Server/Enterprise,,Server/Enterprise,,,,,,,Server/Enterprise,,,,,,,,,,,,Server/Enterprise,,Communications Commercial Temp,Communications Commercial Temp,,Communications,,Server/Enterprise,Communications,Communications,,,,,,,,,,,,Communications,Communications,Communications,Server/Enterprise
Recommended Customer Price,$1273.00,$1555.00 - $1561.00,$1221.00 - $1227.00,$2612.00 - $2618.00,$1727.00,$2460.00,$1002.00 - $1012.00,$1691.00 - $1697.00,$1776.00,$1221.00,$2445.00 - $2451.00,$2946.00 - $2952.00,$3072.00 - $3078.00,$3358.00,$3655.00 - $3661.00,$1894.00 - $1900.00,$2214.00 - $2220.00,$3543.00,$10009.00 - $10015.00,$3115.00,$7007.00,$7007.00,$4702.00 - $4708.00,$6114.00 - $6120.00,$5890.00,$7405.00 - $7411.00,$8719.00,$306.00 - $316.00,$2111.00,$2742.00,$4936.00,$417.00 - $427.00,$1988.00,$213.00 - $223.00,$501.00 - $511.00,$1865.00,$501.00,$694.00 - $704.00,$473.00 - $483.00,$3101.00,$2767.00,$4856.00,$2049.00,$1931.00,$3227.00,$3286.00,$2925.00,$8874.00,$773.00,$1555.00,$1112.00,$4937.00

CPU Specifications
Total Cores,12,14,4,20,14,12,12,6,12,10,18,16,20,18,22,16,8,18,28,16,4,12,24,26,24,26,28,8,14,20,24,8,16,6,8,12,8,10,4,16,20,24,16,12,20,12,8,28,10,14,12,20
Total Threads,24,28,8,40,28,24,24,12,24,20,36,32,40,36,44,32,16,36,56,32,8,24,48,52,48,52,56,8,28,40,48,16,32,6,16,24,16,20,8,32,40,48,32,24,40,24,16,56,20,28,24,40
