ARK | Intel® Product Specification Comparison
08/24/2023 10:02:56 PM
 ,Intel® Xeon® Processor L3110 ,Intel® Xeon® Processor L5430 ,Intel® Xeon® Processor L5240 ,Intel® Xeon® Processor E3120 ,Intel® Xeon® Processor X5470 ,Intel® Xeon® Processor X3330 ,Intel® Xeon® Processor X3370 ,Intel® Xeon® Processor E5220 ,Intel® Xeon® Processor X5270 ,Intel® Xeon® Processor L5215 ,Intel® Xeon® Processor X5492 ,Intel® Xeon® Processor L7445 ,Intel® Xeon® Processor L7455 ,Intel® Xeon® Processor E7430 ,Intel® Xeon® Processor E7450 ,Intel® Xeon® Processor E7440 ,Intel® Xeon® Processor E7420 ,Intel® Xeon® Processor X7460 ,Intel® Xeon® Processor E5502 ,Intel® Xeon® Processor E5506 ,Intel® Xeon® Processor E5530 ,Intel® Xeon® Processor E5540 ,Intel® Xeon® Processor X5550 ,Intel® Xeon® Processor X5560 ,Intel® Xeon® Processor X5570 ,Intel® Xeon® Processor W5580 ,Intel® Xeon® Processor W3520 ,Intel® Xeon® Processor W3540 ,Intel® Xeon® Processor W3550 ,Intel® Xeon® Processor W3565 ,Intel® Xeon® Processor W3570 ,Intel® Xeon® Processor W3580 ,Intel® Xeon® Processor E5520 ,Intel® Xeon® Processor L5520 ,Intel® Xeon® Processor L3360 ,Intel® Xeon® Processor E5504 ,Intel® Xeon® Processor L5506 ,Intel® Xeon® Processor X3380 ,Intel® Xeon® Processor W5590 ,Intel® Xeon® Processor L5530 ,Intel® Xeon® Processor X3430 ,Intel® Xeon® Processor X3440 ,Intel® Xeon® Processor X3450 ,Intel® Xeon® Processor X3460 ,Intel® Xeon® Processor X3470 ,Intel® Xeon® Processor L3426 
Essentials
Product Collection,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Processor Number,L3110,L5430,L5240,E3120,X5470,X3330,X3370,E5220,X5270,L5215,X5492,L7445,L7455,E7430,E7450,E7440,E7420,X7460,E5502,E5506,E5530,E5540,X5550,X5560,X5570,W5580,W3520,W3540,W3550,W3565,W3570,W3580,E5520,L5520,L3360,E5504,L5506,X3380,W5590,L5530,X3430,X3440,X3450,X3460,X3470,L3426
Lithography,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm
Use Conditions,,,,,,,,Communications,,,,,,,,,,,,,,Server/Enterprise,,,,,,,,,,,,,,Server/Enterprise,,,,,Server/Enterprise,,Server/Enterprise,,,
Recommended Customer Price,$243.00,$601.00,,,$1467.00,$202.00,$339.00,$317.00,,,,,,,,,,,,,,$940.00,,,,,$305.00,$594.00,$305.00,$305.00,$1059.00,$1059.00,,,$340.00,,,$562.00,,,$203.00,$230.00,$261.00,$328.00 - $339.00,$339.00,$305.00

Performance Specifications
Total Cores,2,4,2,2,4,4,4,2,2,2,4,4,6,4,6,4,4,6,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,
