ARK | Intel® Product Specification Comparison
08/24/2023 10:04:49 PM
 ,64-bit Intel® Xeon® Processor LV 2.80 GHz, 1M Cache, 800 MHz FSB ,Intel® Xeon® Processor 5130 ,Intel® Xeon® Processor 5140 ,Intel® Xeon® Processor LV 1.66 GHz, 2M Cache, 667 MHz FSB ,Intel® Xeon® Processor LV 2.00 GHz, 2M Cache, 667 MHz FSB ,Intel® Xeon® Processor LV 5148 ,Intel® Xeon® Processor 2.00 GHz, 512K Cache, 533 MHz FSB ,Intel® Xeon® Processor 2.40 GHz, 512K Cache, 533 MHz FSB ,Intel® Xeon® Processor 2.80 GHz, 512K Cache, 533 MHz FSB ,Intel® Xeon® Processor LV 1.60 GHz, 512K Cache, 400 MHz FSB ,Intel® Xeon® Processor LV 2.40 GHz, 512K Cache, 400 MHz FSB ,64-bit Intel® Xeon® Processor 3.20 GHz, 1M Cache, 800 MHz FSB ,Intel® Xeon® Processor E5310 ,Intel® Xeon® Processor E5320 ,Intel® Xeon® Processor E5345 ,Intel® Xeon® Processor X3210 ,Intel® Xeon® Processor X3220 ,Intel® Xeon® Processor X5355 ,Intel® Xeon® Processor E5335 ,Intel® Xeon® Processor LV 2.16 GHz, 2M Cache, 667 MHz FSB ,Intel® Xeon® Processor ULV 1.66 GHz, 2M Cache, 667 MHz FSB ,Intel® Xeon® Processor L5320 ,Intel® Xeon® Processor L5310 ,Intel® Xeon® Processor LV 5128 ,Intel® Xeon® Processor LV 5138 ,Intel® Xeon® Processor X5365 ,Intel® Xeon® Processor 3065 ,Intel® Xeon® Processor E7210 ,Intel® Xeon® Processor E7220 ,Intel® Xeon® Processor L5335 ,Intel® Xeon® Processor E7310 ,Intel® Xeon® Processor E7320 ,Intel® Xeon® Processor E7330 ,Intel® Xeon® Processor E7340 ,Intel® Xeon® Processor X7350 ,Intel® Xeon® Processor X3230 ,Intel® Xeon® Processor L7345 ,Intel® Xeon® Processor E5405 ,Intel® Xeon® Processor E5410 ,Intel® Xeon® Processor E5430 ,Intel® Xeon® Processor E5440 ,Intel® Xeon® Processor E5450 ,Intel® Xeon® Processor E5462 ,Intel® Xeon® Processor E5472 ,Intel® Xeon® Processor X5460 ,Intel® Xeon® Processor X5482 ,Intel® Xeon® Processor L5410 ,Intel® Xeon® Processor E5205 ,Intel® Xeon® Processor X5260 ,Intel® Xeon® Processor X5272 ,Intel® Xeon® Processor E5420 ,Intel® Xeon® Processor L5420 ,Intel® Xeon® Processor X3320 ,Intel® Xeon® Processor X3350 ,Intel® Xeon® Processor X3360 ,Intel® Xeon® Processor X5450 ,Intel® Xeon® Processor X5472 ,Intel® Xeon® Processor E3110 ,Intel® Xeon® Processor L5318 
Essentials
Product Collection,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors,Legacy Intel® Xeon® Processors
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server,Server
Lithography,90 nm,65 nm,65 nm,65 nm,65 nm,65 nm,130 nm,130 nm,130 nm,130 nm,130 nm,90 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,65 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,45 nm,65 nm
Processor Number,,5130,5140,,,5148,,,,,,,E5310,E5320,E5345,X3210,X3220,X5355,E5335,,,L5320,L5310,5128,5138,X5365,3065,E7210,E7220,L5335,E7310,E7320,E7330,E7340,X7350,X3230,L7345,E5405,E5410,E5430,E5440,E5450,E5462,E5472,X5460,X5482,L5410,E5205,X5260,X5272,E5420,L5420,X3320,X3350,X3360,X5450,X5472,E3110,L5318
Use Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Server/Enterprise,,,,,,Server/Enterprise,,,,,,,,,,,,
Recommended Customer Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$231.00,$284.00,$491.00,$703.00 - $735.00,$969.00,,,$1245.00,,$351.00,,,,$347.00,$413.00,,$268.00,$287.00,$912.00,,$179.00,

Performance Specifications
Total Cores,1,2,2,2,2,2,1,1,1,1,1,1,4,4,4,4,4,4,4,2,2,4,4,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,2,4
Processor Base Frequency,2.80 GHz,2.00 GHz,2.33 GHz,1.66 GHz,2.00 GHz,2.33 GHz,2.00 GHz,2.40 GHz,2.80 GHz,1.60 GHz,2.40 GHz,3.20 GHz,1.60 GHz,1.86 GHz,2.33 GHz,2.13 GHz,2.40 GHz,2.66 GHz,2.00 GHz,2.16 GHz,1.66 GHz,1.86 GHz,1.60 GHz,1.86 GHz,2.13 GHz,3.00 GHz,2.33 GHz,2.40 GHz,2.93 GHz,2.00 GHz,1.60 GHz,2.13 GHz,2.40 GHz,2.40 GHz,2.93 GHz,2.66 GHz,1.86 GHz,2.00 GHz,2.33 GHz,2.66 GHz,2.83 GHz,3.00 GHz,2.80 GHz,3.00 GHz,3.16 GHz,3.20 GHz,2.33 GHz,1.86 GHz,3.33 GHz,3.40 GHz,2.50 GHz,2.50 GHz,2.50 GHz,2.66 GHz,2.83 GHz,3.00 GHz,3.00 GHz,3.00 GHz,1.60 GHz
