ARK | Intel® Product Specification Comparison
08/24/2023 09:43:54 PM
 ,Intel® Xeon® W-2123 Processor ,Intel® Xeon® W-2133 Processor ,Intel® Xeon® W-2155 Processor ,Intel® Xeon® W-2145 Processor ,Intel® Xeon® W-2125 Processor ,Intel® Xeon® W-2135 Processor ,Intel® Xeon® W-2195 Processor ,Intel® Xeon® W-2175 Processor ,Intel® Xeon® W-3175X Processor ,Intel® Xeon® W-3223 Processor ,Intel® Xeon® W-3265 Processor ,Intel® Xeon® W-3225 Processor ,Intel® Xeon® W-3235 Processor ,Intel® Xeon® W-3265M Processor ,Intel® Xeon® W-3245M Processor ,Intel® Xeon® W-3275 Processor ,Intel® Xeon® W-3245 Processor ,Intel® Xeon® W-3275M Processor ,Intel® Xeon® W-2275 Processor ,Intel® Xeon® W-2295 Processor ,Intel® Xeon® W-2265 Processor ,Intel® Xeon® W-2255 Processor ,Intel® Xeon® W-2223 Processor ,Intel® Xeon® W-2235 Processor ,Intel® Xeon® W-2245 Processor ,Intel® Xeon® W-2225 Processor ,Intel® Xeon® W-1250 Processor ,Intel® Xeon® W-1290P Processor ,Intel® Xeon® W-1290 Processor ,Intel® Xeon® W-1270P Processor ,Intel® Xeon® W-1270 Processor ,Intel® Xeon® W-1250P Processor ,Intel® Xeon® W-1290T Processor ,Intel® Xeon® W-10855M Processor ,Intel® Xeon® W-10885M Processor ,Intel® Xeon® W-1250E Processor ,Intel® Xeon® W-1250TE Processor ,Intel® Xeon® W-1290E Processor ,Intel® Xeon® W-1270E Processor ,Intel® Xeon® W-1270TE Processor ,Intel® Xeon® W-1290TE Processor ,Intel® Xeon® W-1350 Processor ,Intel® Xeon® W-1350P Processor ,Intel® Xeon® W-1370 Processor ,Intel® Xeon® W-1370P Processor ,Intel® Xeon® W-1390 Processor ,Intel® Xeon® W-1390P Processor ,Intel® Xeon® W-1390T Processor ,Intel® Xeon® W-11955M Processor ,Intel® Xeon® W-11855M Processor ,Intel® Xeon® W-3365 Processor ,Intel® Xeon® W-3335 Processor ,Intel® Xeon® W-3345 Processor ,Intel® Xeon® W-3375 Processor ,Intel® Xeon® W-3323 Processor ,Intel® Xeon® W-11865MRE Processor ,Intel® Xeon® W-11865MLE Processor ,Intel® Xeon® W-11155MLE Processor ,Intel® Xeon® W-11555MRE Processor ,Intel® Xeon® W-11555MLE Processor ,Intel® Xeon® W-11155MRE Processor ,Intel® Xeon® w5-2465X Processor ,Intel® Xeon® w7-3465X Processor ,Intel® Xeon® w7-2475X Processor ,Intel® Xeon® w9-3475X Processor ,Intel® Xeon® w5-2455X Processor ,Intel® Xeon® w5-3435X Processor ,Intel® Xeon® w7-3445 Processor ,Intel® Xeon® w7-3455 Processor ,Intel® Xeon® w3-2435 Processor ,Intel® Xeon® w5-2445 Processor ,Intel® Xeon® w5-3425 Processor ,Intel® Xeon® w9-3495X Processor ,Intel® Xeon® w3-2423 Processor ,Intel® Xeon® w3-2425 Processor 
Essentials
Product Collection,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor,Intel® Xeon® W Processor
Vertical Segment,Server,Server,Server,Server,Server,Server,Server,Server,Desktop,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Mobile,Mobile,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Mobile,Mobile,Workstation,Workstation,Workstation,Workstation,Workstation,Embedded,Embedded,Embedded,Embedded,Embedded,Embedded,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation
Processor Number,W-2123,W-2133,W-2155,W-2145,W-2125,W-2135,W-2195,W-2175,W-3175X,W-3223,W-3265,W-3225,W-3235,W-3265M,W-3245M,W-3275,W-3245,W-3275M,W-2275,W-2295,W-2265,W-2255,W-2223,W-2235,W-2245,W-2225,W-1250,W-1290P,W-1290,W-1270P,W-1270,W-1250P,W-1290T,W-10855M,W-10885M,W-1250E,W-1250TE,W-1290E,W-1270E,W-1270TE,W-1290TE,W-1350,W-1350P,W-1370,W-1370P,W-1390,W-1390P,W-1390T,W-11955M,W-11855M,W-3365,W-3335,W-3345,W-3375,W-3323,W-11865MRE,W-11865MLE,W-11155MLE,W-11555MRE,W-11555MLE,W-11155MRE,w5-2465X,w7-3465X,w7-2475X,w9-3475X,w5-2455X,w5-3435X,w7-3445,w7-3455,w3-2435,w5-2445,w5-3425,w9-3495X,w3-2423,w3-2425
Lithography,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,10 nm SuperFin,10 nm SuperFin,10 nm,10 nm,10 nm,10 nm,10 nm,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,10 nm SuperFin,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7
Use Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,,,,,,,,Embedded Broad Market Extended Temp |  Industrial Extended Temp,Embedded Broad Market Commercial Temp |  Industrial Commercial Temp,Embedded Broad Market Commercial Temp |  Industrial Commercial Temp,Embedded Broad Market Extended Temp |  Industrial Extended Temp,Embedded Broad Market Commercial Temp |  Industrial Commercial Temp,Embedded Broad Market Extended Temp |  Industrial Extended Temp,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation,Workstation
Recommended Customer Price,$294.00,$617.00,$1440.00,$1113.00,$444.00,$835.00,$2553.00,$1947.00,$2999.00,$823.00,$3684.00,$1319.00,$1538.00,$6987.00,$5502.00,$4894.00,$2199.00,$8198.00,$1222.00,$1467.00,$1039.00,$855.00,$325.00 - $335.00,$610.00 - $620.00,$733.00,$488.00,$280.00 - $290.00,$594.00,$546.00 - $556.00,$472.00 - $482.00,$398.00 - $408.00,$342.00 - $352.00,$546.00,$450.00,$623.00,$286.00,$286.00,$552.00,$404.00,$404.00,$552.00,$280.00 - $290.00,$342.00 - $352.00,$398.00 - $408.00,$472.00 - $482.00,$546.00 - $556.00,$594.00,$546.00,$623.00,$450.00,$3851.00,$1430.00,$2751.00,$4951.00,$1043.00,$480.00,$467.00,$242.00,$326.00,$317.00,$249.00,$1389.00 - $1399.00,$2889.00 - $2899.00,$1789.00 - $1799.00,$3739.00 - $3749.00,$1039.00 - $1049.00,$1589.00 - $1599.00,$1989.00,$2489.00,$669.00,$839.00,$1189.00,$5889.00,$359.00,$529.00

CPU Specifications
Total Cores,4,6,10,8,4,6,18,14,28,8,24,8,12,24,16,28,16,28,14,18,12,10,4,6,8,4,6,10,10,8,8,6,10,6,8,6,6,10,8,8,10,6,6,8,8,8,8,8,8,6,32,16,24,38,12,8,8,4,6,6,4,16,28,20,36,12,16,20,24,8,10,12,56,6,6
