hw_model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,clock,Memory clock (MHz),Core config,Fillrate MOperations/s,Fillrate MPixels/s,Fillrate MTexels/s,Fillrate MVertices/s,Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),MFLOPS FP32,Latest API support Direct3D,Latest API support OpenGL
STG-2000,"May 22, 1995",NV1,SGS500 nm,1[3],90,PCI,1275,5060,1:1:1,12,12,12,0,124,0.40.48,FPMEDOVRAM,64,24.0150.0,1.0,0
Riva 128,"August 25, 1997",NV3,SGS 350 nm,4[4],90,"AGP 1x,[5] PCI",100,100,1:1:1,100,100,100,0,4,1.6,SDR,128,200.0,5.0,1.0
Riva 128ZX,"February 23, 1998",NV3,SGS/TSMC 350 nm,4[4],90,"AGP 2x, PCI",100,100,1:1:1,100,100,100,0,8,1.6,SDR,128,200.0,5.0,1.0
Riva TNT,"June 15, 1998",NV4,TSMC 350 nm,7[6],90,"AGP 2x, PCI",90,110,2:2:2,180,180,180,0,816,1.76,SDR,128,360.0,6.0,1.2
Vanta,"March 22, 1999",NV6,TSMC 250 nm,0,0,"AGP 4x, PCI",100,125,2:2:2,200,200,200,0,816,1.0,SDR,64,400.0,6.0,1.2
Vanta LT,March 2000,NV6,TSMC 250 nm,0,0,AGP 2x,80,100,2:2:2,160,160,160,0,816,0.8,SDR,64,320.0,6.0,1.2
Riva TNT2 M64,October 1999,NV6,TSMC 250 nm,0,0,"AGP 4x, PCI",125,150,2:2:2,250,250,250,0,8 16 32,1.2,SDR,64,500.0,6.0,1.2
Riva TNT2,"March 15, 1999",NV5,TSMC 250 nm,15[7],90,"AGP 4x, PCI",125,150,2:2:2,250,250,250,0,1632,2.4,SDR,128,500.0,6.0,1.2
Riva TNT2 Pro,"October 12, 1999",NV5,TSMC 220 nm,15[7],90,"AGP 4x, PCI",143,166,2:2:2,286,286,286,0,1632,2.656,SDR,128,572.0,6.0,1.2
Riva TNT2 Ultra,"March 15, 1999",NV5,TSMC 250 nm,15[7],90,"AGP 4x, PCI",150,183,2:2:2,300,300,300,0,1632,2.928,SDR,128,600.0,6.0,1.2
