hw_model,Features Gamma-correct antialiasing,Features 64-bit OpenEXR HDR,Features Scalable Link Interface (SLI),Features TurboCache,Features Dual Link DVI,Features
GeForce 7100 GS,No,No,"Yes (PCIe only, No SLI bridge)",Yes,No,Yes
GeForce 7200 GS,Yes,Yes,No,Yes,No,Yes
GeForce 7300 SE,Yes,Yes,No,Yes,No,Yes
GeForce 7300 LE,Yes,Yes,No,Yes,No,Yes
GeForce 7300 GS,Yes,Yes,Yes (PCIe only),Yes,No,Yes
GeForce 7300 GT,Yes,Yes,"Yes (PCIe only, No SLI bridge)",No,One port,Yes
GeForce 7600 GS,Yes,Yes,Yes (PCIe only),No,One port,Yes
GeForce 7600 GT,Yes,Yes,Yes (PCIe only),No,One port,Yes
GeForce 7600 GT (80 nm),Yes,Yes,Yes,No,One port,Yes
GeForce 7650 GS (80 nm),Yes,Yes,Yes (Depending on OEM Design),No,One port,Yes
GeForce 7800 GS,Yes,Yes,No,No,One port,Yes
GeForce 7800 GT,Yes,Yes,Yes,No,One port,Yes
GeForce 7800 GTX,Yes,Yes,Yes,No,One port,Yes
GeForce 7800 GTX 512,Yes,Yes,Yes,No,One port,Yes
GeForce 7900 GS,Yes,Yes,Yes (PCIe only),No,Two ports,Yes
GeForce 7900 GT,Yes,Yes,Yes,No,Two ports,Yes
GeForce 7900 GTO,Yes,Yes,Yes,No,Two ports,Yes
GeForce 7900 GTX,Yes,Yes,Yes,No,Two ports,Yes
GeForce 7900 GX2 (GTX Duo),Yes,Yes,Yes,No,Two ports,Yes
GeForce 7950 GT,Yes,Yes,Yes (PCIe only),No,Two ports,Yes
GeForce 7950 GX2,Yes,Yes,Yes,No,Two ports,Yes
