hw_model,Features Scalable Link Interface (SLI),"Features PureVideo 2 with VP2,BSP Engine, and AES128 Engine","Features PureVideo 3 with VP3,BSP Engine, and AES128 Engine",Features
GeForce 9300 GE (G98),Yes,No,Yes,Yes
GeForce 9300 GS (G98),Yes,No,Yes,Yes
GeForce 9400 GT,Yes,Yes,No,Yes
GeForce 9500 GT,Yes,Yes,No,Yes
GeForce 9600 GSO,Yes,Yes,No,Yes
GeForce 9600 GT,Yes,Yes,No,Yes
GeForce 9800 GT,Yes,Yes,No,Yes
GeForce 9800 GTX,Yes3-way,Yes,No,Yes
GeForce 9800 GTX+,Yes3-way,Yes,No,Yes
GeForce 9800 GX2,Yes,Yes,No,Yes
