hw_model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,Core config,Clock rate Core (MHz),Clock rate Shader (MHz),Clock rate Memory (MT/s),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory configuration Size (MB),Memory configuration Bandwidth (GB/s),Memory configuration DRAM type,Memory configuration Bus width (bit),Supported API version Direct3D,Supported API version OpenGL,Processing power (GFLOPS) Single precision,TDP (Watts),Comments,Release Price (USD)
GeForce 205,"November 26, 2009",GT218,TSMC 40 nm,260,57,PCIe 2.0 x16,8:4:4,589,1402,1000,2.356,2.356,512,8,DDR2,64,10.1,3.3,22.4,30.5,OEM only,0
GeForce 210,"October 12, 2009",GT218-325-B1,TSMC 40 nm,260,57,PCIe 2.0 x16PCIe x1PCI,16:8:4,520589,12301402,8001000–1600,2.356,4.712,5121024,4.08.012.8,DDR2DDR3,3264,10.1,3.3,36.444.9,30.5,0,0
GeForce GT 220,"October 12, 2009",GT216-300-A2,TSMC 40 nm,486,100,PCIe 2.0 x16,48:16:8,615(OEM)625,1335(OEM)1360,10001580,5,10,5121024,16.025.3,DDR2DDR3,64128,10.1,3.3,128.2(OEM)130.6,58,0,0
GeForce GT 230,"October 12, 2009[52]",G94b,TSMC/UMC 55 nm,505,196?,PCIe 2.0 x16,48:24:16,650,1625,1800,10.4,15.6,5121024,57.6,GDDR3,256,10,3.3,156,75,OEM only,0
GeForce GT 230,"April 27, 2009[53]",G92b,TSMC/UMC 55 nm,754,260,PCIe 2.0 x16,96:48:12,500,1242,1000,6,24,1536,24,DDR2,192,10,3.3,238.5,75,OEM only,0
GeForce GT 240,"November 17, 2009",GT215-450-A2,TSMC 40 nm,727,139,PCIe 2.0 x16,96:32:8,550,1340,180020003400(GDDR5),4.4,17.6,5121024,28.8(OEM)3254.4(GDDR5),DDR3GDDR3GDDR5,128,10.1,3.3,257.3,69,0,0
GeForce GTS 240,"July 1, 2009[54]",G92aG92b,TSMC 65 nmTSMC/UMC 55 nm,754,324260,PCIe 2.0 x16,112:56:16,675,1620,2200,10.8,37.8,1024,70.4,GDDR3,256,10.0,3.3,362.9,120,OEM only,0
GeForce GTS 250,2009,G92b,TSMC/UMC 55 nm,754,260,PCIe 2.0 x16,128:64:16,702,1512,2000,11.2,44.9,5121024,64.0,GDDR3,256,10.0,3.3,387,130,0,0
GeForce GTS 250,"March 3, 2009",G92-428-B1,TSMC 65 nmTSMC/UMC 55 nm,754,260,PCIe 2.0 x16,128:64:16,738,1836,20002200,11.808,47.232,5121024,64.070.4,GDDR3,256,10.0,3.3,470,150,Some cards are rebranded GeForce 9800 GTX+,$150($130 512MB)
GeForce GTX 260,"June 16, 2008",GT200-100-A2,65 nm,1400,576,PCIe 2.0 x16,192:64:28,576,1242,1998,16.128,36.864,896,111.9,GDDR3,448,10.0,3.3,477,182,Replaced by GTX 260 Core 216,$400 (dropped to $270 after 3 months[55])
GeForce GTX 260,"September 16, 2008 November 27, 2008 (55 nm)",GT200-103-A2,65 nm55 nm,1400,576470,PCIe 2.0 x16,216:72:28,576,12421350,1998,16.128,41.472,896 (1792),111.9,GDDR3,448,10.0,3.3,536.5583.2,182171,0,$300
GeForce GTX 275,"April 9, 2009",GT200-105-B3,TSMC/UMC 55 nm,1400,470,PCIe 2.0 x16,240:80:28,633,1404,2268,17.724,50.6,896 (1792),127.0,GDDR3,448,10.0,3.3,674,219,Effectively one-half of the GTX 295,$250
GeForce GTX 280,"June 17, 2008",GT200-300-A2,65 nm,1400,576,PCIe 2.0 x16,240:80:32,602,1296,2214,19.264,48.16,1024,141.7,GDDR3,512,10.0,3.3,622,236,Replaced by GTX 285,$650 (dropped to $430 after 3 months[55])
GeForce GTX 285,"January 15, 2009",GT200-350-B3,TSMC/UMC 55 nm,1400,470,PCIe 2.0 x16,240:80:32,648,1476,2484,20.736,51.84,1024 (2048),159.0,GDDR3,512,10.0,3.3,708.48,204,EVGA GTX285 Classified supports 4-way SLI,$400
GeForce GTX 295,"January 8, 2009",2x GT200-400-B3,TSMC/UMC 55 nm,2x 1400,2x 470,PCIe 2.0 x16,2x 240:80:28,576,1242,1998,2x 16.128,2x 46.08,2x 896,2x 111.9,GDDR3,2x 448,10.0,3.3,1192.3,289,Dual PCB models were replaced with a single PCB model with 2 GPUs,$500
