hw_model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),SM count,Core config,Clock rate Core (MHz),Clock rate Shader (MHz),Clock rate Memory (MHz),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory configuration Size (MB),Memory configuration Bandwidth (GB/s),Memory configuration DRAM type,Memory configuration Bus width (bit),Supported API version Vulkan,Supported API version Direct3D,Supported API version OpenGL,Supported API version OpenCL,Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,TDP (Watts),Release Price (USD)
GeForce 405[f],"September 16, 2011",GT216GT218,40 nm,486260,10057,1,48:16:816:8:4,475589,11001402,800790,3.82.36,7.64.71,5121024,12.6,DDR3,64,n/a[64],10.1,3.3,1.1,105.644.86,Un­known,30.5,OEM
GeForce GT 420,"September 3, 2010",GF108,TSMC 40 nm,585,116,1,48:4:4,700,1400,1800,2.8,2.8,512,28.8,GDDR3,128,n/a[64],12 FL 11_1,4.6,1.1,134.4,Un­known,50,OEM
GeForce GT 430,"October 11, 2010",GF108GF108-300-A1,TSMC 40 nm,585,116,2,96:16:4,700,1400,16001800,2.8,11.2,512,25.628.8,GDDR3,128,n/a[64],12 FL 11_1,4.6,1.2,268.8,Un­known,60,OEM
GeForce GT 430,"October 11, 2010",GF108GF108-300-A1,TSMC 40 nm,585,116,2,96:16:4,700,1400,1800,2.8,11.2,51210242048,28.8,GDDR3,128,n/a[64],12 FL 11_1,4.6,1.1,268.8,Unknown,49,$79
GeForce GT 430,"October 11, 2010",GF108GF108-300-A1,TSMC 40 nm,585,116,2,96:16:4,700,1400,1300,2.8,11.2,51210242048,10.4,GDDR3,64,n/a[64],12 FL 11_1,4.6,1.1,268.8,Unknown,49,$79
GeForce GT 440,"February 1, 2011",GF108,TSMC 40 nm,585,116,2,96:16:4,810,1620,18003200,3.2,12.9,1024,28.851.2,GDDR3GDDR5,128,n/a[64],12 FL 11_1,4.6,1.1,311.04,Un­known,65,$100
GeForce GT 440,"October 11, 2010",GF106,TSMC 40 nm,1170,238,3,144:24:24,810,1620,1800,4.8,19.4,15363072,43.2,DDR3,192,n/a[64],12 FL 11_1,4.6,1.1,342.43,Un­known,56,OEM
GeForce GTS 450,"October 11, 2010",GF106,TSMC 40 nm,1170,238,3,144:24:24,790,1580,4000,4.7,18.9,1536,96.0,GDDR5,192,n/a[64],12 FL 11_1,4.6,1.1,455.04,Un­known,106,OEM
GeForce GTS 450,"September 13, 2010March 15, 2011",GF106-250GF116-200,TSMC 40 nm,1170,238,4,192:32:16,783,1566,1200-1600 (GDDR3) 3608 (GDDR5),6.2,25.0,5121024,57.7,GDDR5,128,n/a[64],12 FL 11_1,4.6,1.1,601.34,Un­known,106,$129
GeForce GTX 460 SE,"November 15, 2010",GF104-225-A1,TSMC 40 nm,1950,332,6,288:48:32,650,1300,3400,7.8,31.2,1024,108.8,GDDR5,256,n/a[64],12 FL 11_1,4.6,1.1,748.8,Un­known,150,$160
GeForce GTX 460,"October 11, 2010",GF104,TSMC 40 nm,1950,332,7,336:56:32,650,1300,3400,9.1,36.4,1024,108.8,GDDR5,256,n/a[64],12 FL 11_1,4.6,1.1,873.6,Un­known,150,OEM
GeForce GTX 460,"July 12, 2010",GF104-300-KB-A1,TSMC 40 nm,1950,332,7,336:56:24,675,1350,3600,9.4,37.8,768,86.4,GDDR5,192,n/a[64],12 FL 11_1,4.6,1.1,907.2,Unknown,150,$199
GeForce GTX 460,"July 12, 2010",GF104-300-KB-A1,TSMC 40 nm,1950,332,7,336:56:32,675,1350,3600,9.4,37.8,10242048,115.2,GDDR5,256,n/a[64],12 FL 11_1,4.6,1.1,907.2,Unknown,160,$229
GeForce GTX 460,"September 24, 2011",GF114,TSMC 40 nm,1950,332,7,336:56:24,779,1557,4008,10.9,43.6,1024,96.2,GDDR5,192,n/a[64],12 FL 11_1,4.6,1.1,1045.6,Un­known,160,$199
GeForce GTX 465,"May 31, 2010",GF100-030-A3,TSMC 40 nm,3000[65],529,11,352:44:32,608,1215,3206,13.3,26.7,1024,102.7,GDDR5,256,n/a[64],12 FL 11_1,4.6,1.2,855.36,106.92,200[d],$279
GeForce GTX 470,"March 26, 2010",GF100-275-A3,TSMC 40 nm,3000[65],529,14,448:56:40,608,1215,3348,17.0,34.0,1280,133.9,GDDR5,320,n/a[64],12 FL 11_1,4.6,1.2,1088.64,136.08,215[d],$349
GeForce GTX 480,"March 26, 2010",GF100-375-A3,TSMC 40 nm,3000[65],529,15,480:60:48,701,1401,3696,21.0,42.0,1536,177.4,GDDR5,384,n/a[64],12 FL 11_1,4.6,1.2,1344.96,168.12,250[d],$499
