hw_model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,Core config,Clock rate Core (MHz),Clock rate Shader (MHz),Clock rate Memory (MHz),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory configuration Size (MB),Memory configuration Bandwidth (GB/s),Memory configuration DRAM type,Memory configuration Bus width (bit),Supported API version Vulkan,Supported API version Direct3D,Supported API version OpenGL,Supported API version OpenCL8,Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,TDP (watts),Release Price (USD)
GeForce 510,"September 29, 2011",GF119,TSMC 40 nm,292,79,PCIe 2.0 x16,1,48:8:4,523,1046,1800,2.1,4.5,10242048,14.4,DDR3,64,n/a[64],12 FL 11_1,4.6,1.1,100.4,Un­known,25,OEM
GeForce GT 520,"April 12, 2011",GF119,TSMC 40 nm,292,79,PCIe 2.0 x16PCIe 2.0 x1PCI,1,48:8:4,810,1620,1800,3.25,6.5,10242048,14.4,DDR3,64,n/a[64],12 FL 11_1,4.6,1.1,155.5,Un­known,29,$59
GeForce GT 530[68],"May 14, 2011",GF108-220,TSMC 40 nm,585,116,PCIe 2.0 x16,2,96:16:4,700,1400,1800,2.8,11.2,10242048,28.8,DDR3,128,n/a[64],12 FL 11_1,4.6,1.1,268.8,22.40,50,OEM
GeForce GT 545,"May 14, 2011",GF116,TSMC 40 nm,~1170,~238,PCIe 2.0 x16,3,144:24:16,720,1440,1800,11.52,17.28,15363072,43,DDR3,192,n/a[64],12 FL 11_1,4.6,1.1,415.07,Un­known,70,$149
GeForce GT 545,"May 14, 2011",GF116,TSMC 40 nm,~1170,~238,PCIe 2.0 x16,3,144:24:16,870,1740,3996,13.92,20.88,1024,64,GDDR5,128,n/a[64],12 FL 11_1,4.6,1.1,501.12,Un­known,105,OEM
GeForce GTX 550 Ti,"March 15, 2011",GF116-400,TSMC 40 nm,~1170,~238,PCIe 2.0 x16,4,192:32:24,900,1800,4104,21.6,28.8,768+2561536,65.7+32.898.5,GDDR5,128+64[e]192,n/a[64],12 FL 11_1,4.6,1.1,691.2,Un­known,116,$149
GeForce GTX 555,"May 14, 2011",GF114,TSMC 40 nm,1950,332,PCIe 2.0 x16,6,288:48:24,736,1472,3828,17.6,35.3,1024,91.9,GDDR5,128+64[e],n/a[64],12 FL 11_1,4.6,1.1,847.9,Un­known,150,OEM
GeForce GTX 560 SE,"February 20, 2012[69]",GF114-200-KB-A1[f],TSMC 40 nm,1950,332,PCIe 2.0 x16,6,288:48:24,736,1472,3828,17.6,35.3,1024,91.9,GDDR5,128+64[e],n/a[64],12 FL 11_1,4.6,1.1,847.9,Un­known,150,OEM
GeForce GTX 560,"May 17, 2011",GF114-325-A1[f],TSMC 40 nm,1950,332,PCIe 2.0 x16,7,336:56:32,810,1620,4008,25.92,45.36,1024 2048,128.1,GDDR5,256,n/a[64],12 FL 11_1,4.6,1.1,1088.6,Un­known,150,$199
GeForce GTX 560 Ti,"January 25, 2011",GF114-400-A1[f],TSMC 40 nm,1950,332,PCIe 2.0 x16,8,384:64:32,822,1645,4008,26.3,52.61,1024 2048,128.26,GDDR5,256,n/a[64],12 FL 11_1,4.6,1.1,1263.4,110,170,$249
GeForce GTX 560 Ti,"May 30, 2011",GF110[g],TSMC 40 nm,3000[71],520[71],PCIe 2.0 x16,11,352:44:40,732,1464,3800,29.28,32.21,12802560,152,GDDR5,320,n/a[64],12 FL 11_1,4.6,1.1,1030.7,128.83,210[d],OEM
GeForce GTX 560 Ti 448 Cores,"November 29, 2011",GF110-270-A1[g],TSMC 40 nm,3000[71],520[71],PCIe 2.0 x16,14,448:56:40,732,1464,3800,29.28,40.99,1280,152,GDDR5,320,n/a[64],12 FL 11_1,4.6,1.1,1311.7,163.97,210[d],$289
GeForce GTX 570,"December 7, 2010",GF110-275-A1[g],TSMC 40 nm,3000[71],520[71],PCIe 2.0 x16,15,480:60:40,732,1464,3800,29.28,43.92,1280 2560,152,GDDR5,320,n/a[64],12 FL 11_1,4.6,1.1,1405.4,175.68,219[d],$349
GeForce GTX 580,"November 9, 2010",GF110-375-A1[g],TSMC 40 nm,3000[71],520[71],PCIe 2.0 x16,16,512:64:48,772,1544,4008,37.05,49.41,15363072[h],192.384,GDDR5,384,n/a[64],12 FL 11_1,4.6,1.1,1581.1,197.63,244[d][73],$499
GeForce GTX 590,"March 24, 2011",2x GF110-351-A1,TSMC 40 nm,2x 3000,2x 520,PCIe 2.0 x16,2x16,2x 512:64:48,607,1215,3414,2x29.14,2x38.85,2x 1536,2x163.87,GDDR5,2x384,n/a[64],12 FL 11_1,4.6,1.1,2488.3,311.04,365,$699
