hw_model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,Core config,Clock rate Core (MHz),Clock rate Average Boost (MHz),Clock rate Max Boost (MHz),Clock rate Shader (MHz),Clock rate Memory (MHz),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory configuration Size (MB),Memory configuration Bandwidth (GB/s),Memory configuration DRAM type,Memory configuration Bus width (bit),Supported API version Vulkan,Supported API version Direct3D,Supported API version OpenGL,Supported API version OpenCL,Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,TDP (Watts),Release Price (USD)
GeForce 605[d],"April 3, 2012",GF119,TSMC 40 nm,292,79,PCIe 2.0 x16,1,48:8:4,523,—,—,1046,898(1796),2.09,4.2,512 1024,14.4,DDR3,64,—,12,4.6,1.2,100.4,Un­known,25,OEM
GeForce GT 610[e],"May 15, 2012",GF119-300-A1,TSMC 40 nm,292,79,"PCIe 2.0 x16, PCIe x1, PCI",1,48:8:4,810,—,—,1620,10001800,3.24,6.5,51210242048,814.4,DDR3,64,—,12,4.6,1.2,155.5,Un­known,29,Retail
GeForce GT 620[f],"April 3, 2012",GF119,TSMC 40 nm,292,79,PCIe 2.0 x16,1,48:8:4,810,—,—,1620,898(1796),3.24,6.5,5121024,14.4,DDR3,64,—,12,4.6,1.2,155.5,Un­known,30,OEM
GeForce GT 620[f],"May 15, 2012",GF108-100-KB-A1,TSMC 40 nm,585,116,PCIe 2.0 x16,2,96:16:4,700,—,—,1400,1000–1800,2.8,11.2,10242048,8–14.4,DDR3,64,—,12,4.6,1.2,268.8,Un­known,49,Retail
GeForce GT 625,"February 19, 2013",GF119,TSMC 40 nm,292,79,PCIe 2.0 x16,1,48:8:4,810,—,—,1620,898(1796),3.24,6.5,512 1024,14.4,DDR3,64,—,12,4.6,1.2,155.5,Un­known,30,OEM
GeForce GT 630[g][h],"April 24, 2012",GK107,TSMC 28 nm,1300,118,PCIe 3.0 x16,1,192:16:16,875,—,—,875,891(1782),14,14,10242048,28.5,DDR3,128,1.2,12,4.6,1.2,336,14,50,OEM
GeForce GT 630[g][h],"May 15, 2012",GF108-400-A1,TSMC 40 nm,585,116,PCIe 2.0 x16,2,96:16:4,700,—,—,1620,1600–1800,2.8,11.2,102420484096,25.6–28.8,DDR3,128,—,12,4.6,1.2,311,Un­known,49,Retail
GeForce GT 630[g][h],"May 15, 2012",GF108,TSMC 40 nm,585,116,PCIe 2.0 x16,2,96:16:4,810,—,—,1620,800(3200),3.2,13,1024,51.2,GDDR5,128,—,12,4.6,1.2,311,Un­known,65,Retail
GeForce GT 630[g][h],"May 29, 2013",GK208-301-A1,TSMC 28 nm,1020,79,PCIe 2.0 x8,1,384:16:8,902,—,—,902,900(1800),7.22,14.44,10242048,14.4,DDR3,64,1.2,12,4.6,1.2,692.7,Un­known,25,0
GeForce GT 635,"February 19, 2013",GK208,TSMC 28 nm,1020,79,PCIe 3.0 x8,1,384:16:8,967,—,—,967,1001(2002),7.74,15.5,10242048,16,DDR3,64,1.2,12,4.6,1.2,742.7,Un­known,35,OEM
GeForce GT 640[i],"April 24, 2012",GF116,TSMC 40 nm,1170,238,PCIe 2.0 x16,3,144:24:24,720,—,—,1440,891(1782),17.3,17.3,15363072,42.8,DDR3,192,—,12,4.6,1.2,414.7,Un­known,75,OEM
GeForce GT 640[i],"April 24, 2012",GK107,TSMC 28 nm,1300,118,PCIe 3.0 x16,2,384:32:16,797,—,—,797,891(1782),12.8,25.5,10242048,28.5,DDR3,128,1.2,12,4.6,1.2,612.1,25.50,50,OEM
GeForce GT 640[i],"June 5, 2012",GK107,TSMC 28 nm,1300,118,PCIe 3.0 x16,2,384:32:16,900,—,—,900,891(1782),14.4,28.8,20484096,28.5,DDR3,128,1.2,12,4.6,1.2,691.2,28.8,65,$100
GeForce GT 640[i],"April 24, 2012",GK107,TSMC 28 nm,1300,118,PCIe 3.0 x16,2,384:32:16,950,—,—,950,1250(5000),15.2,30.4,10242048,80,GDDR5,128,1.2,12,4.6,1.2,729.6,30.40,75,OEM
