hw_model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SMX count,Core config,Clock rate Base (MHz),Clock rate Average Boost (MHz),Clock rate Max Boost,Clock rate Memory (MHz),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory configuration Size (MB),Memory configuration Bandwidth (GB/s),Memory configuration DRAM type,Memory configuration Bus width (bit),Supported API version Vulkan,Supported API version Direct3D,Supported API version OpenGL,Supported API version OpenCL,Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,TDP (Watts),Release Price (USD)
GeForce GT 705[78][f],"March 27, 2014",GF119-300-A1,TSMC 40 nm,292,79,PCIe 2.0 x16,1,48:8:4,810,—,—,898(1796),3.24,6.5,5121024,14.4,DDR3,64,0,12,4.6,1.1,155.5,19.4,29,OEM
GeForce GT 710[79],"March 27, 2014",GK208-301-A1,TSMC 28 nm,1020,79,PCIe 2.0 x8,1,192:16:8,823,—,—,900 (1800),6.6,13.2,512,14.4,DDR3,64,1.2,12,4.6,1.2,316.0,13.2,0,OEM
GeForce GT 710[79],"January 26, 2016",GK208-203-B1,TSMC 28 nm,1020,79,"PCIe 2.0 x8, PCIe x1",1,192:16:8,954,—,—,900 (1800)1253 (5010),7.6,15.3,10242048,14.440.0,DDR3GDDR5,64,1.2,12,4.6,1.2,366,15.3,19,$35–45
GeForce GT 720[80],"March 27, 2014",GK208-201-B1,TSMC 28 nm,1020,79,PCIe 2.0 x8,1,192:16:8,797,—,—,900 (1800)1253 (5010),6.4,12.8,10242048,14.440.0,DDR3GDDR5,64,1.2,12,4.6,1.2,306,12.8,19,$49–59
GeForce GT 730[81][g][h],"June 18, 2014",GK208-301-A1,TSMC 28 nm,1020,79,PCIe 2.0 x8,2,384:16:8,902,—,—,900(1800),7.22,14.44,1024[82]20484096,14.4,DDR3,64,1.2,12,4.6,1.2,692.7,28.9,23,$69–79
GeForce GT 730[81][g][h],"June 18, 2014",GK208-400-A1,TSMC 28 nm,1020,79,PCIe 2.0 x8,2,384:16:8,902,—,—,1250(5000),7.22,14.44,10242048[83],40.0,GDDR5,64,1.2,12,4.6,1.2,692.7,28.9,25,$69–79
GeForce GT 730[81][g][h],"June 18, 2014",GF108,TSMC 40 nm,585,116,PCIe 2.0 x16,2,96:16:4,700,—,—,900(1800),2.8,11.0,102420484096,28.8,DDR3,128,0,12,4.6,1.1,268.8,33.6,49,$69–79
GeForce GT 740[i],"May 29, 2014",GK107-425-A2,TSMC28HP,1270,118,PCIe 3.0 x16,2,384:32:16,993,—,—,891(1782),15.9,31.8,102420484096,28.5,DDR3,128,1.2,12,4.6,1.2,762.6,31.8,64,$89–99
GeForce GT 740[i],"May 29, 2014",GK107-425-A2,TSMC28HP,1270,118,PCIe 3.0 x16,2,384:32:16,993,—,—,1252(5008),15.9,31.8,102420484096,80.1,GDDR5,128,1.2,12,4.6,1.2,762.6,31.8,64,$89–99
GeForce GTX 745,"February 18, 2014",GM107-220-A2,TSMC28HP,1870,148,PCIe 3.0 x16,3,384:24:16,1033,Un­known,Un­known,900(1800),16.5,24.8,10244096,28.8,DDR3,128,1.3,12,4.6,1.2,793.3,24.8,55,OEM
GeForce GTX 750,"February 18, 2014",GM107-300-A2,TSMC28HP,1870,148,PCIe 3.0 x16,4,512:32:16,1020,1085,1163,1250(5000),16.3,32.6,102420484096[84],80,GDDR5,128,1.3,12,4.6,1.2,1044.5,32.6,55,$119
