hw_model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config,Bus interface,L2 Cache(MB),Clock speeds Base core (MHz),Clock speeds Boost core (MHz),Clock speeds Memory (MT/s),Memory Size (GB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,Processing power (GFLOPS) Half precision,TDP (Watts),SLI support,Release price (USD) MSRP,Release price (USD) Founders Edition
GeForce GT 1010 [113][114],"January 13, 2021",GP108-200-A1,Samsung14LPP,1.8,74,256:16:16(2) (1),PCIe 3.0 x4,0.25,1228,1468,5000,2,40.1,GDDR5,64,9.811.8,19.723.5,628.7751.6,26.231.3,?,30,No,OEM,—
GeForce GT 1010 [113][114],"January 13, 2021",GP108-200-A1,Samsung14LPP,1.8,74,256:16:16(2) (1),PCIe 3.0 x4,0.25,1152,1380,2100,2,16.8,DDR4,64,9.211.0,18.422.0,590.0706.6,24.629.4,?,20,No,OEM,—
GeForce GT 1030 [115][116][117][118],"March 12, 2018",GP108-310-A1,Samsung14LPP,1.8,74,384:24:16(3) (1),PCIe 3.0 x4,0.5,1152,1379,2100,2,16.8,DDR4,64,18.422.0,27.633.0,"884.71,059.0",27.633.0,13.816.5,20,No,$79,—
GeForce GT 1030 [115][116][117][118],"May 17, 2017",GP108-300-A1,Samsung14LPP,1.8,74,384:24:16(3) (1),PCIe 3.0 x4,0.5,1227,1468,6000,2,48.0,GDDR5,64,19.623.4,29.435.2,"942.31,127.4",29.435.2,14.717.6,30,No,$69,—
GeForce GTX 1050[119],"October 25, 2016",GP107-300-A1,Samsung14LPP,3.3,132,640:40:32(5) (2),PCIe 3.0 x16,1,1354,1455,7000,2,112.0,GDDR5,128,43.346.6,54.158.8,"1,733.11,862.4",54.158.2,27.029.1,75,No,$109,—
GeForce GTX 1050[119],"May 21, 2018",GP107-301-A1,Samsung14LPP,3.3,132,768:48:24(6) (2),PCIe 3.0 x16,0.75,1392,1518,7000,3,84.0,GDDR5,96,33.436.4,66.872.9,"2,138.12,331.6",66.872.9,33.436.4,75,No,$109,—
GeForce GTX 1050 Ti[119],"October 25, 2016",GP107-400-A1,Samsung14LPP,3.3,132,768:48:32(6) (2),PCIe 3.0 x16,1,1290,1392,7000,4,112.0,GDDR5,128,41.244.5,61.966.8,"1,981.42,138.1",61.966.8,30.933.4,75,No,$139,—
GeForce GTX 1060[120][121][122][123],"December 25, 2016",GP104-140-A1,TSMC16FF,7.2,314,1152:72:48(9) (2),PCIe 3.0 x16,1.5,1506,1708,8000,3,192.0,GDDR5,192,72.281.9,108.4122.9,"3,469.83,935.2",108.4122.9,54.261.4,120,No,$199,—
GeForce GTX 1060[120][121][122][123],"August 18, 2016",GP106-300-A1,TSMC16FF,4.4,200,1152:72:48(9) (2),PCIe 3.0 x16,1.5,1506,1708,8000,3,192.0,GDDR5,192,72.281.9,108.4122.9,"3,469.83,935.2",108.4122.9,54.261.4,120,No,$199,—
GeForce GTX 1060[120][121][122][123],"December 26, 2017",GP106-350-K3-A1,TSMC16FF,4.4,200,1280:80:48(10) (2),PCIe 3.0 x16,1.25,1506,1708,8000,5,160.0,GDDR5,160,60.268.3,120.4136.7,"3,855.34,375.0",120.4136.7,60.268.3,120,No,OEM,—
