hw_model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config,Bus interface,L2 Cache(MB),Clock speeds Base core clock (MHz),Clock speeds Boost core clock (MHz),Clock speeds Memory (GT/s),Memory Size (GB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,Processing power (GFLOPS) Half precision,Processing power (GFLOPS) Tensor compute (FP16),Ray-tracing Performance Rays/s (Billions),Ray-tracing Performance RTX OPS/s (Trillions),TDP (Watts),NVLink support,Release price (USD) MSRP,Release price (USD) Founders Edition
GeForce RTX 2060[145],"January 15, 2019",TU106-200-KA-A1,TSMC12FFN,10.8,445,1920:120:48:240:30(30) (3),PCIe 3.0 x16,3.0,1365,1680,14.0,6,336.0,GDDR6,192,65.5280.64,163.80201.60,"5 241.606,451.20",163.80201.60,10 483.2012 902.40,41 932.8051 609.60,5.0,37.0,160,No,$349,—
GeForce RTX 2060[145],"January 10, 2020",TU104-150-KC-A1[146],TSMC12FFN,13.6,545,1920:120:48:240:30(30) (3),PCIe 3.0 x16,3.0,1365,1680,14.0,6,336.0,GDDR6,192,65.5280.64,163.80201.60,"5 241.606,451.20",163.80201.60,10 483.2012 902.40,41 932.8051 609.60,5.0,37.0,160,No,$299,—
GeForce RTX 2060[145],"December 7, 2021[147]",TU106-300-KA-A1,TSMC12FFN,10.8,445,2176:136:64:272:34(34) (3),PCIe 3.0 x16,3.0,1470,1650,14.0,12,336.0,GDDR6,192,79.20,199.92224.40,6 400.007 180.00,199.92224.40,12 800.0014 360.00,0,0.0,0.0,185,No,$299,—
GeForce RTX 2060 Super[148][149],"July 9, 2019",TU106-410-A1,TSMC12FFN,10.8,445,2176:136:64:272:34(34) (3),PCIe 3.0 x16,4.0,1470,1650,14.0,8,448.0,GDDR6,256,94.08105.60,199.92224.40,6 400.007 180.00,199.92224.40,12 800.0014 360.00,"51,200.0057,440.00",6.0,41.0,175,No,$399,$399
GeForce RTX 2070[150][151],"October 17, 2018",TU106-400-A1,TSMC12FFN,10.8,445,2304:144:64:288:36(36) (3),PCIe 3.0 x16,4.0,1410,1620,14.0,8,448.0,GDDR6,256,90.24103.68,203.04233.28,"6,497.287,464.96",203.04233.28,"12,994.5614,929.92","51,978.2459,719.68",6.0,42.0,175,No,$499,$599
GeForce RTX 2070 Super[148][152],"July 9, 2019",TU104-410-A1,TSMC12FFN,13.6,545,2560:160:64:320:40(40) (5),PCIe 3.0 x16,4.0,1605,1770,14.0,8,448.0,GDDR6,256,102.70113.28,256.80283.20,"8,220.009,060.00",256.80283.20,"16,440.0018,120.00","65,760.0072,480.00",7.0,52.0,215,2-way NVLink,$499,$499
GeForce RTX 2080[153][154],"September 20, 2018",TU104-400-A1,TSMC12FFN,13.6,545,2944:184:64:368:46(46) (6),PCIe 3.0 x16,4.0,1515,1710,14.0,8,448.0,GDDR6,256,96.96109.44,278.76314.64,"8,920.3210,068.48",278.76314.64,"17,840.6420,136.96","71,362.5680,547.84",8.0,57.0,215,2-way NVLink,$699,$799
GeForce RTX 2080 Super[148][155],"July 23, 2019",TU104-450-A1,TSMC12FFN,13.6,545,3072:192:64:384:48(48) (6),PCIe 3.0 x16,4.0,1650,1815,15.5,8,496.0,GDDR6,256,105.60116.16,316.80348.48,"10,140.0011,150.00",316.80348.50,"20,280.0022,300.00","81,120.0089,200.00",8.0,63.0,250,2-way NVLink,$699,$699
GeForce RTX 2080 Ti[156],"September 27, 2018",TU102-300-K1-A1,TSMC12FFN,18.6,754,4352:272:88:544:68(68) (6),PCIe 3.0 x16,5.5,1350,1545,14.0,11,616.0,GDDR6,352,118.80135.96,367.20420.24,"11,750.4013,447.68",367.20420.24,"23,500.8026,895.36","94,003.20107,581.44",10.0,76.0,250,2-way NVLink,$999,"$1,199"
Nvidia TITAN RTX[157],"December 18, 2018",TU102-400-A1,TSMC12FFN,18.6,754,4608:288:96:576:72(72) (6),PCIe 3.0 x16,6.0,1350,1770[e],14.0,24,672.0,GDDR6,384,129.60169.92,388.80509.76,12 441.6016 312.32,388.80509.76,24 883.2032 624.64,99 532.80130 498.56,11.0,84.0,280,2-way NVLink,—,"$2,499"
