hw_model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config,Bus interface,L2 Cache(MB),Clock speeds Base core clock (MHz),Clock speeds Boost core clock (MHz),Clock speeds Memory (MT/s),Memory Size (GB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (TFLOPS) Single precision,Processing power (TFLOPS) Double precision,Processing power (TFLOPS) Half precision,Processing power (TFLOPS) Tensor compute (FP16) (2:1 sparse),Ray-tracing Performance (TFLOPS),TDP (Watts),NVLink support,Release price (USD) MSRP,Release price (USD) Founders Edition
GeForce RTX 3050[158],"December 16, 2022",GA107-150-A1,Samsung8LPP,8.7,200.0,2560:80:32:80:20(20) (2),PCIe 4.0x8,2,1552,1777,14000,8,224.0,GDDR6,128,49.659.86,124.2142.2,7.959.01,0.1240.142,7.959.01,63.672.8,18.2,115,No,$249,—
GeForce RTX 3050[158],"January 27, 2022[159]",GA106-150-A1,Samsung8LPP,13.25,276.0,2560:80:32:80:20(20) (2),PCIe 4.0x8,2,1552,1777,14000,8,224.0,GDDR6,128,49.659.86,124.2142.2,7.959.01,0.1240.142,7.959.01,63.672.8,18.2,130,No,$249,—
GeForce RTX 3060[160],"October 27, 2022[161]",GA106-302,Samsung8LPP,13.25,276.0,3584:112:48:112:28(28) (3),PCIe 4.0x16,2,1320,1777,15000,8,240.0,GDDR6,128,63.485.3,147.8199.0,9.4612.74,0.1480.199,9.4612.74,75.7101.9,25.0,170,No,$329,—
GeForce RTX 3060[160],May 2021,GA106-302,Samsung8LPP,13.25,276.0,3584:112:48:112:28(28) (3),PCIe 4.0x16,3,1320,1777,15000,12,360.0,GDDR6,192,63.485.3,147.8199.0,9.4612.74,0.1480.199,9.4612.74,75.7101.9,25.0,170,No,$329,—
GeForce RTX 3060[160],"February 25, 2021",GA106-300-A1,Samsung8LPP,13.25,276.0,3584:112:48:112:28(28) (3),PCIe 4.0x16,3,1320,1777,15000,12,360.0,GDDR6,192,63.485.3,147.8199.0,9.4612.74,0.1480.199,9.4612.74,75.7101.9,25.0,170,No,$329,—
GeForce RTX 3060[160],"September 1, 2021",GA104-150-A1[162],Samsung8LPP,17.4,392.5,3584:112:48:112:28(28) (3),PCIe 4.0x16,3,1320,1777,15000,12,360.0,GDDR6,192,63.485.3,147.8199.0,9.4612.74,0.1480.199,9.4612.74,75.7101.9,25.0,170,No,$329,—
GeForce RTX 3060 Ti[163],"December 2, 2020",GA104-200-A1,Samsung8LPP,17.4,392.5,4864:152:80:152:38(38) (5),PCIe 4.0x16,4,1410,1665,14000,8,448.0,GDDR6,256,112.8133.2,214.3253.1,13.7216.20,0.2140.253,13.7016.20,109.7129.6,32.4,200,No,$399,$399
GeForce RTX 3060 Ti[163],"October 27, 2022[161]",GA104-202,Samsung8LPP,17.4,392.5,4864:152:80:152:38(38) (5),PCIe 4.0x16,4,1410,1665,19000,8,608.0,GDDR6X,256,112.8133.2,214.3253.1,13.7216.20,0.2140.253,13.7016.20,109.7129.6,32.4,200,No,$399,$399
GeForce RTX 3070[164][165],"October 29, 2020[166]",GA104-300-A1,Samsung8LPP,17.4,392.5,5888:184:96:184:46(46) (6),PCIe 4.0x16,4,1500,1725,14000,8,448.0,GDDR6,256,144.0165.6,276.0317.4,17.6620.31,0.2760.318,17.6620.31,141.31162.98,40.6,220,No,$499,$499
GeForce RTX 3070 Ti[167],"June 10, 2021",GA104-400-A1,Samsung8LPP,17.4,392.5,6144:192:96:192:48(48) (6),PCIe 4.0x16,4,1575,1770,19000,8,608.3,GDDR6X,256,151.18169.9,302.36339.8,19.3521.75,0.3020.340,19.3521.75,154.8174.0,43.5,290,No,$599,$599
GeForce RTX 3080[168][165],"September 17, 2020",GA102-200-A1,Samsung8LPP,28.3,628.4,8704:272:96:272:68(68) (6),PCIe 4.0x16,5,1440,1710,19000,10,760.0,GDDR6X,320,138.2164.2,391.68465.12,25.0729.77,0.3920.465,25.0629.76,200.54238.14,59.5,320,No,$699,$699
GeForce RTX 3080[168][165],"January 27, 2022",GA102-220-A1,Samsung8LPP,28.3,628.4,8960:280:96:280:70(70) (6),PCIe 4.0x16,6,1260,1710,19000,12,912.0,GDDR6X,384,131.0177.8,352.8478.8,22.630.6,0.3530.479,22.630.6,180.6245.1,61.3,350,No,$799,$799
GeForce RTX 3080 Ti[169],"June 3, 2021",GA102-225-A1,Samsung8LPP,28.3,628.4,10240:320:112:320:80(80) (7),PCIe 4.0x16,6,1365,1665,19000,12,912.0,GDDR6X,384,153.5186.5,438.5532.8,28.5734.1,0.4380.533,28.0634.10,228.6272.8,68.2,350,No,$1199,$1199
GeForce RTX 3090[170][165],"September 24, 2020",GA102-300-A1,Samsung8LPP,28.3,628.4,10496:328:112:328:82(82) (7),PCIe 4.0x16,6,1395,1695,19500,24,935.8,GDDR6X,384,156.2189.8,457.6555.96,29.2835.58,0.4590.558,29.3835.68,235.08285.48,71.1,350,2-way NVLink,$1499,$1499
GeForce RTX 3090 Ti[171][172],"March 29, 2022",GA102-350-A1,Samsung8LPP,28.3,628.4,10752:336:112:336:84(84) (7),PCIe 4.0x16,6,1560,1860,21000,24,1008.3,GDDR6X,384,174.7208.3,524.2625,33.540,0.5240.625,33.540,269.1320.9,79.9,450,2-way NVLink,$1999,$1999
