hw_model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed Core (MHz),Clock speed Shader (MHz),Clock speed Memory (MHz),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Supported API version Direct3D,Supported API version OpenGL,Processing power (GFLOPS)2,TDP (Watts)
GeForce 305M,"January 10, 2010",GT218,40,PCIe 2.0 x16,16:8:4,525,1150,1400,2.1,4.2,512,11.2,DDR3GDDR3,64,10.1,3.3,55.0,14
GeForce 310M,"January 10, 2010",GT218,40,PCIe 2.0 x16,16:8:4,625,1530,1600,2.5,5.0,512,12.8,DDR3GDDR3,64,10.1,3.3,73.0,14
GeForce 315M,"January 5, 2011",GT218,40,PCIe 2.0 x16,16:8:4,606,1212,1600,2.42,4.85,512,12.8,DDR3GDDR3,64,10.1,3.3,58.18,14
GeForce 320M,"April 1, 2010",MCP89,40,PCIe 2.0 x16,48:16:8,450,950,1066,3.6,7.2,256 (shared w/ system memory) [189],17.056,DDR3,128,10.1,3.3,136.8,20
GeForce GT 320M,"January 21, 2010",GT216,40,PCIe 2.0 x16,24:8:8,500,1100,1580,4.0,4.0,1024,25.3,DDR3GDDR3,128,10.1,3.3,90.0,14
GeForce GT 325M,"January 10, 2010",GT216,40,PCIe 2.0 x16,48:16:8,450,990,1600,3.6,7.2,1024,25.6,DDR3GDDR3,128,10.1,3.3,142.0,23
GeForce GT 330M,"January 10, 2010",GT216,40,PCIe 2.0 x16,48:16:8,575,1265,1600,4.6,9.2,1024,25.6,DDR3GDDR3,128,10.1,3.3,182.0,23
GeForce GT 335M,"January 7, 2010",GT215,40,PCIe 2.0 x16,72:24:8,450,1080,1600,3.6,10.8,1024,25.6,DDR3GDDR3,128,10.1,3.3,233.0,28?
GeForce GTS 350M,"January 7, 2010",GT215,40,PCIe 2.0 x16,96:32:8,500,1249,3200,4.0,16.0,1024,51.2,DDR3GDDR3GDDR5,128,10.1,3.3,360.0,28
GeForce GTS 360M,"January 7, 2010",GT215,40,PCIe 2.0 x16,96:32:8,500,1436,3600,4.4,17.6,1024,57.6,DDR3GDDR3GDDR5,128,10.1,3.3,413.0,38
