hw_model,Launch,Code name,Transistors (million),Die size (mm2),Bus interface,clock,Memory clock (MHz),Core config,Fillrate MOperations/s,Fillrate MPixels/s,Fillrate MTexels/s,Fillrate MVertices/s,Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Supported API version Direct3D,Supported API version OpenGL,GFLOPSFP32
GeForce4 MX IGP + nForce2,"October 1, 2002",NV1F,?,?,FSB,250,133200,2:0:4:2,500,500,1000,125.0,Up to 128 system RAM,2.1286.4,DDR,64128,7.0,1.2,1.0
GeForce4 MX420,"February 6, 2002",NV17,29[12],65,AGP 4xPCI,250,166,2:0:4:2,500,500,1000,125.0,64,2.656,SDRDDR,128 (SDR)64 (DDR),7.0,1.2,1.0
GeForce4 MX440 SE,2002,NV17,29[12],65,AGP 4xPCI,250,133166[13][14],2:0:4:2,500,500,500[13] 1000,125.0,64128,2.128 5.312[13][14],DDR,64 128[13][14],7.0,1.2,1.0
GeForce MX4000,"December 14, 2003",NV18B,29,65,AGP 8xPCI,250,166,2:0:4:2,500,500,1000,125.0,64128,2.656,DDR,64,7.0,1.2,1.0
GeForce PCX4300,"February 19, 2004",NV18B,29,65,PCIe x16,250,166,2:0:4:2,500,500,1000,125.0,128,2.656,DDR,64,7.0,1.2,1.0
GeForce4 MX440,"February 6, 2002",NV17,29,65,AGP 4xPCI,275,200,2:0:4:2,550,550,1100,137.5,64128,6.4,DDR,128,7.0,1.2,1.1
GeForce4 MX440 8x,"September 25, 2002",NV18,29[15],65,AGP 8xPCI,275,166250,2:0:4:2,550,550,1100,137.5,64128,2.656[16]8.0,DDR,64128,7.0,1.2,1.1
GeForce4 MX460,"February 6, 2002",NV17,29,65,AGP 4xPCI,300,275,2:0:4:2,600,600,1200,150.0,64128,8.8,DDR,128,7.0,1.2,1.2
GeForce4 Ti4200,"April 16, 2002",NV25,63[17],142,AGP 4x,250,222 (128 MB)250 (64 MB),4:2:8:4,1000,1000,2000,125.0,64128,7.104 (128 MB)8.0 (64 MB),DDR,128,8.0a,1.3,15.0
GeForce4 Ti4200 8x,"September 25, 2002",NV28,63[18],142,AGP 8x,250,250,4:2:8:4,1000,1000,2000,125.0,64128,8.0,DDR,128,8.0a,1.3,15.0
GeForce4 Ti4400,"February 6, 2002",NV25,63,142,AGP 4x,275,275,4:2:8:4,1100,1100,2200,137.5,128,8.8,DDR,128,8.0a,1.3,16.5
GeForce4 Ti4400 8x (Ti4800SE[b]),"January 20, 2003",NV28,63,101,AGP 8x,275,275,4:2:8:4,1100,1100,2200,137.5,128,8.8,DDR,128,8.0a,1.3,16.5
GeForce4 Ti4600,"February 6, 2002",NV25,63,142,AGP 4x,300,325,4:2:8:4,1200,1200,2400,150.0,128,10.4,DDR,128,8.0a,1.3,18.0
GeForce4 Ti4600 8x (Ti4800[c]),"January 20, 2003",NV28,63,101,AGP 8x,300,325,4:2:8:4,1200,1200,2400,150.0,128,10.4,DDR,128,8.0a,1.3,18.0
