hw_model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed Core (MHz),Clock speed Shader (MHz),Clock speed Memory (MHz),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Supported API version Direct3D,Supported API version OpenGL,Processing power (GFLOPS)2,TDP (Watts),Notes
GeForce GT 520M,"January 5, 2011",GF119,40,PCIe 2.0 x16,48:8:4,740,1480,1600,2.96,5.92,1024,12.8,DDR3,64,12,4.6,142.08,12,Similar to Desktop 510/520
GeForce GT 520M,0,GF108,40,PCIe 2.0 x16,96:16:4,515,1030,1600,2.06,8.24,1024,12.8,DDR3,64,12,4.6,197.76,20,"Noticed in Lenovo laptops, similar to Desktop 530/430/440"
GeForce GT 520MX,"May 30, 2011",GF119,40,PCIe 2.0 x16,48:8:4,900,1800,1800,3.6,7.2,1024,14.4,DDR3,64,12,4.6,172.8,20,Similar to Desktop 510 & GT520
GeForce GT 525M,"January 5, 2011",GF108,40,PCIe 2.0 x16,96:16:4,600,1200,1800,2.4,9.6,1024,28.8,DDR3,128,12,4.6,230.4,20–23,Similar to Desktop GT 530/430/440
GeForce GT 540M,"January 5, 2011",GF108,40,PCIe 2.0 x16,96:16:4,672,1344,1800,2.688,10.752,20481024,28.8,DDR3,128,12,4.6,258.048,32–35,Similar to Desktop GT 530/440
GeForce GT 550M,"January 5, 2011",GF108GF1062,40,PCIe 2.0 x16,96:16:4144:24:162,740475,1480950,18001800,2.96,11.84,1024,28.8,DDR3,128,12,4.6,284.16312.6,32–35,Similar to Desktop GT 530/440
GeForce GT 555M,"January 5, 2011",GF106GF108,40,PCIe 2.0 x16,144:24:24144:24:1696:16:4,590650753,118013001506,180018003138,14.610.43,14.615.612,153620481024,43.228.850.2,DDR3DDR3GDDR5,192128128,12,4.6,339.84374.4289.15,30–35,Similar to Desktop GT545
GeForce GTX 560M,"May 30, 2011",GF116,40,PCIe 2.0 x16,192:32:16192:32:24,775,1550,2500,18.6,24.8,"20481536, 3072",40.060.0,GDDR5,128192,12,4.6,595.2,75,Similar to Desktop GTX 550Ti
GeForce GTX 570M[191],"June 28, 2011",GF114,40,PCIe 2.0 x16,336:56:24,575,1150,3000,13.8,32.2,1536,72.0,GDDR5,192,12,4.6,772.8,75,Similar to Desktop GTX 560
GeForce GTX 580M,"June 28, 2011",GF114,40,PCIe 2.0 x16,384:64:32,620,1240,3000,19.8,39.7,2048,96.0,GDDR5,256,12,4.6,952.3,100,Similar to Desktop GTX 560 Ti
