hw_model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed Core (MHz),Clock speed Shader (MHz),Clock speed Memory (MT/s),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Supported API version Vulkan,Supported API version Direct3D,Supported API version OpenGL,Processing power (GFLOPS)2,TDP (Watts),Notes
GeForce 610M[192],December 2011,GF119 (N13M-GE),40,PCIe 2.0 x16,48:8:4,900,1800,1800,3.6,7.2,10242048,14.4,DDR3,64,0,12,4.5,142.08,12,OEM. Rebadged GT 520MX
GeForce GT 620M[193],April 2012,GF117 (N13M-GS),28,PCIe 2.0 x16,96:16:4,625,1250,1800,2.5,10,10242048,14.428.8,DDR3,64128,0,12,4.5,240,15,OEM. Die-Shrink GF108
GeForce GT 625M,October 2012,GF117 (N13M-GS),28,PCIe 2.0 x16,96:16:4,625,1250,1800,2.5,10,10242048,14.4,DDR3,64,0,12,4.5,240,15,OEM. Die-Shrink GF108
GeForce GT 630M[193][194][195],April 2012,GF108 (N13P-GL)GF117,4028,PCIe 2.0 x16,96:16:4,660800,13201600,18004000,2.63.2,10.712.8,10242048,28.832.0,DDR3GDDR5,12864,0,12,4.5,258.0307.2,33,GF108: OEM. Rebadged GT 540MGF117: OEM Die-Shrink GF108
GeForce GT 635M[193][196][197],April 2012,GF106 (N12E-GE2)GF116,40,PCIe 2.0 x16,144:24:24,675,1350,1800,16.2,16.2,20481536,28.843.2,DDR3,128192,0,12,4.5,289.2388.8,35,GF106: OEM. Rebadged GT 555MGF116: 94% of desktop GT640[original research?]
GeForce GT 640M LE[193],"March 22, 2012",GF108GK107 (N13P-LP),4028,PCIe 2.0 x16PCIe 3.0 x16,96:16:4384:32:16(2 SMX),762500,1524500,31301800,38,12.216,10242048,50.228.8,DDR3 GDDR5,128,1.2,12,4.5,292.6384,3220,GF108: 94% of desktop GT630[original research?]GK107: 47% of desktop GTX650[original research?]
GeForce GT 640M[193][198],"March 22, 2012",GK107 (N13P-GS),28,PCIe 3.0 x16,384:32:16(2 SMX),625,625,18004000,10,20,10242048,28.864.0,DDR3 GDDR5,128,1.2,12,4.5,480,32,59% of desktop GTX650[original research?]
GeForce GT 645M,October 2012,GK107 (N13P-GS),28,PCIe 3.0 x16,384:32:16(2 SMX),710,710,18004000,11.36,22.72,10242048,28.864.0,DDR3 GDDR5,128,1.2,12,4.5,545,32,67% of desktop GTX650[original research?]
GeForce GT 650M[193][199][200],"March 22, 2012",GK107 (N13P-GT),28,PCIe 3.0 x16,384:32:16(2 SMX),745835900*,835950900*,180040005000*,11.913.414.4*,23.826.728.8*,51210242048,28.864.080.0*,DDR3 GDDR5,128,1.2,11.2,4.5,572.2641.3691.2*,45,79% of desktop GTX650[original research?]
GeForce GTX 660M[193][200][201][202],"March 22, 2012",GK107 (N13E-GE),28,PCIe 3.0 x16,384:32:16(2 SMX),835,950,5000,15.2,30.4,2048,80.0,GDDR5,128,1.2,11.2,4.5,729.6,50,79% of desktop GTX650[original research?]
GeForce GTX 670M[193],April 2012,GF114 (N13E-GS1-LP),40,PCIe 2.0 x16,336:56:24,620,1240,3000,14.35,33.5,15363072,72.0,GDDR5,192,0,12,4.5,833,75,73% of desktop GTX 560[original research?]
GeForce GTX 670MX,October 2012,GK104 (N13E-GR),28,PCIe 3.0 x16,960:80:24(5 SMX),615,615,2800,14.4,48.0,15363072,67.2,GDDR5,192,1.2,12,4.5,1181,75,61% of desktop GTX 660[original research?]
GeForce GTX 675M[193],April 2012,GF114 (N13E-GS1),40,PCIe 2.0 x16,384:64:32,632,1265,3000,19.8,39.7,2048,96.0,GDDR5,256,0,12,4.5,972,100,75% of desktop GTX 560Ti[original research?]
GeForce GTX 675MX,October 2012,GK104 (N13E-GSR),28,PCIe 3.0 x16,960:80:32(5 SMX),667,667,3600,19.2,48.0,4096,115.2,GDDR5,256,1.2,12,4.5,1281,100,61% of desktop GTX 660[original research?]
GeForce GTX 680M,"June 4, 2012",GK104 (N13E-GTX),28,PCIe 3.0 x16,1344:112:32(7 SMX),719,719,3600,23,80.6,4096,115.2,GDDR5,256,1.2,12,4.5,1933,100,78% of desktop GTX 670[original research?]
GeForce GTX 680MX,"October 23, 2012",GK104,28,PCIe 3.0 x16,1536:128:32(8 SMX),719,719,5000,23,92.2,4096,160,GDDR5,256,1.2,12,4.5,2209,122,72% of desktop GTX 680[original research?]
