hw_model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed Core (MHz),Clock speed Shader (MHz),Clock speed Memory (MT/s),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Supported API version Vulkan,Supported API version Direct3D,Supported API version OpenGL,Supported API version CUDA,Processing power (GFLOPS)2,TDP (Watts),Notes
GeForce 710M,January 2013,GF117,28,PCIe 2.0 x16,96:16:4,800,1600,1800,3.2,12.8,10242048,14.4,DDR3,64,0,12,4.5,2.1 [203],307.2,12,OEM. About 115% of Mobile 620 & Desktop 530[original research?]
GeForce 710M,"July 24, 2013",GK208,28,PCIe 3.0 x8,192:16:8,719,?,1800,5.752,11.5,1024,14.4,DDR3,64,1.2,12,4.5,3.5 [204],276.1,15,"Kepler, similar to 730M with half of the cores disabled"
GeForce GT 720M,"April 1, 2013",GF117,28,PCIe 2.0 x16,96:16:4,938,1876,2000,3.8,15.0,2048,16.0,DDR3,64,0,12,4.5,2.1 [203],360.19,?,OEM. About 130% of Mobile 625/630 & Desktop 620[original research?]
GeForce GT 720M,"December 25, 2013",GK208,28,PCIe 2.0 x8,192:16:8,719,719,2000,3.032,12.13,2048,12.8,DDR3,64,1.2,12,4.5,3.5 [204],291,22,"Kepler, similar to 730M with half of the cores disabled"
GeForce GT 730M,January 2013,GK208,28,PCIe 3.0 x8,384:32:8(2 SMX),719,719,2000,5.8,23.0,2048,16.0,DDR3,128,1.2,12,4.5,3.5 [204],552.2,33,"Kepler, similar to Desktop GT640"
GeForce GT 735M,"April 1, 2013",GK208,28,PCIe 3.0 x8,384:32:8(2 SMX),889,889,2000,7.11,28.4,2048,16.0,DDR3,64,1.2,12,4.5,3.5 [204],682.8,?,"Kepler, similar to Desktop GT640"
GeForce GT 740M,"April 1, 2013",GK208,28,PCIe 3.0 x8,384:32:8(2 SMX),980,980,1800,7.84,31.4,2048,14.4,DDR3,64,1.2,12,4.5,3.5 [204],752.6,?,"Kepler, similar to Desktop GT640."
GeForce GT 740M,"April 1, 2013",GK107,28,PCIe 3.0 x16,384:32:16(2 SMX),810[205],810[205],18005000,12.96,25.92,2048[205],28.880,DDR3GDDR5[205],128,1.2,12,4.5,3.0 [203],622.1,45,about 76% of Desktop GTX650[original research?]
GeForce GT 745M,"April 1, 2013",GK107,28,PCIe 3.0 x16,384:32:16(2 SMX),837,837,20005000,13.4,26.8,2048,3280,DDR3GDDR5,128,1.2,12,4.5,3.0 [203],642.8,45,about 79% of Desktop GTX650[original research?]
GeForce GT 750M,"April 1, 2013",GK107,28,PCIe 3.0 x16,384:32:16(2 SMX),967,967,20005000,15.5,30.9,2048,3280,DDR3GDDR5,128,1.2,12,4.5,3.0 [203],742.7,50,about 91% of Desktop GTX650[original research?]
GeForce GT 755M[206],?,GK107,28,PCIe 3.0 x16,384:32:16(2 SMX),1020,1020,5400,15.7,31.4,2048,86.4,GDDR5,128,1.2,12,4.5,3.0 [203],783,50,about 93% of Desktop GTX650[original research?]
GeForce GTX 760M,May 2013,GK106,28,PCIe 3.0 x16,768:64:16(4 SMX),719,719,4000,10.5,42.1,2048,64,GDDR5,128,1.2,12,4.5,3.0 [203],1104,55,about 71% of Desktop GTX 650Ti[original research?]
GeForce GTX 765M,May 2013,GK106,28,PCIe 3.0 x16,768:64:16(4 SMX),863,863,4000,13.6,54.4,2048,64,GDDR5,128,1.2,12,4.5,3.0 [203],1326,65,about 92% of Desktop GTX 650Ti[original research?]
GeForce GTX 770M,May 2013,GK106,28,PCIe 3.0 x16,960:80:24(5 SMX),797,797,4000,19.5,64.9,3072,96,GDDR5,192,1.2,12,4.5,3.0 [203],1530,75,about 83% of Desktop GTX660[original research?]
GeForce GTX 780M,May 2013,GK104,28,PCIe 3.0 x16,1536:128:32(8 SMX),797,797,5000,26.3,105.3,4096,160,GDDR5,256,1.2,12,4.5,3.0 [203],2448,122,about 78% of Desktop GTX770[original research?]
