hw_model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed Core (MHz),Clock speed Shader (MHz),Clock speed Memory (MT/s),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (GB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Supported API version Vulkan,Supported API version Direct3D,Supported API version OpenGL,Supported API version CUDA Compute Capability,Processing power (GFLOPS)2,TDP (Watts),Notes (original research)
GeForce 810M,February 2014,GF117,28,PCIe 2.0 x16,48:8:4,738–888,1476–1776,1800,2.95–3.55,5.9–7.1,1,14.4,DDR3,64,0,12,4.5,2.1 [203],141.7–170.5,15,0
GeForce 820M[207],February 2014,GF117,28,PCIe 2.0 x16,96:16:4,719–954,1438–1908,2000,2.9–3.8,11.5–15.3,2,16,DDR3,64,0,12,4.5,2.1 [203],276.1–366.3,15[208],115% of 620 (Fermi)
GeForce 825M[209],"January 27, 2014",GK208,28,PCIe 3.0 x8,384:16:8(2 SMX),850,850,1800,6.8,13.6,2,14.4,DDR3,64,1.2,12,4.5,3.5 [204],652.8,33,94% of 630 (Kepler)
GeForce 830M[210],"March 12, 2014",GM108,28,PCIe 3.0 x16,256:16:8(2 SMM),1029,1029,1800,8.2,16.5,2,14.4,DDR3,64,1.3,12,4.5,5.0 [203],526.8,~25,50% of 750 (Maxwell)
GeForce 840M[211],"March 12, 2014",GM108,28,PCIe 3.0 x16,384:24:8(3 SMM),1029,1029,2000,8.2,24.7,2–4,16,DDR3,64,1.3,12,4.5,5.0 [203],790.3,30,50–80% of 745 (Maxwell)
GeForce 845M[212][213],"February 7, 2015[214]",GM108,28,PCIe 3.0 x16,384:32:16(3 SMM),1071-1150,1071-1150,5000,18.8,37.6,2,40,GDDR5,64,1.3,12,4.5,5.0 [203],903.2,33,0
GeForce 845M[212][213],"August 16, 2015[215]",GM107,28,PCIe 3.0 x16,512:32:16(4 SMM),863,863,2000,13.8,27.6,2,16,DDR3,64,1.3,12,4.5,5.0 [203],883.7,45,0
GeForce GTX 850M[216],"March 12, 2014",GM107,28,PCIe 3.0 x16,640:40:16(5 SMM),876+Boost,876+Boost,5000,14.0,35.0,2-4,80.2,GDDR5,128,1.3,12,4.5,5.0 [203],1121.3,40,80% of 750Ti
GeForce GTX 850M[216],"March 12, 2014",GM107,28,PCIe 3.0 x16,640:40:16(5 SMM),936+Boost,936+Boost,2000,15.0,37.4,2-4,32,DDR3,128,1.3,12,4.5,5.0 [203],1198.1,40,85% of 750Ti
GeForce GTX 860M[217],"March 12, 2014",GM107,28,PCIe 3.0 x16,640:40:16(5 SMM),1029–1085,1029–1085,5000,16.5,41.2,2,80,GDDR5,128,1.3,12,4.5,5.0 [203],1389,40–45,equal to 750Ti
GeForce GTX 860M[217],"March 12, 2014",GK104,28,PCIe 3.0 x16,1152:96:16(6 SMX),797–915,797–915,5000,12.8,76.5,4,80,GDDR5,128,1.2,12,4.5,3.0 [203],2108,75,similar to 660 OEM.
GeForce GTX 870M[218],"March 12, 2014",GK104,28,PCIe 3.0 x16,1344:112:24(7 SMX),941–967,941–967,5000,22.6,105.4,"3, 6",120,GDDR5,192,1.2,12,4.5,3.0 [203],2599,110,105% of 660Ti
GeForce GTX 880M[219],"March 12, 2014",GK104,28,PCIe 3.0 x16,1536:128:32(8 SMX),954–993,954–993,5000,30.5,122.1,"4, 8",160,GDDR5,256,1.2,12,4.5,3.0 [203],3104,130,90% of 770
