hw_model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed Min (MHz),Clock speed Average (MHz),Clock speed Memory (MT/s),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Memory Size (GB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Supported API version Vulkan,Supported API version Direct3D,Supported API version OpenGL,Supported API version OpenCL,Processing power (GFLOPS)2,TDP (Watts),Notes
GeForce 910M,"March 13, 2015",GK208B,28,PCIe 3.0 x8,384:32:8 (2 SMX),641,0,0,5.128,20.51,2,16.02,DDR3,64,1.2,12 (11_0),4.6,1.2,492.3,33,0
GeForce 920M,"March 12, 2015",GK208,28,PCIe 3.0 x16,384:32:8(2 SMX),954,Un­known,1800,7.6,30.5,2,14.4,DDR3,64,1.2,12 (11_0),4.6,1.2,733,33,0
GeForce 930M,"March 12, 2015",GM108,28,PCIe 3.0 x16,384:24:8(3 SMM),928,941,1800,7.4,22.3,2,14.4,DDR3,64,1.3,12 (11_0),4.6,1.2,713,29[220],0
GeForce 940M,"March 12, 2015",GM108,28,PCIe 3.0 x16,384:24:8(3 SMM),1072,1176,2000,8.6,25.7,2,16,DDR3,64,1.3,12 (11_0),4.6,1.2,823,36[221],0
GeForce 940MX,"January, 2016[222]",GM108,28,PCIe 3.0 x16,384:24:8(3 SMM),1004,1242,2000,9.9,29.8,2,16,DDR3,64,1.3,12 (11_0),4.6,1.2,954,23,0
GeForce 940MX,"June 28, 2016[223]",GM107,28,PCIe 3.0 x16,512:32:8(4 SMM),795,861,5000,6.9,27.6,2,40,GDDR5,64,1.3,12 (11_0),4.6,1.2,882,23,0
GeForce GTX 950M,"March 12, 2015",GM107,28,PCIe 3.0 x16,640:40:16(5 SMM),914,Un­known,5000,14.6,36.6,"2, 4",80,GDDR5,128,1.3,12 (11_0),4.6,1.2,1170,Un­known,Similar core config to GTX 750 Ti (GM107-400-A2)
GeForce GTX 950M,"March 12, 2015",GM107,28,PCIe 3.0 x16,640:40:16(5 SMM),914,Un­known,2000,14.6,36.6,"2, 4",32,DDR3,128,1.3,12 (11_0),4.6,1.2,1170,55[224],Similar core config to GTX 750 Ti (GM107-400-A2)
GeForce GTX 960M,"March 12, 2015",GM107,28,PCIe 3.0 x16,640:40:16(5 SMM),1097,1176,5000,17.5,43.8,"2, 4",80,GDDR5,128,1.3,12 (11_0),4.6,1.2,1403,65[225],Similar core config to GTX 750 Ti (GM107-400-A2)
GeForce GTX 965M[226],"January 5, 2015",GM204,28,PCIe 3.0 x16,1024:64:32(8 SMM),944,Un­known,5000,30.2,60.4,"2, 4",80,GDDR5,128,1.3,12 (12_1),4.6,1.2,1933,60[227],Similar core config to GTX 960 (GM206-300)
GeForce GTX 970M[228],"October 7, 2014",GM204,28,PCIe 3.0 x16,1280:80:48(10 SMM),944,993,5000,44.4,73.9,"3, 6",120,GDDR5,192,1.3,12 (12_1),4.6,1.2,2365,75,Similar core config to GTX 960 OEM (GM204)
GeForce GTX 980M[229],"October 7, 2014",GM204,28,PCIe 3.0 x16,1536:96:64(12 SMM),1038,1127,5000,66.4,99.6,"4, 8",160,GDDR5,256,1.3,12 (12_1),4.6,1.2,3189,100,Similar core config to GTX 970 (GM204-200) with one SMM disabled
GeForce GTX 980[230],"September 22, 2015",GM204,28,PCIe 3.0 x16,2048:128:64(16 SMM),1064,Un­known,7010,68.1,136.2,8,224,GDDR5,256,1.3,12 (12_1),4.6,1.2,4358,"165, oc to 200",Similar to Desktop GTX 980
