hw_model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config,Bus interface,L2 Cache(MB),Clock speeds Base core clock (MHz),Clock speeds Boost core clock (MHz),Clock speeds Memory (MT/s),Memory Size (GB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (GFLOPS) Single precision,Processing power (GFLOPS) Double precision,Processing power (GFLOPS) Half precision,Processing power (GFLOPS) Tensor compute (FP16),Ray-tracing Performance Rays/s (Billions),Ray-tracing Performance RTX OPS/s (Trillions),TDP (Watts)
GeForce RTX 2050[241][242],2022,GA107,Samsung 8N,8.7,200,2048:128:48:256:32 (32) (3),PCIe 3.0 x8,2,1155,1477,14000,4,112.0,GDDR6,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30-45
GeForce RTX 2060[243],"January 29, 2019",TU106,TSMC12FFN,10.8,445,1920:120:48:240:30 (30) (3),PCIe 3.0 x16,3,960,1200,14000,6,336.0,GDDR6,192,57.6,144.0,4608.0,144.0,9216.0,0.0,0.0,0.0,80
GeForce RTX 2060 Max-Q[244],"January 29, 2019",TU106,TSMC12FFN,10.8,445,1920:120:48:240:30 (30) (3),PCIe 3.0 x16,3,975,1175,11000,6,264.0,GDDR6,192,56.88,142.2,4550.0,142.2,9101.0,0.0,0.0,0.0,65
GeForce RTX 2070[245],"January 29, 2019",TU106,TSMC12FFN,10.8,445,2304:144:64:288:36 (36) (3),PCIe 3.0 x16,4,1215,1440,14000,8,448.0,GDDR6,256,92.16,207.4,6636.0,207.4,13270.0,0.0,0.0,0.0,115
GeForce RTX 2070 Max-Q[246],"January 29, 2019",TU106,TSMC12FFN,10.8,445,2304:144:64:288:36 (36) (3),PCIe 3.0 x16,4,885,1185,12000,8,448.0,GDDR6,256,75.84,170.6,5460.0,170.6,10920.0,0.0,0.0,0.0,80
GeForce RTX 2070 Super[247],"April 2, 2020",TU104,TSMC12FFN,13.6,545,2560:160:64:320:40 (40) (5),PCIe 3.0 x16,4,1140,1380,14000,8,448.0,GDDR6,256,88.3,220.8,7066.0,220.8,14130.0,0.0,0.0,0.0,115
GeForce RTX 2070 Super Max-Q[248],"April 2, 2020",TU104,TSMC12FFN,13.6,545,2560:160:64:320:40 (40) (5),PCIe 3.0 x16,4,930,1155,12000,8,448.0,GDDR6,256,69.1,172.8,5530.0,172.8,11060.0,0.0,0.0,0.0,80
GeForce RTX 2080[249],"January 29, 2019",TU104,TSMC12FFN,13.6,545,2944:184:64:368:46 (46) (6),PCIe 3.0 x16,4,1380,1590,14000,8,384.0,GDDR6,256,101.8,292.6,9362.0,292.6,18720.0,0.0,0.0,0.0,150
GeForce RTX 2080 Max-Q[250],"January 29, 2019",TU104,TSMC12FFN,13.6,545,2944:184:64:368:46 (46) (6),PCIe 3.0 x16,4,735,1095,12000,8,384.0,GDDR6,256,70.08,201.5,6447.0,201.5,12890.0,0.0,0.0,0.0,80
GeForce RTX 2080 Super[251],"April 2, 2020",TU104,TSMC12FFN,13.6,545,3072:192:64:384:48 (48) (6),PCIe 3.0 x16,4,1365,1560,14000,8,448.0,GDDR6,256,99.8,299.5,9585.0,299.5,19170.0,0.0,0.0,0.0,150
GeForce RTX 2080 Super Max-Q[252],"April 2, 2020",TU104,TSMC12FFN,13.6,545,3072:192:64:384:48 (48) (6),PCIe 3.0 x16,4,735,1080,11000,8,352.0,GDDR6,256,69.1,207.4,6636.0,207.4,13270.0,0.0,0.0,0.0,80
