architecture,Launch,Code name(s),Process,Transistors(billion),Die size(mm2),Core config,Businterface,L2 Cache(MB),Clock speeds Basecoreclock(MHz),Clock speeds Boostcoreclock(MHz),Clock speeds Memory(MT/s),Memory Size(GB),Memory Bandwidth(GB/s),Memory Type,Memory Buswidth(bit),Fillrate Pixel(GP/s),Fillrate Texture(GT/s),Processing power (GFLOPS) Singleprecision,Processing power (GFLOPS) Doubleprecision,Processing power (GFLOPS) Halfprecision,Processing power (GFLOPS) Tensorcompute(FP16),Ray tracing Performance Rays/s(Billions),Ray tracing Performance RTX OPS(Trillions),TDP(Watts),Features
GeForce MX110(Maxwell)[270][271],"Nov 17, 2017",GM108(N16V-GMR1-A1),TSMC28 nm,?,?,256:16:8:3,PCIe 3.0×4,1.0,965,993,1800(DDR3)5000(GDDR5),2,14.4(DDR3)40.1(GDDR5),DDR3GDDR5,64,(7.944),(15.89),(508.4),(15.89),—,—,—,—,30,Yes
GeForce MX130(Maxwell)[270][272][273],"Nov 17, 2017",GM108(N16S-GTR-A1),TSMC28 nm,?,?,384:24:8:3,PCIe 3.0×4,1.0,1122,1242,1800(DDR3)5000(GDDR5),2,14.4(DDR3)40.1(GDDR5),DDR3GDDR5,64,(9.936),(29.81),861.7(953.9),26.93(29.81),—,—,—,—,30,Yes
GeForce MX150(Pascal)[274][275][276],"May 17, 2017",GP108(N17S-LG-A1),Samsung14 nm,1.8,74,384:24:16:3,PCIe 3.0×4,0.5,937,1038,5000,24,40,GDDR5,64,(14.99),(22.49),719.6(797.2),22.49(24.91),11.24(12.45),—,—,—,10,Yes
GeForce MX150(Pascal)[274][275][276],"May 17, 2017",GP108-650-A1(N17S-G1-A1),Samsung14 nm,1.8,74,384:24:16:3,PCIe 3.0×4,0.5,1468,1532,6000,24,48,GDDR5,64,(23.49),(35.23),1127(1177),35.23(36.77),17.62(18.38),—,—,—,25,Yes
GeForce MX230(Pascal)[277],"Feb 20, 2019",GP108(N17S-G0-A1),Samsung14 nm,1.8,74,256:16:16:2,PCIe 3.0×4,0.5,1519,1531,7000,24,56,GDDR5,64,(25.31),(25.31),(810.0),(25.31),(12.66),—,—,—,10,Yes
GeForce MX250(Pascal)[278][279],"Feb 20, 2019",GP108(N17S-LG-A1),Samsung14 nm,1.8,74,384:24:16:3,PCIe 3.0×4,0.5,937,1038,7000,24,48,GDDR5,64,(16.61),(24.91),(797.2),(24.91),(12.46),—,—,—,10,Yes
GeForce MX250(Pascal)[278][279],"Feb 20, 2019",GP108(N17S-G2-A1),Samsung14 nm,1.8,74,384:24:16:3,PCIe 3.0×4,0.5,1518,1582,7000,24,56,GDDR5,64,(24.3),(36.4),(1166),(37.97),(18.98),—,—,—,25,Yes
GeForce MX330(Pascal)[280],"Feb 12, 2020",GP108-655-A1(N17S-LP-A1)(N17S-G3-A1),Samsung14 nm,1.8,74,384:24:16:3,PCIe 3.0×4,0.5,746(LP)1531,936(LP)1594,7000,24,56,GDDR5,64,(25.50),(38.26),(1224),(38.26),(19.13),—,—,—,10-30,Yes
GeForce MX350(Pascal)[281],"Feb 12, 2020",GP107-670-A1(N17S-LP-A1)(N17S-G5-A1),Samsung14 nm,3.3,132,640:32:16:5,PCIe 3.0×4,0.5,747(LP)1354,937(LP)1468,7000,24,56,GDDR5,64,(23.49),(46.98),(1879),(58.72),(29.36),—,—,—,15-25,Yes
GeForce MX450(Turing)[282][283],"Aug 1, 2020",TU117(N18S-LP-A1)(N18S-G5-A1),TSMC12FFN,4.7,200,896:56:32:14,PCIe 4.0×4,1.0,720(LP)1395,930(LP)1575,7000,2,56,GDDR5,64,23.04(50.40),40.32(88.20),1290(2822),40.32(88.20),2581(5645),—,—,—,10-30,Yes
GeForce MX450(Turing)[282][283],"Aug 1, 2020",TU117(N18S-LP-A1)(N18S-G5-A1),TSMC12FFN,4.7,200,896:56:32:14,PCIe 4.0×4,1.0,720(LP)1395,930(LP)1575,10000,2,80,GDDR6,64,23.04(50.40),40.32(88.20),1290(2822),40.32(88.20),2581(5645),—,—,—,10-30,Yes
GeForce MX550(Turing)[284][285][286][287],Mar 2022,TU117-670-A1(GN18-S5-A1),TSMC12FFN,4.7,200,1024:32:16:8,PCIe 4.0×4,2.0,1065,1320,12000,24,96,GDDR6,64,(21.12),(42.24),(2703),(42.24),(2703),—,—,—,15-25,Yes
GeForce MX570(Ampere)[284][288][286][289],Mar 2022,GA107(GN20-S5-A1),Samsung8N,8.7,200,204864:40:16:16:64,PCIe 4.0×4,2.0,1087,1155,12000,24,96,GDDR6,64,(46.20),(73.92),(4731),(73.92),(4731),0,0,0,15-45,Yes
