hw_model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,clock,Memory clock (MHz),Core config,Fillrate MOperations/s,Fillrate MPixels/s,Fillrate MTexels/s,Fillrate MVertices/s,Memory Size (MB),Memory Bandwidth (GB/s),Memory Bus type,Memory Bus width (bit),GFLOPSFP32
GeForce FX 5100,March 2003,NV34,TSMC 150 nm,45[19],124,AGP 8x,200,166,4:2:4:4,800,800,800,100.0,64 128,2.6,DDR,64,12.0
GeForce FX 5200 LE,March 2003,NV34,TSMC 150 nm,45[19],124,AGP 8x,250,166,4:2:4:4,1000,1000,1000,125.0,64128256,2.65.3,DDR,64128,15.0
GeForce FX 5200,March 2003,NV34,TSMC 150 nm,45[19],124,AGP 8xPCI,250,200,4:2:4:4,1000,1000,1000,125.0,64128256,3.26.4,DDR,64128,15.0
GeForce FX 5200 Ultra,"March 6, 2003",NV34,TSMC 150 nm,45[19],124,AGP 8x,325,325,4:2:4:4,1300,1300,1300,162.5,64128256,10.4,DDR,128,19.5
GeForce PCX 5300,"March 17, 2004",NV34,TSMC 150 nm,45[19],124,PCIe x16,250,166,4:2:4:4,1000,1000,1000,125.0,128256,2.6,DDR,64,15.0
GeForce FX 5500,March 2004,NV34B,TSMC 150 nm,45[20],91,AGP 8xAGP 4xPCI,270,166200,4:2:4:4,1080,1080,1080,135.0,64128256,5.36.4,DDR,128,16.2
GeForce FX 5600 XT,October 2003,NV31,TSMC 130 nm,80[21],121,AGP 8x,235,200,4:2:4:4,940,940,940,117.5,64128,3.26.4,DDR,64128,14.1
GeForce FX 5600,March 2003,NV31,TSMC 130 nm,80[21],121,AGP 8xPCI,325,275,4:2:4:4,1300,1300,1300,162.5,64128256[22],8.8,DDR,128,19.5
GeForce FX 5600 Ultra,"March 6, 2003",NV31,TSMC 130 nm,80[21],121,AGP 8x,350,350,4:2:4:4,1400,1400,1400,175.0,64128,11.2,DDR,128,21.0
GeForce FX 5600 Ultra Rev.2,"March 6, 2003",NV31,TSMC 130 nm,80[21],121,AGP 8x,400,400,4:2:4:4,1600,1600,1600,200.0,64128,12.8,DDR,128,24.0
GeForce FX 5700 VE,September 2004,NV36,TSMC 130 nm,82[23],133,AGP 8x,250,200,4:3:4:4,1500,1500,1500,187.5,128256,3.26.4,DDR,64128,17.5
GeForce FX 5700 LE,March 2004,NV36,TSMC 130 nm,82[23],133,AGP 8xPCI,250,200,4:3:4:4,1500,1500,1500,187.5,128256,3.26.4,DDR,64128,17.5
GeForce FX 5700,2003,NV36,TSMC 130 nm,82[23],133,AGP 8x,425,250,4:3:4:4,1700,1700,1700,318.7,128256,8.0,DDR,128,29.7
GeForce PCX 5750,"March 17, 2004",NV36,TSMC 130 nm,82[23],133,PCIe x16,425,250,4:3:4:4,1700,1700,1700,318.7,128,8.0,DDR,128,29.7
GeForce FX 5700 Ultra,"October 23, 2003",NV36,TSMC 130 nm,82[23],133,AGP 8x,475,453,4:3:4:4,1900,1900,1900,356.2,128256,14.4,GDDR2,128,33.2
GeForce FX 5700 Ultra GDDR3,"March 15, 2004",NV36,TSMC 130 nm,82[23],133,AGP 8x,475,475,4:3:4:4,1900,1900,1900,356.2,128256,15.2,GDDR3,128,33.2
GeForce FX 5800,"January 27, 2003",NV30,TSMC 130 nm,125[24],199,AGP 8x,400,400,4:2:8:4,1600,1600,3200,300.0,128,12.8,GDDR2,128,24.0
GeForce FX 5800 Ultra,"January 27, 2003",NV30,TSMC 130 nm,125[24],199,AGP 8x,500,500,4:2:8:4,2000,2000,4000,375.0,128,16.0,GDDR2,128,30.0
GeForce FX 5900 ZT,"December 15, 2003",NV35,TSMC 130 nm,135[25],207,AGP 8x,325,350,4:3:8:4,1300,1300,2600,243.7,128,22.4,DDR,256,22.7
GeForce FX 5900 XT,"December 15, 2003[26]",NV35,TSMC 130 nm,135[25],207,AGP 8x,400,350,4:3:8:4,1600,1600,3200,300.0,128,22.4,DDR,256,27.3
GeForce FX 5900,May 2003,NV35,TSMC 130 nm,135[25],207,AGP 8x,400,425,4:3:8:4,1600,1600,3200,300.0,128,27.2,DDR,256,28.0
GeForce FX 5900 Ultra,"May 12, 2003",NV35,TSMC 130 nm,135[25],207,AGP 8x,450,425,4:3:8:4,1800,1800,3600,337.5,128256,27.2,DDR,256,31.5
GeForce PCX 5900,"March 17, 2004",NV35,TSMC 130 nm,135[25],207,PCIe x16,350,275,4:3:8:4,1400,1400,2800,262.5,128256,17.6,DDR,256,24.5
GeForce FX 5950 Ultra,"October 23, 2003",NV38,TSMC 130 nm,135[27],207,AGP 8x,475,475,4:3:8:4,1900,1900,3800,356.2,256,30.4,DDR,256,33.2
GeForce PCX 5950,"February 17, 2004",NV38,TSMC 130 nm,135[27],207,PCIe x16,475,425,4:3:8:4,1900,1900,3800,356.2,256,27.2,GDDR3,256,33.2
